Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-209.148.205.32-39787-80-6,131.202.240.150,39787,209.148.205.32,80,6,01/04/2015 01:51:08 p.m.,45077886,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873530582157291,1.5025962E7,2.598492087064396E7,4.5030764E7,21246.0,4.505201E7,4.505201E7,0.0,4.505201E7,4.505201E7,4.505664E7,4.505664E7,0.0,4.505664E7,4.505664E7,0,0,0,0,64,64,0.044367652910786454,0.044367652910786454,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2495,1190,0,32,0,0,0,0,1.427910690991786E15,3.180823830066799E7,1.427910713483607E15,1.427910668499965E15,No Label
131.202.240.150-74.125.22.156-57895-443-6,131.202.240.150,57895,74.125.22.156,443,6,01/04/2015 01:51:12 p.m.,38335,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17164471109952,38335.0,0.0,38335.0,38335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.08582235554976,26.08582235554976,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,245,358,0,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-48278-53-17,131.202.240.150,48278,131.202.244.3,53,17,01/04/2015 01:48:35 p.m.,106384,1,1,41.0,337.0,41.0,41.0,41.0,0.0,337.0,337.0,337.0,0.0,3553.1658896074596,18.79981952173259,106384.0,0.0,106384.0,106384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9.399909760866295,9.399909760866295,41.0,337.0,139.66666666666669,170.89567968012923,29205.333333333336,0,0,0,0,0,0,0,0,1.0,209.5,41.0,337.0,0,0,0,0,0,0,0,20,0,168,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.8-58310-80-6,131.202.240.150,58310,209.148.205.8,80,6,01/04/2015 01:51:00 p.m.,45077377,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873630779359677,1.5025792333333332E7,2.598839583887619E7,4.5034607E7,21319.0,4.5056058E7,4.5056058E7,0.0,4.5056058E7,4.5056058E7,4.5055926E7,4.5055926E7,0.0,4.5055926E7,4.5055926E7,0,0,0,0,64,64,0.044368153896798386,0.044368153896798386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,888,0,32,0,0,0,0,1.4279106827954995E15,3.1814033040739812E7,1.427910705291418E15,1.427910660299581E15,No Label
131.202.240.150-209.148.205.8-58324-80-6,131.202.240.150,58324,209.148.205.8,80,6,01/04/2015 01:51:11 p.m.,45077428,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873620739852328,1.5025809333333332E7,2.598853786709761E7,4.5034788E7,21235.0,4.5056023E7,4.5056023E7,0.0,4.5056023E7,4.5056023E7,4.5056193E7,4.5056193E7,0.0,4.5056193E7,4.5056193E7,0,0,0,0,64,64,0.04436810369926164,0.04436810369926164,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,855,0,32,0,0,0,0,1.427910693675673E15,3.1814252950948764E7,1.427910716171747E15,1.427910671179599E15,No Label
131.202.240.150-209.148.205.33-41097-80-6,131.202.240.150,41097,209.148.205.33,80,6,01/04/2015 01:50:53 p.m.,45077448,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873616802796823,1.5025816E7,2.597816298872351E7,4.5022814E7,21358.0,4.505609E7,4.505609E7,0.0,4.505609E7,4.505609E7,4.5044172E7,4.5044172E7,0.0,4.5044172E7,4.5044172E7,0,0,0,0,64,64,0.044368084013984115,0.044368084013984115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,486,0,32,0,0,0,0,1.427910675755529E15,3.179730501561728E7,1.427910698239619E15,1.427910653271439E15,No Label
131.202.240.150-23.195.206.176-39696-443-6,131.202.240.150,39696,23.195.206.176,443,6,01/04/2015 01:50:56 p.m.,45084739,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872181781955087,1.5028246333333332E7,2.5972591219305024E7,4.5018811E7,28736.0,4.5056003E7,4.5056003E7,0.0,4.5056003E7,4.5056003E7,4.5047547E7,4.5047547E7,0.0,4.5047547E7,4.5047547E7,0,0,0,0,64,64,0.04436090890977543,0.04436090890977543,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1116,553,0,32,0,0,0,0,1.4279106789592495E15,3.1786488403185472E7,1.427910701435691E15,1.427910656482808E15,No Label
131.202.240.150-209.148.205.32-39811-80-6,131.202.240.150,39811,209.148.205.32,80,6,01/04/2015 01:51:11 p.m.,45077415,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873623298940278,1.5025805E7,2.598849918454667E7,4.5034739E7,21284.0,4.5056023E7,4.5056023E7,0.0,4.5056023E7,4.5056023E7,4.5056131E7,4.5056131E7,0.0,4.5056131E7,4.5056131E7,0,0,0,0,64,64,0.04436811649470139,0.04436811649470139,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,1089,0,32,0,0,0,0,1.4279106936756685E15,3.181419284687236E7,1.4279107161717E15,1.427910671179637E15,No Label
131.202.240.150-23.195.206.176-39686-443-6,131.202.240.150,39686,23.195.206.176,443,6,01/04/2015 01:50:53 p.m.,45084812,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088721674163796,1.5028270666666668E7,2.5978371317748178E7,4.502551E7,28872.0,4.505594E7,4.505594E7,0.0,4.505594E7,4.505594E7,4.5054382E7,4.5054382E7,0.0,4.5054382E7,4.5054382E7,0,0,0,0,64,64,0.044360837081898,0.044360837081898,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2097,1320,0,32,0,0,0,0,1.427910676015276E15,3.179591060104478E7,1.42791069849838E15,1.427910653532172E15,No Label
131.202.240.150-209.148.205.8-58338-80-6,131.202.240.150,58338,209.148.205.8,80,6,01/04/2015 01:51:08 p.m.,45081935,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872733612698745,1.5027311666666668E7,2.5987263759636745E7,4.5034819E7,21225.0,4.5056044E7,4.5056044E7,0.0,4.5056044E7,4.5056044E7,4.506071E7,4.506071E7,0.0,4.506071E7,4.506071E7,0,0,0,0,64,64,0.044363668063493726,0.044363668063493726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1444,821,0,32,0,0,0,0,1.4279106909898245E15,3.1811109861306388E7,1.427910713483676E15,1.427910668495973E15,No Label
