Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.93-224.0.0.252-64780-5355-17,131.202.242.93,64780,224.0.0.252,5355,17,15/04/2015 11:18:34 a.m.,412899,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.56359061174766,4.843799573261258,412899.0,0.0,412899.0,412899.0,412899.0,412899.0,0.0,412899.0,412899.0,0,0,0,0,0,0,0,0,0,16,0,4.843799573261258,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-58021-5355-17,131.202.243.9,58021,224.0.0.252,5355,17,15/04/2015 11:25:35 a.m.,411550,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.91289029279552,4.859676831490706,411550.0,0.0,411550.0,411550.0,411550.0,411550.0,0.0,411550.0,411550.0,0,0,0,0,0,0,0,0,0,16,0,4.859676831490706,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-49869-5355-17,131.202.243.49,49869,224.0.0.252,5355,17,15/04/2015 11:16:43 a.m.,410345,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.226845703006,4.873947531954818,410345.0,0.0,410345.0,410345.0,410345.0,410345.0,0.0,410345.0,410345.0,0,0,0,0,0,0,0,0,0,16,0,4.873947531954818,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.101-131.202.6.3-16307-53-17,131.202.240.101,16307,131.202.6.3,53,17,15/04/2015 11:20:00 a.m.,123418,1,1,44.0,171.0,44.0,44.0,44.0,0.0,171.0,171.0,171.0,0.0,1742.0473512777714,16.205091639793224,123418.0,0.0,123418.0,123418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.102545819896612,8.102545819896612,44.0,171.0,86.33333333333334,73.32348418708247,5376.333333333334,0,0,0,0,0,0,0,0,1.0,129.5,44.0,171.0,0,0,0,0,0,0,0,22,0,85,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-58325-5355-17,131.202.242.93,58325,224.0.0.252,5355,17,15/04/2015 11:17:45 a.m.,411447,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.93965443908935,4.860893383594971,411447.0,0.0,411447.0,411447.0,411447.0,411447.0,0.0,411447.0,411447.0,0,0,0,0,0,0,0,0,0,16,0,4.860893383594971,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-50187-5355-17,131.202.243.49,50187,224.0.0.252,5355,17,15/04/2015 11:23:49 a.m.,410837,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.09843563262315,4.86811071057378,410837.0,0.0,410837.0,410837.0,410837.0,410837.0,0.0,410837.0,410837.0,0,0,0,0,0,0,0,0,0,16,0,4.86811071057378,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-59425-5355-17,131.202.243.9,59425,224.0.0.252,5355,17,15/04/2015 11:18:18 a.m.,415935,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.78575979419861,4.808443627009028,415935.0,0.0,415935.0,415935.0,415935.0,415935.0,0.0,415935.0,415935.0,0,0,0,0,0,0,0,0,0,16,0,4.808443627009028,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-57861-5355-17,131.202.242.93,57861,224.0.0.252,5355,17,15/04/2015 11:17:37 a.m.,3167874,4,0,88.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,27.778882619700152,1.2626764827136434,1055958.0,1116192.5507854817,2344826.0,411005.0,3167874.0,1055958.0,1116192.5507854817,2344826.0,411005.0,0,0,0,0,0,0,0,0,0,32,0,1.2626764827136434,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,27.5,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,3,8,0,0,0,0,1.429111058987033E15,1076059.543260502,1.429111059747922E15,1.429111058226144E15,No Label
131.202.243.49-224.0.0.252-55275-5355-17,131.202.243.49,55275,224.0.0.252,5355,17,15/04/2015 11:19:19 a.m.,409498,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.44863222775203,4.884028737625092,409498.0,0.0,409498.0,409498.0,409498.0,409498.0,0.0,409498.0,409498.0,0,0,0,0,0,0,0,0,0,16,0,4.884028737625092,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-62987-5355-17,131.202.243.9,62987,224.0.0.252,5355,17,15/04/2015 11:24:00 a.m.,422297,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.19207335121965,4.736003334146347,422297.0,0.0,422297.0,422297.0,422297.0,422297.0,0.0,422297.0,422297.0,0,0,0,0,0,0,0,0,0,16,0,4.736003334146347,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.185-224.0.0.252-56938-5355-17,131.202.240.185,56938,224.0.0.252,5355,17,15/04/2015 11:20:36 a.m.,420189,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.71478310950549,4.759762868613886,420189.0,0.0,420189.0,420189.0,420189.0,420189.0,0.0,420189.0,420189.0,0,0,0,0,0,0,0,0,0,16,0,4.759762868613886,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.185-224.0.0.252-58287-5355-17,131.202.240.185,58287,224.0.0.252,5355,17,15/04/2015 11:23:31 a.m.,420573,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.6191743169438,4.755417014406536,420573.0,0.0,420573.0,420573.0,420573.0,420573.0,0.0,420573.0,420573.0,0,0,0,0,0,0,0,0,0,16,0,4.755417014406536,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
162.208.20.162-131.202.240.101-80-41936-6,162.208.20.162,80,131.202.240.101,41936,6,15/04/2015 11:24:26 a.m.,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8190,29200,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.101-131.202.6.3-62472-53-17,131.202.240.101,62472,131.202.6.3,53,17,15/04/2015 11:23:07 a.m.,1047,1,1,34.0,162.0,34.0,34.0,34.0,0.0,162.0,162.0,162.0,0.0,187201.5281757402,1910.2196752626553,1047.0,0.0,1047.0,1047.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,955.1098376313277,955.1098376313277,34.0,162.0,76.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,115.0,34.0,162.0,0,0,0,0,0,0,0,17,0,81,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-59970-5355-17,131.202.243.9,59970,224.0.0.252,5355,17,15/04/2015 11:16:57 a.m.,412022,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.79041410410123,4.854109732004602,412022.0,0.0,412022.0,412022.0,412022.0,412022.0,0.0,412022.0,412022.0,0,0,0,0,0,0,0,0,0,16,0,4.854109732004602,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.101-131.202.6.3-55469-53-17,131.202.240.101,55469,131.202.6.3,53,17,15/04/2015 11:22:06 a.m.,2401,1,1,29.0,479.0,29.0,29.0,29.0,0.0,479.0,479.0,479.0,0.0,211578.50895460226,832.9862557267805,2401.0,0.0,2401.0,2401.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,416.49312786339027,416.49312786339027,29.0,479.0,179.0,259.8076211353316,67500.0,0,0,0,0,0,0,0,0,1.0,268.5,29.0,479.0,0,0,0,0,0,0,0,14,0,239,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.101-131.202.6.3-6449-53-17,131.202.240.101,6449,131.202.6.3,53,17,15/04/2015 11:17:19 a.m.,1356,1,1,34.0,84.0,34.0,34.0,34.0,0.0,84.0,84.0,84.0,0.0,87020.64896755162,1474.9262536873157,1356.0,0.0,1356.0,1356.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,737.4631268436578,737.4631268436578,34.0,84.0,50.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,76.0,34.0,84.0,0,0,0,0,0,0,0,17,0,42,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-53820-5355-17,131.202.243.9,53820,224.0.0.252,5355,17,15/04/2015 11:20:33 a.m.,412181,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.74921939633316,4.852237245287871,412181.0,0.0,412181.0,412181.0,412181.0,412181.0,0.0,412181.0,412181.0,0,0,0,0,0,0,0,0,0,16,0,4.852237245287871,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-50149-5355-17,131.202.243.9,50149,224.0.0.252,5355,17,15/04/2015 11:20:36 a.m.,411197,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.00467172669062,4.863848714849573,411197.0,0.0,411197.0,411197.0,411197.0,411197.0,0.0,411197.0,411197.0,0,0,0,0,0,0,0,0,0,16,0,4.863848714849573,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.185-224.0.0.252-63571-5355-17,131.202.240.185,63571,224.0.0.252,5355,17,15/04/2015 11:24:41 a.m.,421076,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.49420057186826,4.7497363896303755,421076.0,0.0,421076.0,421076.0,421076.0,421076.0,0.0,421076.0,421076.0,0,0,0,0,0,0,0,0,0,16,0,4.7497363896303755,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.101-131.202.244.5-55265-53-17,131.202.240.101,55265,131.202.244.5,53,17,15/04/2015 11:24:47 a.m.,42873,1,1,41.0,177.0,41.0,41.0,41.0,0.0,177.0,177.0,177.0,0.0,5084.785296107107,46.64940638630373,42873.0,0.0,42873.0,42873.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,23.324703193151866,23.324703193151866,41.0,177.0,86.33333333333334,78.5196366097891,6165.333333333334,0,0,0,0,0,0,0,0,1.0,129.5,41.0,177.0,0,0,0,0,0,0,0,20,0,88,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-52702-5355-17,131.202.243.9,52702,224.0.0.252,5355,17,15/04/2015 11:20:51 a.m.,413704,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.35623537601764,4.8343743352735284,413704.0,0.0,413704.0,413704.0,413704.0,413704.0,0.0,413704.0,413704.0,0,0,0,0,0,0,0,0,0,16,0,4.8343743352735284,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.90-224.0.0.252-56663-5355-17,131.202.240.90,56663,224.0.0.252,5355,17,15/04/2015 11:20:55 a.m.,414731,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.09286501370768,4.82240295516853,414731.0,0.0,414731.0,414731.0,414731.0,414731.0,0.0,414731.0,414731.0,0,0,0,0,0,0,0,0,0,16,0,4.82240295516853,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.185-224.0.0.252-60896-5355-17,131.202.240.185,60896,224.0.0.252,5355,17,15/04/2015 11:25:21 a.m.,420605,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.61121479773183,4.75505521807872,420605.0,0.0,420605.0,420605.0,420605.0,420605.0,0.0,420605.0,420605.0,0,0,0,0,0,0,0,0,0,16,0,4.75505521807872,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.9-224.0.0.252-63700-5355-17,131.202.243.9,63700,224.0.0.252,5355,17,15/04/2015 11:18:44 a.m.,412876,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.56952692818182,4.844069405826446,412876.0,0.0,412876.0,412876.0,412876.0,412876.0,0.0,412876.0,412876.0,0,0,0,0,0,0,0,0,0,16,0,4.844069405826446,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.90-224.0.0.252-59198-5355-17,131.202.240.90,59198,224.0.0.252,5355,17,15/04/2015 11:24:49 a.m.,415083,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.00289580638089,4.818313445744586,415083.0,0.0,415083.0,415083.0,415083.0,415083.0,0.0,415083.0,415083.0,0,0,0,0,0,0,0,0,0,16,0,4.818313445744586,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.190-224.0.0.252-60440-5355-17,131.202.242.190,60440,224.0.0.252,5355,17,15/04/2015 11:25:15 a.m.,420639,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.60275913550575,4.754670869795715,420639.0,0.0,420639.0,420639.0,420639.0,420639.0,0.0,420639.0,420639.0,0,0,0,0,0,0,0,0,0,16,0,4.754670869795715,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.185-224.0.0.252-50228-5355-17,131.202.240.185,50228,224.0.0.252,5355,17,15/04/2015 11:22:11 a.m.,414481,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.15685640596313,4.825311654816506,414481.0,0.0,414481.0,414481.0,414481.0,414481.0,0.0,414481.0,414481.0,0,0,0,0,0,0,0,0,0,16,0,4.825311654816506,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-51840-5355-17,131.202.243.49,51840,224.0.0.252,5355,17,15/04/2015 11:25:41 a.m.,412042,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.7852306318288,4.853874119628581,412042.0,0.0,412042.0,412042.0,412042.0,412042.0,0.0,412042.0,412042.0,0,0,0,0,0,0,0,0,0,16,0,4.853874119628581,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
