Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-10.0.2.3-63953-53-17,10.0.2.15,63953,10.0.2.3,53,17,15/04/2015 10:34:16 a.m.,33319,2,1,76.0,310.0,38.0,38.0,38.0,0.0,310.0,310.0,310.0,0.0,11584.981542063088,90.03871664815871,16659.5,4731.25147291919,20005.0,13314.0,20005.0,20005.0,0.0,20005.0,20005.0,0,0,0,0,0,0,0,0,0,16,8,60.02581109877247,30.012905549386236,38.0,310.0,106.0,136.0,18496.0,0,0,0,0,0,0,0,0,0.0,141.33333333333334,38.0,310.0,0,0,0,0,0,0,0,25,0,103,0,0,1,8,0,0,0,0,1.42910845602699E15,0.0,1.42910845602699E15,1.42910845602699E15,No Label
10.0.2.15-137.116.40.77-49255-443-6,10.0.2.15,49255,137.116.40.77,443,6,15/04/2015 10:35:38 a.m.,185953,3,2,53.0,90.0,53.0,0.0,17.666666666666664,30.599564267050166,90.0,0.0,45.0,63.63961030678928,769.0115244174604,26.88851483977134,46488.25,60490.16212782042,127637.0,89.0,185953.0,92976.5,131362.76227493086,185864.0,89.0,127637.0,127637.0,0.0,127637.0,127637.0,0,0,0,0,60,40,16.133108903862805,10.755405935908536,0.0,90.0,23.833333333333336,38.73198505972378,1500.1666666666665,0,0,0,2,5,0,0,0,0.0,28.6,17.666666666666668,45.0,0,0,0,0,0,0,0,10,0,18,65535,65535,1,20,0,0,0,0,1.4291085383474548E15,63692.2708131319,1.429108538412994E15,1.429108538285786E15,No Label
131.202.240.150-10.0.2.15-49459-49937-6,131.202.240.150,49459,10.0.2.15,49937,6,15/04/2015 10:34:53 a.m.,205,10,1,31.0,0.0,31.0,0.0,3.1,9.803060746521975,0.0,0.0,0.0,0.0,151219.51219512196,53658.53658536585,20.5,54.502293529722216,175.0,1.0,188.0,20.88888888888889,57.79369438884411,175.0,1.0,0,0,0,0,0,0,0,0,0,200,20,48780.48780487805,4878.048780487805,0.0,31.0,2.5833333333333335,8.9489291724392,80.08333333333334,0,0,1,1,11,0,0,0,0.0,2.8181818181818183,3.1,0.0,0,0,0,0,0,0,0,2,0,0,65535,0,1,20,0,0,0,0,1.4291084939486682E15,59.686733119606,1.429108493948826E15,1.429108493948641E15,No Label
10.0.2.15-131.202.240.150-49922-21-6,10.0.2.15,49922,131.202.240.150,21,6,15/04/2015 10:34:56 a.m.,46711517,12,15,332.0,504.0,73.0,0.0,27.666666666666668,26.803437138252296,83.0,0.0,33.599999999999994,33.46170519094498,17.89708520920012,0.5780159098665111,1796596.8076923077,7808776.072417157,3.9825317E7,9.0,4.6711517E7,4246501.545454546,1.1874316653148755E7,3.9825317E7,824.0,4.6656216E7,3332586.8571428573,1.0588776216110006E7,3.9874884E7,9.0,1,0,0,0,240,300,0.2568959599406716,0.3211199499258395,0.0,83.0,31.35714285714285,29.770995437038536,886.3121693121694,0,0,0,15,27,0,0,0,1.0,32.51851851851852,27.666666666666668,33.6,0,0,0,0,9,5481,0,12,0,18,63824,65535,6,20,0,0,0,0,1.4291085157458195E15,2.197938849426886E7,1.429108543408099E15,1.429108496697219E15,No Label
10.0.2.15-137.116.64.35-49942-443-6,10.0.2.15,49942,137.116.64.35,443,6,15/04/2015 10:35:36 a.m.,1638283,9,14,760.0,9679.0,357.0,0.0,84.44444444444444,134.53076888867386,1420.0,0.0,691.3571428571429,684.3704133269955,6371.914986604878,14.039088484712348,74467.40909090909,294277.02511581697,1389583.0,9.0,1638283.0,204785.375,479317.88684306,1389583.0,484.0,211165.0,16243.461538461537,20477.074374429016,51230.0,9.0,0,0,0,0,192,284,5.493556363583093,8.545532121129256,0.0,1420.0,434.9583333333333,606.0850477820151,367339.0851449275,0,2,1,12,22,0,0,0,1.0,453.8695652173913,84.44444444444444,691.3571428571429,0,0,0,0,13,49802,0,33,0,420,8192,65535,3,20,0,0,0,0,1.4291085370369095E15,338386.7088818041,1.429108538473617E15,1.429108536835623E15,No Label
10.0.2.15-134.170.24.236-49242-443-6,10.0.2.15,49242,134.170.24.236,443,6,15/04/2015 10:34:29 a.m.,104003,2,2,533.0,549.0,533.0,0.0,266.5,376.8879143724298,549.0,0.0,274.5,388.2016228714146,10403.546051556204,38.460429026085784,34667.666666666664,32527.486843181312,65279.0,514.0,104003.0,104003.0,0.0,104003.0,104003.0,38210.0,38210.0,0.0,38210.0,38210.0,1,0,0,0,40,40,19.230214513042892,19.230214513042892,0.0,549.0,323.0,294.9296526292329,86983.5,0,0,0,2,4,0,0,0,1.0,403.75,266.5,274.5,0,0,0,0,0,0,0,133,0,137,63094,65535,0,20,0,0,0,0,1.4291084690601795E15,19504.12634546854,1.429108469073971E15,1.429108469046388E15,No Label
10.0.2.15-213.199.179.168-49232-40016-6,10.0.2.15,49232,213.199.179.168,40016,6,15/04/2015 10:35:22 a.m.,18109592,2,2,2.0,2.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,0.2208774223074711,0.2208774223074711,6036530.666666666,1.0443600238754945E7,1.8095759E7,212.0,1.8109592E7,1.8109592E7,0.0,1.8109592E7,1.8109592E7,1.8095759E7,1.8095759E7,0.0,1.8095759E7,1.8095759E7,1,0,0,0,40,40,0.11043871115373555,0.11043871115373555,0.0,2.0,1.2,1.0954451150103321,1.1999999999999997,0,0,0,2,4,0,0,0,1.0,1.5,1.0,1.0,0,0,0,0,0,0,0,0,0,0,63891,65535,0,20,0,0,0,0,1.429108532041816E15,1.2785852491513345E7,1.429108541082779E15,1.429108523000853E15,No Label
10.0.2.15-10.0.2.3-54766-53-17,10.0.2.15,54766,10.0.2.3,53,17,15/04/2015 10:35:36 a.m.,1001,1,1,46.0,464.0,46.0,46.0,46.0,0.0,464.0,464.0,464.0,0.0,509490.5094905095,1998.0019980019981,1001.0,0.0,1001.0,1001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,999.0009990009991,999.0009990009991,46.0,464.0,185.33333333333334,241.33241252126356,58241.333333333336,0,0,0,0,0,0,0,0,1.0,278.0,46.0,464.0,0,0,0,0,0,0,0,23,0,232,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.0.2.15-65.54.225.168-49934-443-6,10.0.2.15,49934,65.54.225.168,443,6,15/04/2015 10:34:17 a.m.,678031,11,10,1941.0,3550.0,1413.0,0.0,176.45454545454547,418.9793225533603,1338.0,0.0,355.0,542.9798441112811,8098.449775895202,30.972035201930293,33901.549999999996,60528.93780096556,224416.0,15.0,678031.0,67803.1,72892.22565838783,224662.0,89.0,578467.0,64274.11111111111,75833.9696350594,224416.0,56.0,0,0,0,0,232,204,16.223447010534915,14.748588191395378,0.0,1413.0,249.5909090909091,470.11271790121526,221005.9675324676,0,2,0,9,20,0,0,0,0.0,261.4761904761905,176.45454545454547,355.0,0,0,0,0,9,9497,0,92,0,169,65535,65535,4,20,0,0,0,0,1.4291084578449495E15,171952.60448956862,1.429108458215997E15,1.429108457538152E15,No Label
10.0.2.15-64.233.171.188-49190-5228-6,10.0.2.15,49190,64.233.171.188,5228,6,15/04/2015 10:33:48 a.m.,90015893,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03332744807630803,0.06665489615261606,1.80031786E7,2.4650122584945783E7,4.5012235E7,130.0,9.0015744E7,4.5007872E7,11183.600851246436,4.501578E7,4.4999964E7,9.0015763E7,4.50078815E7,6367.496564584861,4.5012384E7,4.5003379E7,0,0,0,0,60,60,0.03332744807630803,0.03332744807630803,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,0,0,0,0,63719,65535,2,20,0,0,0,0,1.4291084736166825E15,3.674582625718308E7,1.42910851862404E15,1.429108428615516E15,No Label
10.0.2.15-239.255.255.250-1900-1900-17,10.0.2.15,1900,239.255.255.250,1900,17,15/04/2015 10:34:40 a.m.,6436867,18,0,8517.0,0.0,508.0,428.0,473.1666666666667,30.860692684079154,0,0,0,0,1323.1592325893948,2.796391474299531,378639.23529411765,834745.3822919246,2607649.0,31148.0,6436867.0,378639.23529411765,834745.3822919246,2607649.0,31148.0,0,0,0,0,0,0,0,0,0,144,0,2.796391474299531,0.0,428.0,508.0,470.7894736842105,31.7307753649853,1006.8421052631579,0,0,0,0,0,0,0,0,0.0,496.94444444444446,473.1666666666667,0.0,0,0,0,0,6,6808,1,473,0,0,0,0,17,8,0,0,0,0,1.4291084840799078E15,2415911.1167033575,1.429108487252737E15,1.429108480940805E15,No Label
10.0.2.15-131.202.240.150-49927-21-6,10.0.2.15,49927,131.202.240.150,21,6,15/04/2015 10:35:14 a.m.,12690881,8,10,180.0,497.0,55.0,0.0,22.5,25.213375135318273,113.0,0.0,49.7,47.22064049638557,53.34539028456732,1.4183412483341387,746522.4117647059,1974831.1715028028,7812798.0,136.0,1.2690881E7,1812983.0,2868828.6717381133,7812798.0,1263.0,1.2629067E7,1403229.6666666667,2632387.375032691,7862450.0,462.0,1,0,0,0,160,200,0.630373888148506,0.7879673601856325,0.0,113.0,37.473684210526315,39.308422084632525,1545.1520467836258,0,0,0,10,18,0,0,0,1.0,39.55555555555556,22.5,49.7,0,0,0,0,4,112379,0,10,0,27,63791,65535,3,20,0,0,0,0,1.4291085205175668E15,5223352.304820151,1.429108527488103E15,1.429108514921397E15,No Label
10.0.2.15-173.252.107.17-49235-5222-6,10.0.2.15,49235,173.252.107.17,5222,6,15/04/2015 10:31:22 a.m.,144831,2,2,213.0,202.0,213.0,0.0,106.5,150.61374439273462,202.0,0.0,101.0,142.8355697996826,2865.4086487009,27.618396613984576,48277.0,77079.74746326041,137180.0,154.0,144831.0,144831.0,0.0,144831.0,144831.0,137180.0,137180.0,0.0,137180.0,137180.0,1,0,0,0,40,40,13.809198306992288,13.809198306992288,0.0,213.0,125.6,114.74449877880856,13166.3,0,0,0,2,4,0,0,0,1.0,157.0,106.5,101.0,0,0,0,0,0,0,0,53,0,50,64038,65535,0,20,0,0,0,0,1.4291082829503315E15,91590.83426031232,1.429108283015096E15,1.429108282885567E15,No Label
10.0.2.15-157.56.116.200-49238-12350-6,10.0.2.15,49238,157.56.116.200,12350,6,15/04/2015 10:35:22 a.m.,124735,2,2,5.0,5.0,5.0,0.0,2.5,3.5355339059327378,5.0,0.0,2.5,3.5355339059327378,80.16996031586964,32.06798412634786,41578.33333333333,64959.32484511622,116440.0,84.0,124735.0,124735.0,0.0,124735.0,124735.0,116440.0,116440.0,0.0,116440.0,116440.0,1,0,0,0,40,40,16.03399206317393,16.03399206317393,0.0,5.0,3.0,2.7386127875258306,7.5,0,0,0,2,4,0,0,0,1.0,3.75,2.5,2.5,0,0,0,0,0,0,0,1,0,1,63466,65535,0,20,0,0,0,0,1.4291085230495915E15,76470.06285141918,1.429108523103664E15,1.429108522995519E15,No Label
10.0.2.15-10.0.2.3-62585-53-17,10.0.2.15,62585,10.0.2.3,53,17,15/04/2015 10:35:37 a.m.,148637,2,1,82.0,408.0,41.0,41.0,41.0,0.0,408.0,408.0,408.0,0.0,3296.6219716490514,20.18339982642276,74318.5,76751.49135033143,128590.0,20047.0,20047.0,20047.0,0.0,20047.0,20047.0,0,0,0,0,0,0,0,0,0,16,8,13.455599884281842,6.727799942140921,41.0,408.0,132.75,183.5,33672.25,0,0,0,0,0,0,0,0,0.0,177.0,41.0,408.0,0,0,0,0,0,0,0,27,0,136,0,0,1,8,0,0,0,0,1.429108537470463E15,0.0,1.429108537470463E15,1.429108537470463E15,No Label
131.202.240.150-10.0.2.15-33061-49931-6,131.202.240.150,33061,10.0.2.15,49931,6,15/04/2015 10:34:13 a.m.,862,18,1,31.0,0.0,31.0,0.0,1.7222222222222223,7.306770072260991,0.0,0.0,0.0,0.0,35962.87703016241,22041.763341067286,47.888888888888886,172.77591365658952,737.0,1.0,837.0,49.23529411764706,177.99597236024917,737.0,1.0,0,0,0,0,0,0,0,0,0,360,20,20881.67053364269,1160.092807424594,0.0,31.0,1.55,6.931810730249349,48.050000000000004,0,0,1,1,19,0,0,0,0.0,1.631578947368421,1.7222222222222223,0.0,0,0,0,0,0,0,0,1,0,0,65535,0,1,20,0,0,0,0,1.4291084536606148E15,195.8302608440129,1.429108453661355E15,1.429108453660522E15,No Label
10.0.2.15-65.54.225.168-49933-443-6,10.0.2.15,49933,65.54.225.168,443,6,15/04/2015 10:34:16 a.m.,884988,10,10,3013.0,3310.0,1413.0,0.0,301.3,532.9004597483474,1338.0,0.0,331.0,541.1103810170754,7144.729646051698,22.59917648600885,46578.31578947368,104738.61114966821,438815.0,10.0,884988.0,98332.0,138029.58451813873,439446.0,263.0,780489.0,86721.0,141490.5393851476,438815.0,10.0,0,0,0,0,212,204,11.299588243004425,11.299588243004425,0.0,1413.0,301.0952380952381,514.3273184229967,264532.59047619055,0,2,0,9,19,0,0,0,1.0,316.15,301.3,331.0,0,0,0,0,9,8104,0,150,0,165,65535,65535,4,20,0,0,0,0,1.4291084569550132E15,201067.0757040703,1.429108457516755E15,1.429108456632008E15,No Label
10.0.2.15-65.54.225.168-49932-443-6,10.0.2.15,49932,65.54.225.168,443,6,15/04/2015 10:34:16 a.m.,573676,10,9,1856.0,3646.0,1461.0,0.0,185.6,455.6563519924979,1338.0,0.0,405.1111111111111,563.7005952729792,9590.779464366646,33.11974006233484,31870.888888888883,49278.11552795954,111916.0,15.0,573676.0,63741.77777777778,53843.71492750518,112332.0,135.0,469500.0,58687.5,55055.428996603056,111916.0,147.0,0,0,0,0,212,184,17.431442138070967,15.688297924263871,0.0,1461.0,275.09999999999997,498.3435614745693,248346.30526315785,0,2,0,8,18,0,0,0,0.0,289.57894736842104,185.6,405.1111111111111,0,0,0,0,8,11766,0,97,0,191,65535,65535,3,20,0,0,0,0,1.4291084563289978E15,151190.02163904463,1.429108456622519E15,1.429108456049042E15,No Label
10.0.2.2-10.0.2.15-0-0-0,10.0.2.2,0,10.0.2.15,0,0,15/04/2015 10:34:40 a.m.,6438065,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.795871119660954,378709.705882353,835025.7689448695,2609307.0,31142.0,6438065.0,378709.705882353,835025.7689448695,2609307.0,31142.0,0,0,0,0,0,0,0,0,0,0,0,2.795871119660954,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4291084840804718E15,2416137.366133152,1.429108487253755E15,1.429108480941967E15,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/04/2015 10:34:16 a.m.,80817201,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.049494413942893174,2.6939067E7,4.665939194566325E7,8.0816692E7,162.0,8.0817201E7,2.6939067E7,4.665939194566325E7,8.0816692E7,162.0,0,0,0,0,0,0,0,0,0,0,0,0.049494413942893174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4291084964221025E15,5.7145671028912984E7,1.429108536830194E15,1.429108456014011E15,No Label
10.0.2.15-10.0.2.255-138-138-17,10.0.2.15,138,10.0.2.255,138,17,15/04/2015 10:34:35 a.m.,4530749,5,0,928.0,0.0,188.0,176.0,185.6,5.366563145999495,0,0,0,0,204.8226463218333,1.1035702926822917,1132687.25,255077.0125176251,1515153.0,999983.0,4530749.0,1132687.25,255077.0125176251,1515153.0,999983.0,0,0,0,0,0,0,0,0,0,40,0,1.1035702926822917,0.0,176.0,188.0,184.0,6.196773353931869,38.40000000000002,0,0,0,0,0,0,0,0,0.0,220.8,185.6,0.0,0,0,0,0,0,0,1,185,0,0,0,0,4,8,0,0,0,0,1.4291084778517322E15,1273445.3411973887,1.429108479033529E15,1.429108476503087E15,No Label
207.46.7.252-10.0.2.15-80-49926-6,207.46.7.252,80,10.0.2.15,49926,6,15/04/2015 10:31:41 a.m.,202,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14851.485148514852,101.0,22.627416997969522,117.0,85.0,0,0,0,0,0,117.0,117.0,0.0,117.0,117.0,0,0,0,0,20,40,4950.495049504951,9900.990099009901,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,64062,0,20,0,0,0,0,0,0,0,0,No Label
