Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-224.0.0.252-60084-5355-17,131.202.240.87,60084,224.0.0.252,5355,17,04/05/2015 02:14:28 p.m.,413734,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.34852344743241,4.83402379306511,413734.0,0.0,413734.0,413734.0,413734.0,413734.0,0.0,413734.0,413734.0,0,0,0,0,0,0,0,0,0,16,0,4.83402379306511,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.240.242-38038-22-6,131.202.240.87,38038,131.202.240.242,22,6,04/05/2015 02:14:31 p.m.,1682,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,25564.803804994055,2972.651605231867,420.5,410.454625994153,901.0,67.0,781.0,390.5,423.556961930742,690.0,91.0,1059.0,1059.0,0.0,1059.0,1059.0,0,0,0,0,72,52,1783.5909631391203,1189.0606420927468,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.4307632713344758E15,764.8871376440667,1.430763271335276E15,1.430763271333752E15,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,04/05/2015 02:14:21 p.m.,18797771,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,31.9186780177288,0.638373560354576,1708888.2727272727,2728205.775285621,8036869.0,27253.0,1.8797771E7,1708888.2727272727,2728205.775285621,8036869.0,27253.0,0,0,0,0,0,0,0,0,0,96,0,0.638373560354576,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,0,0,0,0,6,195,1,50,0,0,0,0,11,8,0,0,0,0,1.4307632727043332E15,6929412.456292428,1.430763279812184E15,1.430763261825021E15,No Label
131.202.240.87-131.202.240.242-38040-22-6,131.202.240.87,38040,131.202.240.242,22,6,04/05/2015 02:14:41 p.m.,1449,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,29675.638371290544,3450.655624568668,362.25,370.79228237204,860.0,69.0,589.0,294.5,289.20667350529794,499.0,90.0,1019.0,1019.0,0.0,1019.0,1019.0,0,0,0,0,72,52,2070.3933747412007,1380.2622498274673,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.4307632814564972E15,654.6528342055301,1.430763281457207E15,1.430763281455917E15,No Label
131.202.240.87-224.0.0.252-51220-5355-17,131.202.240.87,51220,224.0.0.252,5355,17,04/05/2015 02:14:28 p.m.,414068,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.26273945342311,4.830124520610141,414068.0,0.0,414068.0,414068.0,414068.0,414068.0,0.0,414068.0,414068.0,0,0,0,0,0,0,0,0,0,16,0,4.830124520610141,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.240.242-38043-22-6,131.202.240.87,38043,131.202.240.242,22,6,04/05/2015 02:14:56 p.m.,3949,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,10888.832615852114,1266.1433274246644,987.25,1535.963839635122,3270.0,68.0,679.0,339.5,351.4320702497141,588.0,91.0,3429.0,3429.0,0.0,3429.0,3429.0,0,0,0,0,72,52,759.6859964547987,506.4573309698658,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.4307632966333572E15,2049.469768826399,1.430763296635703E15,1.430763296631913E15,No Label
131.202.240.87-131.202.240.242-38046-22-6,131.202.240.87,38046,131.202.240.242,22,6,04/05/2015 02:15:06 p.m.,2018,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,21308.22596630327,2477.7006937561946,504.5,528.8115606401459,1032.0,37.0,1131.0,565.5,712.0565286548533,1069.0,62.0,986.0,986.0,0.0,986.0,986.0,0,0,0,0,72,52,1486.6204162537167,991.0802775024778,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.430763306734187E15,961.1498322322071,1.430763306735114E15,1.430763306733195E15,No Label
131.202.240.87-131.202.240.242-38049-22-6,131.202.240.87,38049,131.202.240.242,22,6,04/05/2015 02:15:21 p.m.,1237,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,34761.519805982214,4042.037186742118,309.25,240.27675015836772,630.0,64.0,607.0,303.5,130.8147545195113,396.0,211.0,905.0,905.0,0.0,905.0,905.0,0,0,0,0,72,52,2425.222312045271,1616.8148746968473,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,2,1,1,4,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,1,20,0,0,0,0,1.4307633219306992E15,481.00138599938913,1.430763321931181E15,1.430763321930219E15,No Label
131.202.240.87-224.0.0.252-54106-5355-17,131.202.240.87,54106,224.0.0.252,5355,17,04/05/2015 02:14:38 p.m.,441956,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,99.55742200581052,4.525337363900479,441956.0,0.0,441956.0,441956.0,441956.0,441956.0,0.0,441956.0,441956.0,0,0,0,0,0,0,0,0,0,16,0,4.525337363900479,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-50566-5355-17,131.202.240.87,50566,224.0.0.252,5355,17,04/05/2015 02:14:21 p.m.,411721,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.86848618360492,4.857658462891132,411721.0,0.0,411721.0,411721.0,411721.0,411721.0,0.0,411721.0,411721.0,0,0,0,0,0,0,0,0,0,16,0,4.857658462891132,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
