Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.17.58.49-131.202.240.86-27603-49624-17,162.17.58.49,27603,131.202.240.86,49624,17,31/03/2015 02:29:45 p.m.,122,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,360655.737704918,16393.44262295082,122.0,0.0,122.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8196.72131147541,8196.72131147541,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,0,11,0,11,0,0,0,8,0,0,0,0,0,0,0,0,No Label
109.192.50.129-131.202.240.86-28151-49624-17,109.192.50.129,28151,131.202.240.86,49624,17,31/03/2015 02:27:31 p.m.,153,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,287581.6993464052,13071.8954248366,153.0,0.0,153.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6535.9477124183,6535.9477124183,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
12.251.243.118-131.202.240.86-58948-49624-17,12.251.243.118,58948,131.202.240.86,49624,17,31/03/2015 02:28:06 p.m.,146,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,301369.86301369866,13698.630136986301,146.0,0.0,146.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6849.315068493151,6849.315068493151,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.86-54.183.74.146-2200-443-6,131.202.240.86,2200,54.183.74.146,443,6,31/03/2015 02:30:55 p.m.,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,40,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,255,0,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.86-23.96.89.49-2224-443-6,131.202.240.86,2224,23.96.89.49,443,6,31/03/2015 02:30:56 p.m.,255432,30,14,27930.0,5307.0,1350.0,0.0,931.0,603.618171157665,1350.0,0.0,379.07142857142856,562.3896082153113,130120.7366344076,172.2571956528548,5940.279069767442,12185.96190064926,36002.0,1.0,255432.0,8808.000000000002,14343.522686963219,36059.0,3.0,223079.0,17159.923076923074,19009.149676149547,47413.0,1.0,0,0,0,0,612,292,117.44808794512825,54.80910770772652,0.0,1350.0,738.6000000000001,642.1496710269342,412356.19999999984,0,2,0,9,43,0,0,0,0.0,755.3863636363636,931.0,379.07142857142856,0,0,0,0,30,149229,0,634,0,120,8192,516,23,20,0,0,0,0,1.4278266570582708E15,68800.18726130913,1.427826657153985E15,1.427826656899066E15,No Label
131.202.240.86-54.183.74.146-2155-443-6,131.202.240.86,2155,54.183.74.146,443,6,31/03/2015 02:26:33 p.m.,33,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,60606.0606060606,33.0,0.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,40,0,60606.0606060606,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,6,31/03/2015 02:28:17 p.m.,331610,2,1,213.0,202.0,213.0,0.0,106.5,150.61374439273462,202.0,202.0,202.0,0.0,1251.470100419167,9.046771810259038,165805.0,41435.04316396931,195104.0,136506.0,331610.0,331610.0,0.0,331610.0,331610.0,0,0,0,0,0,1,0,0,0,40,20,6.031181206839359,3.0155906034196795,0.0,213.0,157.0,104.7950380504726,10982.0,0,0,0,2,3,0,0,0,0.0,209.33333333333334,106.5,202.0,0,0,0,0,0,0,0,71,0,67,256,100,0,20,0,0,0,0,1.427826498091039E15,0.0,1.427826498091039E15,1.427826498091039E15,No Label
131.202.240.86-173.241.242.220-2198-443-6,131.202.240.86,2198,173.241.242.220,443,6,31/03/2015 02:26:32 p.m.,45537,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.92032852405736,45537.0,0.0,45537.0,45537.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21.96016426202868,21.96016426202868,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,40958,0,20,0,0,0,0,0,0,0,0,No Label
78.242.10.199-131.202.240.86-57404-49624-17,78.242.10.199,57404,131.202.240.86,49624,17,31/03/2015 02:29:15 p.m.,139,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,316546.76258992805,14388.489208633095,139.0,0.0,139.0,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7194.244604316547,7194.244604316547,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.86-131.202.244.3-56909-53-17,131.202.240.86,56909,131.202.244.3,53,17,31/03/2015 02:21:23 p.m.,362,1,1,41.0,175.0,41.0,41.0,41.0,0.0,175.0,175.0,175.0,0.0,596685.0828729281,5524.861878453038,362.0,0.0,362.0,362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2762.430939226519,2762.430939226519,41.0,175.0,85.66666666666666,77.36493607140984,5985.333333333333,0,0,0,0,0,0,0,0,1.0,128.5,41.0,175.0,0,0,0,0,0,0,0,20,0,87,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.86-131.202.244.3-56960-53-17,131.202.240.86,56960,131.202.244.3,53,17,31/03/2015 02:30:55 p.m.,83747,1,1,40.0,410.0,40.0,40.0,40.0,0.0,410.0,410.0,410.0,0.0,5373.326805736325,23.88145246993922,83747.0,0.0,83747.0,83747.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11.94072623496961,11.94072623496961,40.0,410.0,163.33333333333331,213.61959960016154,45633.33333333333,0,0,0,0,0,0,0,0,1.0,245.0,40.0,410.0,0,0,0,0,0,0,0,20,0,205,0,0,0,8,0,0,0,0,0,0,0,0,No Label
