Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-86.29.143.161-54186-30882-17,10.0.2.15,54186,86.29.143.161,30882,17,14/04/2015 10:27:49 a.m.,129001,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,341.0826272664553,15.503755784838877,129001.0,0.0,129001.0,129001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.751877892419438,7.751877892419438,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.0.2.15-224.0.0.252-59903-5355-17,10.0.2.15,59903,224.0.0.252,5355,17,14/04/2015 10:49:10 a.m.,410178,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.27050207470903,4.875931912486775,410178.0,0.0,410178.0,410178.0,410178.0,410178.0,0.0,410178.0,410178.0,0,0,0,0,0,0,0,0,0,16,0,4.875931912486775,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.0.2.15-224.0.0.252-54650-5355-17,10.0.2.15,54650,224.0.0.252,5355,17,14/04/2015 10:59:12 a.m.,410423,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.20646747380142,4.873021248809156,410423.0,0.0,410423.0,410423.0,410423.0,410423.0,0.0,410423.0,410423.0,0,0,0,0,0,0,0,0,0,16,0,4.873021248809156,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.101-10.0.2.15-44106-54186-17,131.202.240.101,44106,10.0.2.15,54186,17,14/04/2015 10:59:49 a.m.,101359578,5185,5186,530019.0,375737.0,248.0,3.0,102.22160077145637,17.722180755315406,237.0,3.0,72.45217894330901,14.040859512478889,8936.067196333433,102.31889481623533,9774.308389585292,6092.385787460871,26151.0,0.0,1.01359578E8,19552.38773148149,2959.5591281153756,26151.0,1.0,1.01344874E8,19545.780906460954,7865.765057981263,34941.0,123.0,0,0,0,0,41480,41488,51.15451447518852,51.1643803410468,3.0,248.0,87.3354222907828,21.84285719315711,477.11041036065524,0,0,0,0,0,0,0,0,1.0,87.34384340950729,102.22160077145612,72.45217894330891,0,0,0,0,10371,8936,0,51,0,36,0,0,5184,8,0,0,0,0,1.4290236400694775E15,2.932385046736352E7,1.42902369072784E15,1.429023589386343E15,No Label
10.0.2.15-134.170.19.160-49898-443-6,10.0.2.15,49898,134.170.19.160,443,6,14/04/2015 11:01:27 a.m.,1198969,4,4,1466.0,1098.0,773.0,0.0,366.5,424.4561225851266,549.0,0.0,274.5,316.96529778510455,2138.5039980182974,6.67239936979188,171281.2857142857,287250.4774865276,786818.0,191.0,1198969.0,399656.3333333333,354351.69669741014,786818.0,91426.0,1153161.0,384387.0,410942.16484683094,839264.0,39950.0,1,0,0,0,80,80,3.33619968489594,3.33619968489594,0.0,773.0,361.8888888888889,350.38494703841246,122769.61111111111,0,0,0,4,8,0,0,0,1.0,407.125,366.5,274.5,0,0,0,0,4,2223,0,183,0,137,63691,65535,1,20,0,0,0,0,1.4290236882006645E15,508017.338016282,1.429023688838158E15,1.429023687725917E15,No Label
10.0.2.15-157.56.53.45-49886-12350-6,10.0.2.15,49886,157.56.53.45,12350,6,14/04/2015 11:00:30 a.m.,100012,2,2,5.0,5.0,5.0,0.0,2.5,3.5355339059327378,5.0,0.0,2.5,3.5355339059327378,99.98800143982722,39.99520057593089,33337.333333333336,48605.626529583315,89176.0,515.0,100012.0,100012.0,0.0,100012.0,100012.0,89176.0,89176.0,0.0,89176.0,89176.0,1,0,0,0,40,40,19.997600287965444,19.997600287965444,0.0,5.0,3.0,2.7386127875258306,7.5,0,0,0,2,4,0,0,0,1.0,3.75,2.5,2.5,0,0,0,0,0,0,0,1,0,1,63684,65535,0,20,0,0,0,0,1.429023630536196E15,55394.74523815413,1.429023630575366E15,1.429023630497026E15,No Label
10.0.2.15-193.149.69.36-49897-443-6,10.0.2.15,49897,193.149.69.36,443,6,14/04/2015 10:59:38 a.m.,177480,3,3,90.0,90.0,53.0,0.0,30.0,27.184554438136374,90.0,0.0,30.0,51.96152422706632,1014.1987829614604,33.80662609871535,35496.0,54377.21081942324,124412.0,260.0,177480.0,88740.0,124224.51931885268,176580.0,900.0,125381.0,62690.5,87287.38239001099,124412.0,969.0,1,0,0,0,60,60,16.903313049357674,16.903313049357674,0.0,90.0,31.0,33.96076167186674,1153.3333333333333,0,0,0,3,6,0,0,0,1.0,36.166666666666664,30.0,30.0,0,0,0,0,0,0,0,15,0,15,63610,65535,1,20,0,0,0,0,1.4290235787914632E15,58941.17784919131,1.429023578871778E15,1.429023578746726E15,No Label
10.0.2.15-10.0.2.3-49658-53-17,10.0.2.15,49658,10.0.2.3,53,17,14/04/2015 10:49:22 a.m.,753,1,1,47.0,394.0,47.0,47.0,47.0,0.0,394.0,394.0,394.0,0.0,585657.3705179283,2656.042496679947,753.0,0.0,753.0,753.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1328.0212483399735,1328.0212483399735,47.0,394.0,162.66666666666669,200.34054340880016,40136.333333333336,0,0,0,0,0,0,0,0,1.0,244.0,47.0,394.0,0,0,0,0,0,0,0,23,0,197,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.22.188-49177-5228-6,10.0.2.15,49177,74.125.22.188,5228,6,14/04/2015 11:01:11 a.m.,160,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6249.999999999999,12499.999999999998,160.0,0.0,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6249.999999999999,6249.999999999999,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,63678,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-10.0.2.3-52433-53-17,10.0.2.15,52433,10.0.2.3,53,17,14/04/2015 10:48:47 a.m.,907,1,1,37.0,373.0,37.0,37.0,37.0,0.0,373.0,373.0,373.0,0.0,452039.6912899669,2205.071664829107,907.0,0.0,907.0,907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1102.5358324145534,1102.5358324145534,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,1.0,223.5,37.0,373.0,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0,0,0,0,0,0,0,0,No Label
