Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.150,40273,131.202.240.86,49624,17,31/03/2015 02:33:03 p.m.,50374632,224,230,269354.0,6564.0,1378.0,3.0,1202.4732142857144,441.3894076037383,237.0,3.0,28.53913043478262,18.454375207686024,5477.3204100031935,9.012472785905414,111202.2781456954,847418.489319465,9749108.0,0.0,5.0086408E7,224602.72645739908,1222505.5371082628,1.0029215E7,27.0,5.0050394E7,218560.67248908296,1196795.913760282,9861298.0,1.0,0,0,0,0,1792,1840,4.446682608023816,4.565790177881597,3.0,1378.0,606.4197802197805,664.1848284867864,441141.4863920219,0,0,0,0,0,0,0,0,1.0,607.7555066079295,1202.4732142857142,28.53913043478261,0,0,0,0,74,50658,0,593,0,14,0,0,223,8,0,0,0,0,1.4278268154838922E15,4371067.759681021,1.427826833671841E15,1.42782678391045E15,No Label
131.202.240.150-216.58.219.238-51406-443-6,131.202.240.150,51406,216.58.219.238,443,6,31/03/2015 02:33:05 p.m.,45053644,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08878305159955541,1.5017881333333332E7,2.5966964309597038E7,4.5001949E7,25571.0,4.5028073E7,4.5028073E7,0.0,4.5028073E7,4.5028073E7,4.502752E7,4.502752E7,0.0,4.502752E7,4.502752E7,0,0,0,0,64,64,0.044391525799777704,0.044391525799777704,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,1.427826808245179E15,3.1784629419457734E7,1.427826830720306E15,1.427826785770052E15,No Label
131.202.240.150-23.45.42.52-50646-80-6,131.202.240.150,50646,23.45.42.52,80,6,31/03/2015 02:33:09 p.m.,45136643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08861979390004703,1.5045547666666668E7,2.595644787714837E7,4.5017464E7,40619.0,4.5096024E7,4.5096024E7,0.0,4.5096024E7,4.5096024E7,4.5058083E7,4.5058083E7,0.0,4.5058083E7,4.5058083E7,0,0,0,0,64,64,0.04430989695002351,0.04430989695002351,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,361,996,0,32,0,0,0,0,1.4278268120587535E15,3.1747881787146248E7,1.427826834507896E15,1.427826789609611E15,No Label
131.202.240.150-23.45.42.52-50674-80-6,131.202.240.150,50674,23.45.42.52,80,6,31/03/2015 02:33:09 p.m.,45121800,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08864894574241276,1.50406E7,2.5945372228491675E7,4.4999727E7,41746.0,4.5080054E7,4.5080054E7,0.0,4.5080054E7,4.5080054E7,4.5041473E7,4.5041473E7,0.0,4.5041473E7,4.5041473E7,0,0,0,0,64,64,0.04432447287120638,0.04432447287120638,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,274,724,0,32,0,0,0,0,1.427826812143279E15,3.1733293467143588E7,1.427826834582106E15,1.427826789704452E15,No Label
131.202.240.150-131.202.6.3-50187-53-17,131.202.240.150,50187,131.202.6.3,53,17,31/03/2015 02:33:37 p.m.,197119,1,1,31.0,232.0,31.0,31.0,31.0,0.0,232.0,232.0,232.0,0.0,1334.2194309021454,10.146155368077151,197119.0,0.0,197119.0,197119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.073077684038576,5.073077684038576,31.0,232.0,98.0,116.04740410711477,13467.0,0,0,0,0,0,0,0,0,1.0,147.0,31.0,232.0,0,0,0,0,0,0,0,15,0,116,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.49.91.178-41488-80-6,131.202.240.150,41488,23.49.91.178,80,6,31/03/2015 02:33:44 p.m.,22070,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.62075215224287,22070.0,0.0,22070.0,22070.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.310376076121436,45.310376076121436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,457,486,0,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.21.145.72-41121-443-6,131.202.240.150,41121,23.21.145.72,443,6,31/03/2015 02:33:09 p.m.,30062949,9,6,5283.0,726.0,1338.0,0.0,587.0,598.090085187842,242.0,0.0,121.0,132.5488589162502,199.8805905568346,0.4989530468218537,2147353.4999999995,7450491.7783355,2.7973268E7,8.0,3.0062949E7,3757868.6249999995,9806787.996999701,2.7973268E7,8.0,3.0007044E7,6001408.799999999,1.234337878510575E7,2.8029145E7,1413.0,0,0,0,0,288,192,0.29937182809311225,0.1995812187287415,0.0,1338.0,459.1875,551.0656607882585,303673.3625,0,0,0,6,15,0,0,0,0.0,489.8,587.0,121.0,0,0,0,0,0,0,0,352,0,48,507,136,5,32,0,0,0,0,1.4278268097530448E15,1.3907414899509065E7,1.427826819764869E15,1.427826789706367E15,No Label
131.202.240.150-216.58.219.238-51416-443-6,131.202.240.150,51416,216.58.219.238,443,6,31/03/2015 02:33:06 p.m.,45193535,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08850823464019798,1.5064511666666668E7,2.60478308746077E7,4.5141956E7,25558.0,4.5167977E7,4.5167977E7,0.0,4.5167977E7,4.5167977E7,4.5167514E7,4.5167514E7,0.0,4.5167514E7,4.5167514E7,0,0,0,0,64,64,0.04425411732009899,0.04425411732009899,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,341,0,32,0,0,0,0,1.4278268089431275E15,3.1883711342957936E7,1.427826831488316E15,1.427826786397939E15,No Label
131.202.240.150-54.243.198.236-50595-80-6,131.202.240.150,50595,54.243.198.236,80,6,31/03/2015 02:33:05 p.m.,50060104,10,10,380.0,6.0,157.0,0.0,38.0,62.87907265360851,3.0,0.0,0.6,1.2649110640673518,7.71073108437809,0.39951974530456424,2634742.3157894737,4136852.3461788488,9945720.0,81.0,5.0005155E7,5556128.333333333,4569850.3621186,1.0000333E7,1644.0,5.0000958E7,5555661.999999999,4554835.4209903125,1.0000169E7,1754.0,1,0,0,0,200,200,0.19975987265228212,0.19975987265228212,0.0,157.0,18.9047619047619,46.183227217145365,2132.8904761904764,0,0,0,10,20,0,0,0,1.0,19.85,38.0,0.6,0,0,0,0,0,0,0,19,0,0,245,55,7,20,0,0,0,0,1.4278268125465145E15,1.5626984688939149E7,1.427826835952822E15,1.427826785955343E15,No Label
131.202.240.150-209.148.205.18-41545-80-6,131.202.240.150,41545,209.148.205.18,80,6,31/03/2015 02:33:09 p.m.,45077761,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873555188333333,1.5025920333333332E7,2.5988359466842867E7,4.5034693E7,21293.0,4.5055986E7,4.5055986E7,0.0,4.5055986E7,4.5055986E7,4.5056468E7,4.5056468E7,0.0,4.5056468E7,4.5056468E7,0,0,0,0,64,64,0.044367775941666666,0.044367775941666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,279,725,0,32,0,0,0,0,1.4278268118133165E15,3.1813883134102203E7,1.427826834309129E15,1.427826789317504E15,No Label
