Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-213.199.179.159-40273-40005-17,131.202.240.150,40273,213.199.179.159,40005,17,31/03/2015 01:27:30 p.m.,110082,1,1,43.0,21.0,43.0,43.0,43.0,0.0,21.0,21.0,21.0,0.0,581.3847858868843,18.168274558965134,110082.0,0.0,110082.0,110082.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9.084137279482567,9.084137279482567,21.0,43.0,35.666666666666664,12.701705922171765,161.33333333333331,0,0,0,0,0,0,0,0,1.0,53.5,43.0,21.0,0,0,0,0,0,0,0,21,0,10,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-50610-443-6,131.202.240.150,50610,216.58.219.238,443,6,31/03/2015 01:28:29 p.m.,25402,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.73395795606645,25402.0,0.0,25402.0,25402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.366978978033224,39.366978978033224,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-157.55.130.162-40273-40014-17,131.202.240.150,40273,157.55.130.162,40014,17,31/03/2015 01:27:31 p.m.,31831,1,1,43.0,21.0,43.0,43.0,43.0,0.0,21.0,21.0,21.0,0.0,2010.61857937231,62.83183060538469,31831.0,0.0,31831.0,31831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,31.415915302692344,31.415915302692344,21.0,43.0,35.666666666666664,12.701705922171765,161.33333333333331,0,0,0,0,0,0,0,0,1.0,53.5,43.0,21.0,0,0,0,0,0,0,0,21,0,10,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.121.37-60351-443-6,131.202.240.150,60351,173.194.121.37,443,6,31/03/2015 01:18:03 p.m.,31637,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.21711919587825,31637.0,0.0,31637.0,31637.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.608559597939124,31.608559597939124,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-111.221.77.159-40273-40005-17,131.202.240.150,40273,111.221.77.159,40005,17,31/03/2015 01:27:30 p.m.,243982,1,1,43.0,21.0,43.0,43.0,43.0,0.0,21.0,21.0,21.0,0.0,262.314433031945,8.19732603224828,243982.0,0.0,243982.0,243982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.09866301612414,4.09866301612414,21.0,43.0,35.666666666666664,12.701705922171765,161.33333333333331,0,0,0,0,0,0,0,0,1.0,53.5,43.0,21.0,0,0,0,0,0,0,0,21,0,10,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-7581-53-17,131.202.240.150,7581,131.202.6.3,53,17,31/03/2015 01:21:22 p.m.,45145,1,1,37.0,373.0,37.0,37.0,37.0,0.0,373.0,373.0,373.0,0.0,9081.847380662311,44.30169453981615,45145.0,0.0,45145.0,45145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,22.150847269908073,22.150847269908073,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,1.0,223.5,37.0,373.0,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,6,31/03/2015 01:34:22 p.m.,5018722,6,4,960.0,12.0,882.0,0.0,160.0,354.2219643105153,4.0,0.0,3.0,2.0,193.674804063664,1.9925391364574485,557635.7777777778,1080359.007828159,2870375.0,56.0,5018722.0,1003744.4,1332481.119695435,2870375.0,45999.0,4972842.0,1657614.0,1509775.7688084017,2954310.0,129.0,1,0,0,0,192,128,1.195523481874469,0.7970156545829794,0.0,882.0,168.54545454545453,353.0516573070755,124645.4727272727,0,0,0,6,10,0,0,0,0.0,185.4,160.0,3.0,0,0,0,0,0,0,0,96,0,1,261,83,2,32,0,0,0,0,1.4278232648469465E15,2087453.5297606133,1.42782326743493E15,1.427823262462582E15,No Label
131.202.240.150-216.58.219.195-44702-443-6,131.202.240.150,44702,216.58.219.195,443,6,31/03/2015 01:28:31 p.m.,25594,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1433148394155,25594.0,0.0,25594.0,25594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.07165741970775,39.07165741970775,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,6,31/03/2015 01:34:11 p.m.,45094647,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08870232424704422,1.5031549E7,2.5968450696399197E7,4.5017333E7,38639.0,4.5055972E7,4.5055972E7,0.0,4.5055972E7,4.5055972E7,4.5056008E7,4.5056008E7,0.0,4.5056008E7,4.5056008E7,0,0,0,0,64,64,0.04435116212352211,0.04435116212352211,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,977,366,0,32,0,0,0,0,1.4278232736457035E15,3.1777392181552287E7,1.427823296115713E15,1.427823251175694E15,No Label
119.28.2.37-131.202.240.150-0-0-0,119.28.2.37,0,131.202.240.150,0,0,31/03/2015 01:25:09 p.m.,45556807,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08780246605079237,1.5185602333333332E7,2.6302134325949013E7,4.5556691E7,21.0,4.5556786E7,4.5556786E7,0.0,4.5556786E7,4.5556786E7,4.5556712E7,4.5556712E7,0.0,4.5556712E7,4.5556712E7,0,0,0,0,0,0,0.04390123302539618,0.04390123302539618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4278227323107235E15,3.221336311013354E7,1.427822755089011E15,1.427822709532436E15,No Label
131.202.240.150-157.56.53.45-48676-12350-6,131.202.240.150,48676,157.56.53.45,12350,6,31/03/2015 01:35:19 p.m.,259361,2,2,247.0,56.0,247.0,0.0,123.5,174.65537495307723,56.0,0.0,28.0,39.59797974644666,1168.2558287483469,15.422519191397319,86453.66666666666,75001.95228347949,134678.0,43.0,259361.0,259361.0,0.0,259361.0,259361.0,134678.0,134678.0,0.0,134678.0,134678.0,1,0,0,0,64,64,7.711259595698659,7.711259595698659,0.0,247.0,110.0,127.13575421572014,16163.5,0,0,0,2,4,0,0,0,1.0,137.5,123.5,28.0,0,0,0,0,0,0,0,61,0,14,254,46,0,32,0,0,0,0,1.4278233200477835E15,7067.532277959543,1.427823320052781E15,1.427823320042786E15,No Label
