Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.86-217.118.78.81-1930-9874-6,131.202.240.86,1930,217.118.78.81,9874,6,31/03/2015 01:23:03 p.m.,8993017,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3335921637866358,4496508.5,2122451.0073027597,5997308.0,2995709.0,8993017.0,4496508.5,2122451.0073027597,5997308.0,2995709.0,0,0,0,0,0,0,0,0,0,92,0,0.3335921637866358,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8192,0,0,28,0,0,0,0,1.427822589898865E15,0.0,1.427822589898865E15,1.427822589898865E15,No Label
131.202.240.86-131.202.244.3-62678-53-17,131.202.240.86,62678,131.202.244.3,53,17,31/03/2015 01:35:22 p.m.,107202,1,1,34.0,243.0,34.0,34.0,34.0,0.0,243.0,243.0,243.0,0.0,2583.907016660137,18.656368351336727,107202.0,0.0,107202.0,107202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9.328184175668364,9.328184175668364,34.0,243.0,103.66666666666667,120.66620626063178,14560.333333333334,0,0,0,0,0,0,0,0,1.0,155.5,34.0,243.0,0,0,0,0,0,0,0,17,0,121,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.86-65.55.2.6-1966-443-6,131.202.240.86,1966,65.55.2.6,443,6,31/03/2015 01:35:22 p.m.,373912,10,6,893.0,4161.0,533.0,0.0,89.30000000000001,173.05622079415565,1350.0,0.0,693.5,611.5013491399671,13516.549348509809,42.79081709065235,24927.466666666667,40308.20206478128,91307.0,23.0,373912.0,41545.77777777778,45541.85271752176,91396.0,50.0,287118.0,57423.6,52470.312504310474,103091.0,122.0,0,0,0,0,212,132,26.744260681657714,16.04655640899463,0.0,1350.0,297.29411764705884,474.47863027562715,225129.9705882353,0,2,0,6,15,0,0,0,0.0,315.875,89.3,693.5,0,0,0,0,8,17619,0,55,0,260,8192,514,3,20,0,0,0,0,1.427823323110871E15,114748.28305215469,1.427823323266954E15,1.427823322893134E15,No Label
131.202.240.86-74.121.142.217-1965-443-6,131.202.240.86,1965,74.121.142.217,443,6,31/03/2015 01:35:22 p.m.,2819054,8,7,1090.0,3859.0,549.0,0.0,136.25,210.25613631269565,1350.0,0.0,551.2857142857143,595.3407187725122,1755.553458713455,5.320933901940155,201360.99999999997,694346.7855209172,2612398.0,1.0,2819054.0,402722.0,974671.7387385698,2612398.0,198.0,2769542.0,461590.3333333333,1079522.1674821998,2664529.0,1.0,0,0,0,0,172,152,2.8378314143680825,2.483102487572072,0.0,1350.0,309.3125,460.51952093984755,212078.2291666667,0,2,0,6,14,0,0,0,0.0,329.93333333333334,136.25,551.2857142857143,0,0,0,0,6,37680,0,72,0,257,8192,35,3,20,0,0,0,0,1.4278233232829188E15,1004005.9437020901,1.427823325542478E15,1.427823322775569E15,No Label
119.154.33.69-131.202.240.86-1107-49624-17,119.154.33.69,1107,131.202.240.86,49624,17,31/03/2015 01:18:32 p.m.,171,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,257309.9415204678,11695.906432748538,171.0,0.0,171.0,171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5847.953216374269,5847.953216374269,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
114.109.84.252-131.202.240.86-11901-49624-17,114.109.84.252,11901,131.202.240.86,49624,17,31/03/2015 01:18:58 p.m.,175,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,251428.57142857142,11428.57142857143,175.0,0.0,175.0,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5714.285714285715,5714.285714285715,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,6,31/03/2015 01:33:17 p.m.,345701,2,1,213.0,202.0,213.0,0.0,106.5,150.61374439273462,202.0,202.0,202.0,0.0,1200.4593564959316,8.678019444548903,172850.5,49206.85379599065,207645.0,138056.0,345701.0,345701.0,0.0,345701.0,345701.0,0,0,0,0,0,1,0,0,0,40,20,5.785346296365935,2.8926731481829675,0.0,213.0,157.0,104.7950380504726,10982.0,0,0,0,2,3,0,0,0,0.0,209.33333333333334,106.5,202.0,0,0,0,0,0,0,0,71,0,67,253,73,0,20,0,0,0,0,1.427823198023316E15,0.0,1.427823198023316E15,1.427823198023316E15,No Label
130.166.93.160-131.202.240.86-23599-49624-17,130.166.93.160,23599,131.202.240.86,49624,17,31/03/2015 01:24:01 p.m.,167,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,263473.0538922156,11976.047904191617,167.0,0.0,167.0,167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5988.023952095808,5988.023952095808,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
109.69.5.187-131.202.240.86-55417-49624-17,109.69.5.187,55417,131.202.240.86,49624,17,31/03/2015 01:24:20 p.m.,216,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,203703.7037037037,9259.25925925926,216.0,0.0,216.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4629.62962962963,4629.62962962963,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
87.113.114.106-131.202.240.86-56782-49624-17,87.113.114.106,56782,131.202.240.86,49624,17,31/03/2015 01:23:09 p.m.,668,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,65868.2634730539,2994.011976047904,668.0,0.0,668.0,668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1497.005988023952,1497.005988023952,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
