Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.244.3-42884-53-17,131.202.240.150,42884,131.202.244.3,53,17,01/04/2015 02:52:41 p.m.,464,1,1,33.0,240.0,33.0,33.0,33.0,0.0,240.0,240.0,240.0,0.0,588362.0689655172,4310.3448275862065,464.0,0.0,464.0,464.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2155.1724137931033,2155.1724137931033,33.0,240.0,102.0,119.51150572225254,14283.0,0,0,0,0,0,0,0,0,1.0,153.0,33.0,240.0,0,0,0,0,0,0,0,16,0,120,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-18555-53-17,131.202.240.150,18555,131.202.6.3,53,17,01/04/2015 03:22:41 p.m.,1245,1,1,33.0,192.0,33.0,33.0,33.0,0.0,192.0,192.0,192.0,0.0,180722.89156626505,1606.425702811245,1245.0,0.0,1245.0,1245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,803.2128514056225,803.2128514056225,33.0,192.0,86.0,91.7986928011505,8427.0,0,0,0,0,0,0,0,0,1.0,129.0,33.0,192.0,0,0,0,0,0,0,0,16,0,96,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-42884-53-17,131.202.240.150,42884,131.202.244.5,53,17,01/04/2015 02:52:41 p.m.,409,1,1,33.0,240.0,33.0,33.0,33.0,0.0,240.0,240.0,240.0,0.0,667481.662591687,4889.975550122249,409.0,0.0,409.0,409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2444.9877750611245,2444.9877750611245,33.0,240.0,102.0,119.51150572225254,14283.0,0,0,0,0,0,0,0,0,1.0,153.0,33.0,240.0,0,0,0,0,0,0,0,16,0,120,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-48782-53-17,131.202.240.150,48782,131.202.6.3,53,17,01/04/2015 03:07:41 p.m.,151611,1,1,33.0,192.0,33.0,33.0,33.0,0.0,192.0,192.0,192.0,0.0,1484.0611828957003,13.19165495907289,151611.0,0.0,151611.0,151611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6.595827479536445,6.595827479536445,33.0,192.0,86.0,91.7986928011505,8427.0,0,0,0,0,0,0,0,0,1.0,129.0,33.0,192.0,0,0,0,0,0,0,0,16,0,96,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-194.68.29.19-40594-4070-6,131.202.240.150,40594,194.68.29.19,4070,6,01/04/2015 03:24:01 p.m.,15031989,6,4,91.0,205.0,44.0,0.0,15.166666666666666,16.277796738707195,205.0,0.0,51.25,102.5,19.69133958253961,0.6652479588695814,1670220.9999999993,4878300.541570266,1.467814E7,26.0,1.5031989E7,3006397.8000000003,6524917.216451462,1.467814E7,37.0,213024.0,71008.0,57246.14338101738,104182.0,4906.0,1,0,0,0,192,128,0.39914877532174886,0.2660991835478326,0.0,205.0,27.909090909090914,60.235296206550764,3628.290909090909,0,0,0,5,10,0,0,0,0.0,30.7,15.166666666666666,51.25,0,0,0,0,4,805,0,9,0,20,1452,1452,3,32,0,0,0,0,1.4279162545912642E15,5208866.454173962,1.427916256590738E15,1.427916241704446E15,No Label
131.202.240.150-131.202.244.5-33001-53-17,131.202.240.150,33001,131.202.244.5,53,17,01/04/2015 02:51:27 p.m.,105036,1,1,38.0,237.0,38.0,38.0,38.0,0.0,237.0,237.0,237.0,0.0,2618.149967630146,19.041090673673786,105036.0,0.0,105036.0,105036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9.520545336836893,9.520545336836893,38.0,237.0,104.33333333333333,114.89270356873553,13200.333333333332,0,0,0,0,0,0,0,0,1.0,156.5,38.0,237.0,0,0,0,0,0,0,0,19,0,118,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-50537-53-17,131.202.240.150,50537,131.202.244.5,53,17,01/04/2015 03:23:43 p.m.,403,1,1,37.0,214.0,37.0,37.0,37.0,0.0,214.0,214.0,214.0,0.0,622828.7841191067,4962.779156327543,403.0,0.0,403.0,403.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2481.3895781637716,2481.3895781637716,37.0,214.0,96.0,102.19099764656376,10443.0,0,0,0,0,0,0,0,0,1.0,144.0,37.0,214.0,0,0,0,0,0,0,0,18,0,107,0,0,0,8,0,0,0,0,0,0,0,0,No Label
203.205.176.12-131.202.240.150-0-0-0,203.205.176.12,0,131.202.240.150,0,0,01/04/2015 02:55:11 p.m.,46338327,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08632163176715466,1.5446109E7,2.6753401399952997E7,4.6338276E7,16.0,4.6338292E7,4.6338292E7,0.0,4.6338292E7,4.6338292E7,4.6338311E7,4.6338311E7,0.0,4.6338311E7,4.6338311E7,0,0,0,0,0,0,0.04316081588357733,0.04316081588357733,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4279145344675155E15,3.2766073125648007E7,1.427914557636628E15,1.427914511298403E15,No Label
131.202.240.150-131.202.244.3-50537-53-17,131.202.240.150,50537,131.202.244.3,53,17,01/04/2015 03:23:43 p.m.,491,1,1,37.0,214.0,37.0,37.0,37.0,0.0,214.0,214.0,214.0,0.0,511201.6293279022,4073.3197556008145,491.0,0.0,491.0,491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2036.6598778004072,2036.6598778004072,37.0,214.0,96.0,102.19099764656376,10443.0,0,0,0,0,0,0,0,0,1.0,144.0,37.0,214.0,0,0,0,0,0,0,0,18,0,107,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.237-54037-443-6,131.202.240.150,54037,216.58.219.237,443,6,01/04/2015 03:23:43 p.m.,180552,15,14,1267.0,1183.0,517.0,0.0,84.46666666666665,142.70492366451563,447.0,0.0,84.5,135.3864838157783,13569.4979839603,160.61854756524437,6448.285714285714,14565.297413034818,65777.0,3.0,114775.0,8198.214285714286,12935.429184272112,34413.0,46.0,154667.0,11897.461538461539,19504.845665523666,66103.0,9.0,0,0,0,0,488,456,83.07855908547123,77.53998847977314,0.0,517.0,81.66666666666669,135.22505718968665,18285.816091954024,0,2,0,17,28,0,0,0,0.0,84.48275862068965,84.46666666666667,84.5,0,0,0,0,17,27680,0,43,0,40,29200,358,9,32,0,0,0,0,1.427916223483446E15,36753.863921986966,1.427916223587341E15,1.427916223407151E15,No Label
