Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.195-33183-443-6,131.202.240.150,33183,216.58.219.195,443,6,02/04/2015 10:47:53 a.m.,25592,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.14942169427947,25592.0,0.0,25592.0,25592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.074710847139734,39.074710847139734,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,841,391,0,32,0,0,0,0,0,0,0,0,No Label
217.23.3.253-131.202.240.150-9001-34160-6,217.23.3.253,9001,131.202.240.150,34160,6,02/04/2015 10:50:06 a.m.,58251780,3870,2416,6092499.0,277362.0,12042.0,0.0,1574.2891472868193,804.652756329939,2676.0,0.0,114.80215231788067,354.2393275918934,109350.49538400372,107.910865556383,9268.381861575179,266583.13210961263,1.8672051E7,0.0,5.825178E7,15056.029981907486,342148.1971143738,1.8839167E7,3.0,5.8122647E7,24067.348654244353,429881.23055298906,1.8672051E7,1.0,1,0,0,0,123840,79672,66.4357381010503,41.4751274553327,0.0,12042.0,1013.266104660408,975.0850145112912,950790.7855244849,0,0,0,232,6286,0,0,0,0.0,1013.4272987591473,1574.2891472868216,114.8021523178808,0,0,0,0,1368,214458,0,969,0,44,5989,5989,3793,32,0,0,0,0,1.4279862540748472E15,7345413.951559673,1.427986264661782E15,1.427986206410074E15,No Label
213.194.122.196-131.202.240.150-0-0-0,213.194.122.196,0,131.202.240.150,0,0,02/04/2015 10:50:55 a.m.,5690917,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0543116337841512,1138183.4,2526455.5368643044,5657571.0,15.0,5690902.0,2845451.0,3976980.669427499,5657601.0,33301.0,5690887.0,2845443.5,3976970.0628257813,5657586.0,33301.0,0,0,0,0,0,0,0.5271558168920756,0.5271558168920756,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4279862595390895E15,2834369.1143331225,1.427986260978443E15,1.427986255287601E15,No Label
203.195.225.12-131.202.240.150-0-0-0,203.195.225.12,0,131.202.240.150,0,0,02/04/2015 10:47:45 a.m.,87632163,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04564534142561333,2.9210721E7,5.059437062531441E7,8.7632068E7,18.0,8.7632145E7,8.7632145E7,0.0,8.7632145E7,8.7632145E7,8.7632086E7,8.7632086E7,0.0,8.7632086E7,8.7632086E7,0,0,0,0,0,0,0.022822670712806664,0.022822670712806664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4279861091589675E15,6.196516235705644E7,1.427986152974954E15,1.427986065342981E15,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 10:47:15 a.m.,118119863,4,0,764.0,0.0,191.0,191.0,191.0,0.0,0,0,0,0,6.468006147281089,0.03386390653026748,3.937328766666667E7,6.476559116561158E7,1.14158123E8,1925173.0,1.18119863E8,3.937328766666667E7,6.476559116561158E7,1.14158123E8,1925173.0,0,0,0,0,0,0,0,0,0,32,0,0.03386390653026748,0.0,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,0.0,0,0,0,0,0,0,1,191,0,0,0,0,3,8,0,0,0,0,1.4279860941530085E15,7.792060968152998E7,1.4279861492512E15,1.427986039054817E15,No Label
131.202.240.150-216.58.219.206-60366-443-6,131.202.240.150,60366,216.58.219.206,443,6,02/04/2015 10:47:53 a.m.,25613,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08534728458204,25613.0,0.0,25613.0,25613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.04267364229102,39.04267364229102,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,270,358,0,32,0,0,0,0,0,0,0,0,No Label
213.74.216.98-131.202.240.150-0-0-0,213.74.216.98,0,131.202.240.150,0,0,02/04/2015 10:47:27 a.m.,16721927,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784137617632226,2388846.714285714,6121630.658341662,1.6269291E7,18.0,1.6721896E7,5573965.333333334,9262452.909517722,1.6269322E7,219712.0,1.6721867E7,5573955.666666666,9262450.007883947,1.6269309E7,219725.0,0,0,0,0,0,0,0.2392068808816113,0.2392068808816113,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4279860554239278E15,8994447.71064235,1.427986063780461E15,1.427986047058674E15,No Label
131.202.240.150-74.125.29.95-39982-443-6,131.202.240.150,39982,74.125.29.95,443,6,02/04/2015 10:47:53 a.m.,38267,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.264353097969526,38267.0,0.0,38267.0,38267.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.132176548984763,26.132176548984763,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,357,350,0,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 10:51:01 a.m.,46059,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4225667079181,46059.0,0.0,46059.0,46059.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.71128335395905,21.71128335395905,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,443,366,0,32,0,0,0,0,0,0,0,0,No Label
58.250.134.64-131.202.240.150-0-0-0,58.250.134.64,0,131.202.240.150,0,0,02/04/2015 10:46:47 a.m.,58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17241.379310344826,17241.379310344826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Label
