Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-224.0.0.252-62623-5355-17,131.202.240.242,62623,224.0.0.252,5355,17,29/04/2015 09:53:48 a.m.,409781,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.3744268279886,4.880655764908573,409781.0,0.0,409781.0,409781.0,409781.0,409781.0,0.0,409781.0,409781.0,0,0,0,0,0,0,0,0,0,16,0,4.880655764908573,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-63573-5355-17,131.202.240.242,63573,224.0.0.252,5355,17,29/04/2015 10:49:32 a.m.,410251,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.25141437802712,4.875064289910323,410251.0,0.0,410251.0,410251.0,410251.0,410251.0,0.0,410251.0,410251.0,0,0,0,0,0,0,0,0,0,16,0,4.875064289910323,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-49455-5355-17,131.202.240.242,49455,224.0.0.252,5355,17,29/04/2015 10:03:31 a.m.,410947,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.0697681209499,4.866807641861359,410947.0,0.0,410947.0,410947.0,410947.0,410947.0,0.0,410947.0,410947.0,0,0,0,0,0,0,0,0,0,16,0,4.866807641861359,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-50006-5355-17,131.202.240.242,50006,224.0.0.252,5355,17,29/04/2015 10:37:34 a.m.,409299,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.50087344459673,4.88640333839076,409299.0,0.0,409299.0,409299.0,409299.0,409299.0,0.0,409299.0,409299.0,0,0,0,0,0,0,0,0,0,16,0,4.88640333839076,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-58289-5355-17,131.202.240.242,58289,224.0.0.252,5355,17,29/04/2015 10:37:20 a.m.,411590,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.90250006074005,4.859204548215457,411590.0,0.0,411590.0,411590.0,411590.0,411590.0,0.0,411590.0,411590.0,0,0,0,0,0,0,0,0,0,16,0,4.859204548215457,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-63355-5355-17,131.202.240.242,63355,224.0.0.252,5355,17,29/04/2015 10:24:57 a.m.,410333,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.2299815028282,4.874090068310372,410333.0,0.0,410333.0,410333.0,410333.0,410333.0,0.0,410333.0,410333.0,0,0,0,0,0,0,0,0,0,16,0,4.874090068310372,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
128.65.249.132-131.202.240.242-45738-23-6,128.65.249.132,45738,131.202.240.242,23,6,29/04/2015 10:35:35 a.m.,2986638,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6696492845801868,2986638.0,0.0,2986638.0,2986638.0,2986638.0,2986638.0,0.0,2986638.0,2986638.0,0,0,0,0,0,0,0,0,0,80,0,0.6696492845801868,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,5840,0,0,40,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-58849-5355-17,131.202.240.242,58849,224.0.0.252,5355,17,29/04/2015 10:13:14 a.m.,410433,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.20385544047384,4.872902520021539,410433.0,0.0,410433.0,410433.0,410433.0,410433.0,0.0,410433.0,410433.0,0,0,0,0,0,0,0,0,0,16,0,4.872902520021539,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.244.3-50132-53-17,131.202.240.242,50132,131.202.244.3,53,17,29/04/2015 10:45:50 a.m.,313,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,364217.2523961661,6389.776357827475,313.0,0.0,313.0,313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3194.8881789137376,3194.8881789137376,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-55250-5355-17,131.202.240.242,55250,224.0.0.252,5355,17,29/04/2015 10:19:12 a.m.,410734,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.12529276855581,4.869331489479809,410734.0,0.0,410734.0,410734.0,410734.0,410734.0,0.0,410734.0,410734.0,0,0,0,0,0,0,0,0,0,16,0,4.869331489479809,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
