Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,6,03/06/2015 02:55:31 p.m.,90171700,4,4,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.26615889464211057,0.08871963154737018,1.288167142857143E7,1.58523384014564E7,2.9829322E7,170139.0,9.0000158E7,3.0000052666666668E7,512.7692788509597,3.0000368E7,2.9999461E7,8.9999288E7,2.9999762666666668E7,1618.4759291794653,3.0001327E7,2.9998095E7,1,0,0,0,80,80,0.04435981577368509,0.04435981577368509,0.0,6.0,3.3333333333333335,3.1622776601683795,10.0,0,0,0,4,8,0,0,0,1.0,3.75,6.0,0.0,0,0,0,0,0,0,0,3,0,0,34481,16384,3,20,0,0,0,0,1.4333577766201215E15,3.1318297342648707E7,1.433357821362568E15,1.433357731876966E15,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 02:55:31 p.m.,90174867,4,4,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2661495469685583,0.0887165156561861,1.2882123857142858E7,1.5849562297892535E7,2.9826199E7,173552.0,9.0000143E7,3.0000047666666668E7,510.4628618551337,3.0000368E7,2.9999459E7,9.0000449E7,3.0000149666666668E7,718.7867092074904,3.0000923E7,2.9999502E7,1,0,0,0,80,80,0.04435825782809305,0.04435825782809305,0.0,6.0,3.3333333333333335,3.1622776601683795,10.0,0,0,0,4,8,0,0,0,1.0,3.75,6.0,0.0,0,0,0,0,0,0,0,3,0,0,46200,16384,3,20,0,0,0,0,1.4333577766216342E15,3.131601082757727E7,1.433357821360506E15,1.43335773188245E15,No Label
10.8.8.130-198.7.63.141-62277-53-17,10.8.8.130,62277,198.7.63.141,53,17,03/06/2015 02:51:08 p.m.,123362,1,1,36.0,409.0,36.0,36.0,36.0,0.0,409.0,409.0,409.0,0.0,3607.269661646212,16.212447917511064,123362.0,0.0,123362.0,123362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.106223958755532,8.106223958755532,36.0,409.0,160.33333333333331,215.3516504077304,46376.33333333333,0,0,0,0,0,0,0,0,1.0,240.5,36.0,409.0,0,0,0,0,0,0,0,18,0,204,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.130-198.7.63.141-30362-53-17,10.8.8.130,30362,198.7.63.141,53,17,03/06/2015 02:51:08 p.m.,930013,1,1,36.0,126.0,36.0,36.0,36.0,0.0,126.0,126.0,126.0,0.0,174.19111345755383,2.150507573550047,930013.0,0.0,930013.0,930013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.0752537867750236,1.0752537867750236,36.0,126.0,66.0,51.96152422706632,2700.0,0,0,0,0,0,0,0,0,1.0,99.0,36.0,126.0,0,0,0,0,0,0,0,18,0,63,0,0,0,8,0,0,0,0,0,0,0,0,No Label
64.12.104.73-10.8.8.130-443-42784-6,64.12.104.73,443,10.8.8.130,42784,6,03/06/2015 02:52:31 p.m.,26,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76923.07692307692,26.0,0.0,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,38461.53846153846,38461.53846153846,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16384,44880,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.130-78.46.223.24-62277-53-17,10.8.8.130,62277,78.46.223.24,53,17,03/06/2015 02:51:08 p.m.,123802,1,1,36.0,409.0,36.0,36.0,36.0,0.0,409.0,409.0,409.0,0.0,3594.449201143762,16.15482787030904,123802.0,0.0,123802.0,123802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.07741393515452,8.07741393515452,36.0,409.0,160.33333333333331,215.3516504077304,46376.33333333333,0,0,0,0,0,0,0,0,1.0,240.5,36.0,409.0,0,0,0,0,0,0,0,18,0,204,0,0,0,8,0,0,0,0,0,0,0,0,No Label
64.12.27.66-10.8.8.130-443-38929-6,64.12.27.66,443,10.8.8.130,38929,6,03/06/2015 02:54:36 p.m.,2820300,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0637166258908626,1410150.0,1994217.8996413606,2820275.0,25.0,2820300.0,2820300.0,0.0,2820300.0,2820300.0,0,0,0,0,0,0,0,0,0,40,20,0.7091444172605751,0.35457220863028754,0.0,0.0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16384,33755,0,20,0,0,0,0,1.433357679548453E15,0.0,1.433357679548453E15,1.433357679548453E15,No Label
10.8.8.130-67.18.187.111-38602-123-17,10.8.8.130,38602,67.18.187.111,123,17,03/06/2015 02:52:50 p.m.,238626,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,402.30318573835206,8.381316369549001,238626.0,0.0,238626.0,238626.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.190658184774501,4.190658184774501,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 02:56:39 p.m.,47551778,50,46,3674.0,6202.0,394.0,0.0,73.48,87.85127506537538,484.0,0.0,134.8260869565217,130.06841009387261,207.68939491600082,2.0188519554410775,500545.0315789473,984791.9921086635,5173215.0,9.0,4.7551778E7,970444.4489795923,1268121.4158032322,5173254.0,53.0,4.6524081E7,1033868.4666666666,1298993.7307813517,5173241.0,87.0,1,0,0,0,1000,920,1.0514853934588944,0.9673665619821828,0.0,484.0,103.07216494845362,113.19233699610224,12812.505154639175,0,0,0,55,96,0,0,0,0.0,104.14583333333333,73.48,134.82608695652175,0,0,0,0,5,1239,0,38,0,64,16384,16384,23,20,0,0,0,0,1.433357823272493E15,1.4610775617668571E7,1.433357846901162E15,1.433357799349628E15,No Label
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 02:40:21 p.m.,119836611,46,44,3222.0,5996.0,234.0,0.0,70.04347826086956,77.97263238448593,468.0,0.0,136.27272727272728,139.42646034218825,76.92140092312857,0.7510225735605958,1346478.7752808984,2667584.3298647385,1.3596734E7,9.0,1.19836611E8,2663035.8,3313310.8254382503,1.3596734E7,1646.0,1.19635692E8,2782225.3953488376,3384570.885684836,1.3797381E7,114.0,1,0,0,0,920,880,0.38385598204208227,0.3671665915185135,0.0,468.0,102.63736263736263,115.87920113285755,13427.989255189254,0,0,0,50,90,0,0,0,0.0,103.77777777777777,70.04347826086956,136.27272727272728,0,0,0,0,4,2008,0,35,0,66,64680,16384,21,20,0,0,0,0,1.4333568785983628E15,3.592735534466921E7,1.433356941427467E15,1.433356822031095E15,No Label
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,6,03/06/2015 02:40:31 p.m.,119999002,5,4,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.25000207918395856,0.07500062375518757,1.499987525E7,1.5850103036962891E7,2.9829891E7,170890.0,1.19999002E8,2.99997505E7,1805.9960317416178,3.0001397E7,2.999731E7,8.9992777E7,2.9997592333333332E7,3662.39844000258,3.0001807E7,2.9995184E7,1,0,0,0,100,80,0.04166701319732642,0.03333361055786114,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,5,9,0,0,0,0.0,4.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,34481,16384,4,20,0,0,0,0,1.433356887299007E15,4.01904132094416E7,1.43335695136295E15,1.433356831886905E15,No Label
