Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.110-198.7.63.141-65413-53-17,10.8.8.110,65413,198.7.63.141,53,17,08/06/2015 10:42:58 a.m.,124326,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,2131.4930103116,16.086739700464907,124326.0,0.0,124326.0,124326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.043369850232454,8.043369850232454,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-7404-53-17,10.8.8.110,7404,198.7.63.141,53,17,08/06/2015 10:29:05 a.m.,123832,1,1,46.0,279.0,46.0,46.0,46.0,0.0,279.0,279.0,279.0,0.0,2624.523548032819,16.150914141740422,123832.0,0.0,123832.0,123832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.075457070870211,8.075457070870211,46.0,279.0,123.66666666666667,134.5226127211828,18096.333333333336,0,0,0,0,0,0,0,0,1.0,185.5,46.0,279.0,0,0,0,0,0,0,0,23,0,139,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.110-78.46.223.24-10152-53-17,10.8.8.110,10152,78.46.223.24,53,17,08/06/2015 10:40:46 a.m.,122677,1,1,37.0,240.0,37.0,37.0,37.0,0.0,240.0,240.0,240.0,0.0,2257.9619651605435,16.302974477693457,122677.0,0.0,122677.0,122677.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.151487238846729,8.151487238846729,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,1.0,157.0,37.0,240.0,0,0,0,0,0,0,0,18,0,120,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-29242-53-17,10.8.8.110,29242,198.7.63.141,53,17,08/06/2015 10:41:46 a.m.,133077,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,1991.3283287119486,15.028893046882631,133077.0,0.0,133077.0,133077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.514446523441316,7.514446523441316,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.110-80-33063-6,216.58.208.46,80,10.8.8.110,33063,6,08/06/2015 10:25:21 a.m.,49,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40816.32653061225,49.0,0.0,49.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20408.163265306124,20408.163265306124,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,341,241,0,32,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37396-6,64.233.184.16,465,10.8.8.110,37396,6,08/06/2015 10:27:18 a.m.,66,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30303.0303030303,66.0,0.0,66.0,66.0,66.0,66.0,0.0,66.0,66.0,0,0,0,0,0,0,0,0,0,40,0,30303.0303030303,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-55119-53-17,10.8.8.110,55119,198.7.63.141,53,17,08/06/2015 10:44:15 a.m.,124662,1,1,37.0,240.0,37.0,37.0,37.0,0.0,240.0,240.0,240.0,0.0,2222.008310471515,16.04338130304343,124662.0,0.0,124662.0,124662.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.021690651521714,8.021690651521714,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,1.0,157.0,37.0,240.0,0,0,0,0,0,0,0,18,0,120,0,0,0,8,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-995-51633-6,64.233.184.16,995,10.8.8.110,51633,6,08/06/2015 10:43:43 a.m.,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,40,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37389-6,64.233.184.16,465,10.8.8.110,37389,6,08/06/2015 10:26:48 a.m.,93,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21505.376344086024,93.0,0.0,93.0,93.0,93.0,93.0,0.0,93.0,93.0,0,0,0,0,0,0,0,0,0,40,0,21505.376344086024,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.110-78.46.223.24-6983-53-17,10.8.8.110,6983,78.46.223.24,53,17,08/06/2015 10:36:04 a.m.,150327,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,1762.8237109767374,13.304329894164058,150327.0,0.0,150327.0,150327.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6.652164947082029,6.652164947082029,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37407-6,64.233.184.16,465,10.8.8.110,37407,6,08/06/2015 10:30:28 a.m.,294,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6802.721088435374,294.0,0.0,294.0,294.0,294.0,294.0,0.0,294.0,294.0,0,0,0,0,0,0,0,0,0,40,0,6802.721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-17868-53-17,10.8.8.110,17868,198.7.63.141,53,17,08/06/2015 10:27:04 a.m.,121033,1,1,45.0,246.0,45.0,45.0,45.0,0.0,246.0,246.0,246.0,0.0,2404.3029586972148,16.524418960118314,121033.0,0.0,121033.0,121033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.262209480059157,8.262209480059157,45.0,246.0,112.0,116.04740410711477,13467.0,0,0,0,0,0,0,0,0,1.0,168.0,45.0,246.0,0,0,0,0,0,0,0,22,0,123,0,0,0,8,0,0,0,0,0,0,0,0,No Label
63.245.217.162-10.8.8.110-443-45062-6,63.245.217.162,443,10.8.8.110,45062,6,08/06/2015 10:27:18 a.m.,4002,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,499.7501249375312,4002.0,0.0,4002.0,4002.0,4002.0,4002.0,0.0,4002.0,4002.0,0,0,0,0,0,0,0,0,0,40,0,499.7501249375312,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
74.125.133.16-10.8.8.110-995-57574-6,74.125.133.16,995,10.8.8.110,57574,6,08/06/2015 10:34:21 a.m.,513,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3898.635477582846,513.0,0.0,513.0,513.0,513.0,513.0,0.0,513.0,513.0,0,0,0,0,0,0,0,0,0,40,0,3898.635477582846,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37426-6,64.233.184.16,465,10.8.8.110,37426,6,08/06/2015 10:36:56 a.m.,157,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12738.853503184713,157.0,0.0,157.0,157.0,157.0,157.0,0.0,157.0,157.0,0,0,0,0,0,0,0,0,0,40,0,12738.853503184713,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37449-6,64.233.184.16,465,10.8.8.110,37449,6,08/06/2015 10:44:40 a.m.,192,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10416.666666666666,192.0,0.0,192.0,192.0,192.0,192.0,0.0,192.0,192.0,0,0,0,0,0,0,0,0,0,40,0,10416.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
63.245.217.114-10.8.8.110-443-54951-6,63.245.217.114,443,10.8.8.110,54951,6,08/06/2015 10:29:11 a.m.,38,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26315.78947368421,26315.78947368421,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,17,274,0,32,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37445-6,64.233.184.16,465,10.8.8.110,37445,6,08/06/2015 10:43:15 a.m.,147,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13605.442176870749,147.0,0.0,147.0,147.0,147.0,147.0,0.0,147.0,147.0,0,0,0,0,0,0,0,0,0,40,0,13605.442176870749,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-12189-53-17,10.8.8.110,12189,198.7.63.141,53,17,08/06/2015 10:25:43 a.m.,142658,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,1857.58947973475,14.019543243281133,142658.0,0.0,142658.0,142658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.009771621640566,7.009771621640566,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0,0,0,0,0,0,0,0,No Label
64.233.184.16-10.8.8.110-465-37440-6,64.233.184.16,465,10.8.8.110,37440,6,08/06/2015 10:41:34 a.m.,89,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,22471.91011235955,89.0,0.0,89.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,0,0,0,0,40,0,22471.91011235955,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-28521-53-17,10.8.8.110,28521,198.7.63.141,53,17,08/06/2015 10:30:56 a.m.,132596,1,1,37.0,240.0,37.0,37.0,37.0,0.0,240.0,240.0,240.0,0.0,2089.052460104377,15.083411264291533,132596.0,0.0,132596.0,132596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.541705632145766,7.541705632145766,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,1.0,157.0,37.0,240.0,0,0,0,0,0,0,0,18,0,120,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.110-198.7.63.141-38187-53-17,10.8.8.110,38187,198.7.63.141,53,17,08/06/2015 10:28:32 a.m.,126533,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,2094.3153169528896,15.806153335493507,126533.0,0.0,126533.0,126533.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.903076667746753,7.903076667746753,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.110-78.46.223.24-38187-53-17,10.8.8.110,38187,78.46.223.24,53,17,08/06/2015 10:28:32 a.m.,127178,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,2083.693720612055,15.725990344241927,127178.0,0.0,127178.0,127178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.862995172120963,7.862995172120963,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,0,18,0,114,0,0,0,8,0,0,0,0,0,0,0,0,No Label
