Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
204.236.238.164-10.8.8.138-21-50975-6,204.236.238.164,21,10.8.8.138,50975,6,22/05/2015 03:44:43 p.m.,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,217,317,0,32,0,0,0,0,0,0,0,0,No Label
75.101.155.12-10.8.8.138-1420-55570-6,75.101.155.12,1420,10.8.8.138,55570,6,22/05/2015 03:46:17 p.m.,500,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4000.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,40,0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
75.101.155.12-10.8.8.138-21-54472-6,75.101.155.12,21,10.8.8.138,54472,6,22/05/2015 03:46:21 p.m.,51,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39215.686274509804,51.0,0.0,51.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19607.843137254902,19607.843137254902,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,214,317,0,32,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1265-47056-6,204.236.238.164,1265,10.8.8.138,47056,6,22/05/2015 03:42:08 p.m.,59,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,0,0,0,0,0,40,0,33898.30508474576,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-9240-53-17,10.8.8.138,9240,131.202.244.3,53,17,22/05/2015 03:40:28 p.m.,253061,1,1,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,0.0,276.6131486084383,7.903232817383952,253061.0,0.0,253061.0,253061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.951616408691976,3.951616408691976,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,52.5,35.0,35.0,0,0,0,0,0,0,0,17,0,17,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.21.114.223-59312-443-6,10.8.8.138,59312,23.21.114.223,443,6,22/05/2015 03:46:11 p.m.,10222261,11,6,4617.0,2393.0,949.0,0.0,419.72727272727275,482.31485378517857,1308.0,41.0,398.8333333333333,454.008994037196,685.7582681561349,1.66303716956552,638891.3125,1067500.1584050292,2770454.0,6.0,1.0222261E7,1022226.1,1209907.5649267545,2770454.0,20.0,9972756.0,1994551.2,1407681.3871495211,2999325.0,34.0,1,0,0,0,352,192,1.0760828744247481,0.5869542951407717,0.0,1308.0,442.1666666666667,462.1295018396772,213563.6764705882,0,0,0,10,17,0,0,0,0.0,468.1764705882353,419.72727272727275,398.8333333333333,0,0,0,0,5,2771,0,271,0,140,1137,942,4,32,0,0,0,0,1.4323239758245502E15,3609209.6172503578,1.432323981928217E15,1.43232397193479E15,No Label
204.236.238.164-10.8.8.138-21-50941-6,204.236.238.164,21,10.8.8.138,50941,6,22/05/2015 03:43:29 p.m.,3743,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.4961261020572,1871.5,2574.5757903002195,3692.0,51.0,3743.0,3743.0,0.0,3743.0,3743.0,0,0,0,0,0,0,0,0,0,76,32,534.3307507347048,267.1653753673524,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,193,317,0,32,0,0,0,0,1.432323809832556E15,0.0,1.432323809832556E15,1.432323809832556E15,No Label
75.101.155.12-10.8.8.138-21-54414-6,75.101.155.12,21,10.8.8.138,54414,6,22/05/2015 03:44:20 p.m.,230521,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.013998724628125,115260.5,162987.40595671802,230510.0,11.0,230521.0,230521.0,0.0,230521.0,230521.0,0,0,0,0,0,0,0,0,0,52,32,8.675999149752084,4.337999574876042,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,210,317,0,20,0,0,0,0,1.432323861034963E15,0.0,1.432323861034963E15,1.432323861034963E15,No Label
10.8.8.138-74.125.226.64-58926-443-17,10.8.8.138,58926,74.125.226.64,443,17,22/05/2015 03:45:08 p.m.,1094285,9,8,2436.0,6684.0,1350.0,37.0,270.6666666666667,423.0277768657751,1350.0,32.0,835.4999999999999,523.6825647006291,8334.209095436747,15.535258182283409,68392.8125,100432.65313115301,215276.0,49.0,1094285.0,136785.62499999997,112978.8633265248,237181.0,147.0,852997.0,121856.71428571428,113950.0677339484,216824.0,49.0,0,0,0,0,72,64,8.224548449444159,7.310709732839252,32.0,1350.0,581.6666666666667,559.810892439686,313388.23529411765,0,0,0,0,0,0,0,0,0.0,615.8823529411765,270.6666666666667,835.5,0,0,0,0,17,8334,0,143,0,393,0,0,8,8,0,0,0,0,1.4323239088726992E15,298176.7066522065,1.432323909352922E15,1.432323908286425E15,No Label
204.236.238.164-10.8.8.138-1361-52025-6,204.236.238.164,1361,10.8.8.138,52025,6,22/05/2015 03:44:19 p.m.,18,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,111111.11111111111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,40,0,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1291-43679-6,204.236.238.164,1291,10.8.8.138,43679,6,22/05/2015 03:42:30 p.m.,147,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13605.442176870749,147.0,0.0,147.0,147.0,147.0,147.0,0.0,147.0,147.0,0,0,0,0,0,0,0,0,0,40,0,13605.442176870749,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-33250-53-17,10.8.8.138,33250,131.202.244.3,53,17,22/05/2015 03:44:48 p.m.,268376,1,1,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,0.0,260.82809193072404,7.452231198020687,268376.0,0.0,268376.0,268376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.7261155990103436,3.7261155990103436,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,52.5,35.0,35.0,0,0,0,0,0,0,0,17,0,17,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.138-204.236.238.164-50940-21-6,10.8.8.138,50940,204.236.238.164,21,6,22/05/2015 03:44:47 p.m.,81465890,32,19,2417.0,1999.0,293.0,0.0,75.53125000000001,104.8411961553774,117.0,85.0,105.21052631578947,15.859028089067266,54.20673609531547,0.6260288815355727,1629317.7999999998,5010344.475539267,2.4824923E7,19.0,8.146589E7,2627931.9354838706,6188275.927319418,2.4824923E7,363.0,7.9109283E7,4394960.166666666,7800062.990293515,2.50483E7,238942.0,1,0,0,0,1024,608,0.3928024354733005,0.2332264460622722,0.0,293.0,87.17307692307692,83.62819703524951,6993.675339366515,0,0,0,32,51,0,0,0,0.0,88.88235294117646,75.53125,105.21052631578948,0,0,0,0,4,794,0,47,0,39,165,152,12,32,0,0,0,0,1.4323239316380522E15,3.2537959078697078E7,1.432323969118319E15,1.432323887730628E15,No Label
204.236.238.164-10.8.8.138-1813-58134-6,204.236.238.164,1813,10.8.8.138,58134,6,22/05/2015 03:43:52 p.m.,3253,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,614.8170919151553,3253.0,0.0,3253.0,3253.0,3253.0,3253.0,0.0,3253.0,3253.0,0,0,0,0,0,0,0,0,0,40,0,614.8170919151553,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.35-60722-443-6,10.8.8.138,60722,74.125.226.35,443,6,22/05/2015 03:44:52 p.m.,91313691,15,13,659.0,4345.0,262.0,0.0,43.93333333333333,81.94289533106634,1308.0,0.0,334.2307692307692,558.9928672541588,54.80010659080685,0.3066352886775763,3381988.5555555555,1.1995082157663397E7,4.49975E7,9.0,9.1093835E7,6506702.5,1.640497345268783E7,4.5248547E7,31.0,9.1103753E7,7591979.416666667,1.7572872370099593E7,4.5216429E7,13.0,0,0,0,0,488,424,0.16426890464870159,0.1423663840288747,0.0,1308.0,172.55172413793107,399.1695474183958,159336.32758620693,0,2,0,11,27,0,0,0,0.0,178.71428571428572,43.93333333333333,334.2307692307692,0,0,0,0,13,11716,0,23,0,155,29200,350,6,32,0,0,0,0,1.432323899624057E15,2.1015645713620562E7,1.43232398303117E15,1.43232389214875E15,No Label
204.236.238.164-10.8.8.138-1335-35158-6,204.236.238.164,1335,10.8.8.138,35158,6,22/05/2015 03:40:52 p.m.,63,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,31746.031746031746,63.0,0.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,0,0,0,0,0,0,0,0,0,40,0,31746.031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
