Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
204.236.238.164-10.8.8.138-1784-38088-6,204.236.238.164,1784,10.8.8.138,38088,6,22/05/2015 03:48:09 p.m.,57,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,40,0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-204.236.238.164-58774-1633-6,10.8.8.138,58774,204.236.238.164,1633,6,22/05/2015 03:48:46 p.m.,217743,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.185140280054927,217743.0,0.0,217743.0,217743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4.592570140027464,4.592570140027464,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,52886,0,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-15165-53-17,10.8.8.138,15165,131.202.244.3,53,17,22/05/2015 03:46:36 p.m.,265074,1,1,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,0.0,264.07720108347104,7.545062888099173,265074.0,0.0,265074.0,265074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.7725314440495863,3.7725314440495863,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,52.5,35.0,35.0,0,0,0,0,0,0,0,17,0,17,0,0,0,8,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1573-59001-6,204.236.238.164,1573,10.8.8.138,59001,6,22/05/2015 03:47:54 p.m.,781,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2560.819462227913,781.0,0.0,781.0,781.0,781.0,781.0,0.0,781.0,781.0,0,0,0,0,0,0,0,0,0,40,0,2560.819462227913,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1488-60619-6,204.236.238.164,1488,10.8.8.138,60619,6,22/05/2015 03:48:48 p.m.,492,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4065.0406504065036,492.0,0.0,492.0,492.0,492.0,492.0,0.0,492.0,492.0,0,0,0,0,0,0,0,0,0,40,0,4065.0406504065036,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1900-33726-6,204.236.238.164,1900,10.8.8.138,33726,6,22/05/2015 03:48:01 p.m.,60,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33333.333333333336,60.0,0.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,40,0,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.35-34380-443-17,10.8.8.138,34380,74.125.226.35,443,17,22/05/2015 03:47:44 p.m.,756948,11,11,7735.0,7057.0,1350.0,40.0,703.1818181818181,584.025995685435,1350.0,32.0,641.5454545454545,592.8990409228815,19541.632978751513,29.064083662285917,36045.14285714286,76887.56694179217,218048.0,21.0,756948.0,75694.8,122726.81821907459,293720.0,22.0,538606.0,53860.600000000006,88334.7105064972,214421.0,21.0,0,0,0,0,88,88,14.532041831142958,14.532041831142958,32.0,1350.0,701.8260869565219,579.4306494053933,335739.87747035583,0,0,0,0,0,0,0,0,1.0,733.7272727272727,703.1818181818181,641.5454545454545,0,0,0,0,22,19541,0,351,0,320,0,0,10,8,0,0,0,0,1.4323240652894695E15,185080.10150211965,1.432324065631327E15,1.432324064875077E15,No Label
204.236.238.164-10.8.8.138-1680-44452-6,204.236.238.164,1680,10.8.8.138,44452,6,22/05/2015 03:48:19 p.m.,56,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,35714.28571428572,56.0,0.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0,0,0,40,0,35714.28571428572,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1583-41789-6,204.236.238.164,1583,10.8.8.138,41789,6,22/05/2015 03:47:45 p.m.,98,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20408.163265306124,98.0,0.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,0,0,0,0,40,0,20408.163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1544-59886-6,204.236.238.164,1544,10.8.8.138,59886,6,22/05/2015 03:49:28 p.m.,23,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,86956.52173913043,23.0,0.0,23.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,40,0,86956.52173913043,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
