Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:23:00 p.m.,10233903,10,8,273.0,2048.0,273.0,0.0,27.299999999999997,86.33018012259676,279.0,227.0,256.0,21.51411496801909,226.79519241095016,1.7588597429543744,601994.2941176471,892734.2035029775,2014293.0,25.0,1.0233903E7,1137100.3333333333,953673.669014459,2014320.0,37.0,8228972.0,1175567.4285714286,932719.7366877965,2014320.0,176755.0,1,0,0,0,200,160,0.977144301641319,0.7817154413130553,0.0,279.0,136.5263157894737,133.8400240839175,17913.152046783624,0,0,0,9,18,0,0,0,0.0,144.11111111111111,27.3,256.0,0,0,0,0,0,0,0,15,0,113,16384,16384,0,20,0,0,0,0,1.4333593860104642E15,3268791.3035415686,1.433359391045158E15,1.433359380811376E15,No Label
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,6,03/06/2015 03:20:02 p.m.,29,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,34482.75862068965,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16384,34481,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:00:54 p.m.,116083555,69,68,1907.0,5948.0,130.0,0.0,27.637681159420303,36.81790286008279,391.0,0.0,87.47058823529412,106.48627836602155,67.66677674542272,1.1801843939048904,853555.551470588,1846028.35402002,9469905.0,0.0,1.16083555E8,1707111.102941177,2367304.8078907435,9469905.0,33176.0,1.15907407E8,1729961.2985074632,2416444.399204992,9645292.0,29266.0,1,0,0,0,1380,1360,0.5943994392659666,0.5857849546389237,0.0,391.0,57.19565217391303,84.356374608934,7115.997937162806,0,0,0,78,137,0,0,0,0.0,57.613138686131386,27.63768115942029,87.47058823529412,0,0,0,0,4,964,0,13,0,43,54120,16384,33,20,0,0,0,0,1.4333581111964898E15,3.593576462098073E7,1.433358170948912E15,1.433358055217342E15,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:02:56 p.m.,119972129,97,93,3498.0,7709.0,194.0,0.0,36.06185567010308,48.38104278214025,367.0,0.0,82.89247311827957,103.2338483382764,93.4133626985981,1.5837011611255145,634773.1693121691,1504726.518623957,1.0487647E7,23.0,1.19880911E8,1248759.4895833326,1973886.4819794798,1.0487647E7,43.0,1.1778002E8,1280217.608695652,2012802.7332666921,1.0661559E7,31745.0,1,0,0,0,1940,1860,0.8085211191009205,0.7751800420245939,0.0,367.0,58.87434554973823,83.02627942541643,6893.363075227329,0,0,0,110,190,0,0,0,0.0,59.18421052631579,36.06185567010309,82.89247311827957,0,0,0,0,5,784,0,18,0,40,16384,16384,51,20,0,0,0,0,1.4333582355289175E15,3.425326869735602E7,1.43335829640044E15,1.433358176480275E15,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:04:57 p.m.,119494298,198,195,5579.0,17405.0,207.0,0.0,28.17676767676768,37.727100031790094,823.0,0.0,89.25641025641025,111.84869150406288,192.3439058154892,3.2888598584009423,304832.3928571428,1335248.2160833876,1.8673396E7,0.0,1.19494298E8,606570.0406091369,1862418.66746691,1.8847237E7,454.0,1.19319041E8,615046.6030927832,1883643.294299874,1.8849012E7,1144.0,1,0,0,0,3960,3900,1.6569828294233755,1.6318770289775668,0.0,823.0,58.43147208121821,88.4457633399661,7822.653052789292,0,0,0,225,393,0,0,0,0.0,58.58015267175573,28.17676767676768,89.25641025641026,0,0,0,0,16,549,0,14,0,44,64680,16384,96,20,0,0,0,0,1.4333583854848982E15,2.5097793884245038E7,1.433358416869375E15,1.433358297550417E15,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:06:57 p.m.,118198911,272,264,7554.0,29111.0,263.0,0.0,27.77205882352941,40.50337636361462,287.0,0.0,110.26893939393945,100.1166601897009,310.19744335884786,4.534728750588912,220932.5439252336,438438.71441230073,2502101.0,0.0,1.18023263E8,435510.1955719558,562752.5535025295,2521636.0,27.0,1.18055968E8,448882.0076045628,602466.3710004169,2502138.0,755.0,1,0,0,0,5440,5280,2.301205634627209,2.233523115961703,0.0,287.0,68.76722532588458,86.71324227880788,7519.186386503234,0,0,0,310,536,0,0,0,0.0,68.8955223880597,27.772058823529413,110.26893939393939,0,0,0,0,8,675,0,14,0,54,16384,16384,105,20,0,0,0,0,1.4333584732461245E15,3.4797052799864665E7,1.433358535957738E15,1.433358417980506E15,No Label
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,6,03/06/2015 03:05:01 p.m.,28,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,35714.28571428572,35714.28571428572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16384,34481,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:08:58 p.m.,119974749,248,223,5489.0,20252.0,120.0,0.0,22.133064516129018,31.67845848950235,277.0,0.0,90.8161434977579,96.73092292501535,214.55348074952005,3.9258260919553996,255265.42340425536,508121.78573031357,2303394.0,0.0,1.19974749E8,485727.7287449394,671274.3230357294,2303394.0,61.0,1.19935424E8,540249.6576576579,646065.175900349,2363040.0,3085.0,1,0,0,0,4960,4460,2.067101636528533,1.8587244554268665,0.0,277.0,54.69703389830504,78.18883554525168,6113.494003922413,0,0,0,259,471,0,0,0,0.0,54.81316348195329,22.133064516129032,90.81614349775785,0,0,0,0,6,1066,0,11,0,42,16384,16384,102,20,0,0,0,0,1.4333585946007282E15,3.541921128991275E7,1.433358658017683E15,1.433358538043108E15,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:10:58 p.m.,118354350,190,208,4848.0,18086.0,117.0,0.0,25.515789473684208,32.53646327576381,261.0,0.0,86.95192307692307,94.92772534808874,193.77403534386357,3.3627830324783163,298121.7884130985,576568.5534419669,1836459.0,18.0,1.18180312E8,625292.6560846564,787062.0968813644,2012159.0,48.0,1.18177662E8,570906.5797101451,703286.9823691156,1965024.0,2333.0,0,0,0,0,3800,4160,1.6053486838464324,1.757434348631884,0.0,261.0,57.47869674185461,78.35477827611577,6139.471278699263,0,0,0,237,398,0,0,0,1.0,57.62311557788945,25.51578947368421,86.95192307692308,0,0,0,0,5,1621,0,12,0,45,16384,16384,91,20,0,0,0,0,1.433358715683222E15,3.449657896954459E7,1.433358776399201E15,1.433358658099014E15,No Label
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 03:12:58 p.m.,118564819,236,208,4745.0,17787.0,132.0,0.0,20.105932203389838,30.581203495160306,259.0,0.0,85.51442307692318,95.23406092894606,190.0395091059853,3.7447870603167708,267640.67494356673,569682.996460219,1840249.0,0.0,1.18496309E8,504239.61276595754,739777.2530610685,2013199.0,827.0,1.18380178E8,571884.917874396,760653.4331637145,2009486.0,7031.0,1,0,0,0,4720,4160,1.9904724014296349,1.754314658887136,0.0,259.0,50.71910112359553,76.08565419292245,5789.026773964977,0,0,0,236,444,0,0,0,0.0,50.833333333333336,20.10593220338983,85.51442307692308,0,0,0,0,6,1706,0,10,0,40,16384,16384,91,20,0,0,0,0,1.433358838773407E15,3.422352541723234E7,1.433358896803455E15,1.433358778248387E15,No Label
