Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-74.125.226.63-57042-443-6,10.8.8.138,57042,74.125.226.63,443,6,24/05/2015 01:07:33 p.m.,238343,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.391268046470843,238343.0,0.0,238343.0,238343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.195634023235422,4.195634023235422,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-51746-53-17,10.8.8.138,51746,131.202.244.3,53,17,24/05/2015 01:23:35 p.m.,255637,1,1,33.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,258.1785891713641,7.8235936112534565,255637.0,0.0,255637.0,255637.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.9117968056267283,3.9117968056267283,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,49.5,33.0,33.0,0,0,0,0,0,0,0,16,0,16,0,0,0,8,0,0,0,0,0,0,0,0,No Label
209.148.205.32-10.8.8.138-80-41273-6,209.148.205.32,80,10.8.8.138,41273,6,24/05/2015 01:07:38 p.m.,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,955,1444,0,32,0,0,0,0,0,0,0,0,No Label
209.148.205.32-10.8.8.138-80-41296-6,209.148.205.32,80,10.8.8.138,41296,6,24/05/2015 01:08:38 p.m.,50,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,587,629,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.63-44264-443-17,10.8.8.138,44264,74.125.226.63,443,17,24/05/2015 01:03:33 p.m.,452997,9,8,6247.0,5423.0,1350.0,40.0,694.1111111111111,634.5306226740449,1350.0,28.0,677.875,688.8436350663542,25761.760011655708,37.52784234774182,28312.3125,31150.423298822654,90465.0,8.0,452997.0,56624.625,56233.13464735766,166475.0,123.0,217861.0,31123.0,33189.227077471995,79493.0,8.0,0,0,0,0,72,64,19.86768124292214,17.66016110481968,28.0,1350.0,723.3333333333333,639.8299406413992,409382.3529411764,0,0,0,0,0,0,0,0,0.0,765.8823529411765,694.1111111111111,677.875,0,0,0,0,17,25761,0,367,0,319,0,0,8,8,0,0,0,0,1.4324870135396192E15,140201.05037040162,1.43248701370716E15,1.432487013293764E15,No Label
54.243.70.179-10.8.8.138-443-42087-6,54.243.70.179,443,10.8.8.138,42087,6,24/05/2015 01:18:18 p.m.,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20833.333333333332,20833.333333333332,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.58-42354-443-6,10.8.8.138,42354,74.125.226.58,443,6,24/05/2015 01:04:20 p.m.,218692,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14528194904249,218692.0,0.0,218692.0,218692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.572640974521245,4.572640974521245,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,254,358,0,32,0,0,0,0,0,0,0,0,No Label
107.22.243.234-10.8.8.138-443-35936-6,107.22.243.234,443,10.8.8.138,35936,6,24/05/2015 01:10:41 p.m.,208635,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.58611929925468,208635.0,0.0,208635.0,208635.0,208635.0,208635.0,0.0,208635.0,208635.0,0,0,0,0,0,0,0,0,0,40,0,9.58611929925468,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
54.243.108.61-10.8.8.138-443-51762-6,54.243.108.61,443,10.8.8.138,51762,6,24/05/2015 01:20:32 p.m.,58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,17241.379310344826,17241.379310344826,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-50.16.198.195-443-44471-6,10.8.8.138,443,50.16.198.195,44471,6,24/05/2015 01:14:45 p.m.,1195,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5020.92050209205,239.0,256.6183937288985,546.0,38.0,1195.0,239.0,256.6183937288985,546.0,38.0,0,0,0,0,0,0,0,0,0,120,0,5020.92050209205,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.4324876852961848E15,506.07007090586444,1.432487685296847E15,1.432487685295737E15,No Label
