Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,22/05/2015 03:26:44 p.m.,245502,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.146573144006974,245502.0,0.0,245502.0,245502.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.073286572003487,4.073286572003487,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-34134-53-17,10.8.8.138,34134,131.202.244.3,53,17,22/05/2015 03:24:48 p.m.,254024,1,1,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,0.0,275.5645135892671,7.873271816836204,254024.0,0.0,254024.0,254024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.936635908418102,3.936635908418102,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,52.5,35.0,35.0,0,0,0,0,0,0,0,17,0,17,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,6,22/05/2015 03:26:50 p.m.,2127497,180,126,223456.0,1540.0,1308.0,0.0,1241.4222222222222,281.19191552774527,420.0,0.0,12.22222222222222,60.26566370846855,105756.20083130553,143.83099012595554,6975.400000000004,35960.390052861585,274066.0,0.0,2127497.0,11885.45810055866,53163.24788040568,344123.0,0.0,1859480.0,14875.839999999997,52862.930996328425,274176.0,4.0,1,0,0,0,5760,4764,84.60646477997383,59.22452534598169,0.0,1308.0,733.159609120521,644.2731202887823,415087.8535266437,0,0,0,11,306,0,0,0,0.0,735.5555555555555,1241.4222222222222,12.222222222222221,0,0,0,0,181,107579,0,730,0,5,40456,8415,173,32,0,0,0,0,1.432322811612682E15,326285.3566549337,1.432322812420502E15,1.43232281038484E15,No Label
10.8.8.138-74.125.226.38-39162-443-17,10.8.8.138,39162,74.125.226.38,443,17,22/05/2015 03:23:10 p.m.,950331,16,20,7917.0,18398.0,1350.0,40.0,494.8125,573.2329623867304,1350.0,29.0,919.9,588.2627322083756,27690.352098374144,37.881538116719334,27152.31428571429,67975.22479584294,254152.0,6.0,950331.0,63355.40000000001,132720.50373774205,370182.0,48.0,706135.0,37164.99999999999,78430.15065011669,256220.0,19.0,0,0,0,0,128,160,16.83623916298637,21.04529895373296,29.0,1350.0,747.7027027027028,611.9868310522551,374527.8813813814,0,0,0,0,0,0,0,0,1.0,768.4722222222222,494.8125,919.9,0,0,0,0,36,27690,0,219,0,511,0,0,15,8,0,0,0,0,1.4323225905390705E15,180650.9912134621,1.432322590868242E15,1.432322590011828E15,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:25:55 p.m.,58682332,9261,4923,1.1838912E7,63072.0,1308.0,0.0,1278.3621639131861,189.0039611565186,1308.0,0.0,12.811700182815356,93.23960871591242,202820.5695710934,241.70818569377917,4137.511950927176,123619.69945938568,1.4205989E7,0.0,5.8682332E7,6337.184881209515,153425.81902953642,1.4205989E7,0.0,5.8416552E7,11868.458350264125,214569.07423459104,1.4492648E7,3.0,1,0,0,0,302268,167644,157.8158141363571,83.89237155742208,0.0,1308.0,839.059005992239,623.9648094620245,389332.08344698057,0,0,0,259,14184,0,0,0,0.0,839.1181613085166,1278.3621639131843,12.811700182815356,0,0,0,0,3116,288271,0,834,0,4,52886,15877,9206,32,0,0,0,0,1.4323227821804642E15,1.1873297124551876E7,1.432322813995568E15,1.432322755430294E15,No Label
10.8.8.138-75.101.155.12-49156-22-6,10.8.8.138,49156,75.101.155.12,22,6,22/05/2015 03:21:35 p.m.,3223678,18,18,1731.0,2042.0,640.0,0.0,96.16666666666667,153.1582226864447,648.0,0.0,113.44444444444446,182.8503799227896,1170.4022548157725,11.167368453052694,92105.08571428573,108863.80805077491,243908.0,30.0,3223678.0,189628.11764705883,91367.41509756251,261964.0,70.0,2969019.0,174648.17647058822,95048.21532729802,245166.0,34.0,0,0,0,0,584,584,5.583684226526347,5.583684226526347,0.0,648.0,101.97297297297298,165.0364415122522,27237.027027027038,0,2,0,27,35,0,0,0,1.0,104.80555555555556,96.16666666666667,113.44444444444444,0,0,0,0,27,1370,0,48,0,56,29200,257,14,32,0,0,0,0,1.4323224965456358E15,944102.7615506283,1.432322498188369E15,1.432322495002932E15,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,22/05/2015 03:26:30 p.m.,225151,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.882927457572919,225151.0,0.0,225151.0,225151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.441463728786459,4.441463728786459,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,245,358,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,22/05/2015 03:25:26 p.m.,206778,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.672208842333324,206778.0,0.0,206778.0,206778.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.836104421166662,4.836104421166662,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,6,22/05/2015 03:25:26 p.m.,90621140,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662097166290338,1.8124228E7,2.453230121695744E7,4.4998913E7,206857.0,9.0412002E7,4.5206001E7,2859.539823118398,4.5208023E7,4.5203979E7,9.0414283E7,4.52071415E7,1286.22723497833,4.5208051E7,4.5206232E7,0,0,0,0,96,96,0.0331048583145169,0.0331048583145169,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,341,0,32,0,0,0,0,1.43232277173213E15,3.665624698314668E7,1.43232281662547E15,1.432322726838545E15,No Label
10.8.8.138-131.202.244.3-44604-53-17,10.8.8.138,44604,131.202.244.3,53,17,22/05/2015 03:23:10 p.m.,267059,1,1,37.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,277.09232791255863,7.488981835474559,267059.0,0.0,267059.0,267059.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.7444909177372794,3.7444909177372794,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,55.5,37.0,37.0,0,0,0,0,0,0,0,18,0,18,0,0,0,8,0,0,0,0,0,0,0,0,No Label
