Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,22/05/2015 03:28:28 p.m.,203636,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.821446109725196,203636.0,0.0,203636.0,203636.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.910723054862598,4.910723054862598,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:29:30 p.m.,92610222,643,658,4008.0,824404.0,1308.0,0.0,6.233281493001557,55.19550367393522,1308.0,0.0,1252.8936170212767,261.7303925926148,8945.146465581305,14.048125270663967,71238.63230769243,226174.04746389532,6964051.0,2.0,9.2610222E7,144252.68224299053,306073.6219264033,6964072.0,4.0,9.2326117E7,140526.81430745823,302913.3051352322,6964097.0,12.0,0,0,0,0,24348,21056,6.943078054601791,7.105047216062176,0.0,1308.0,637.2657450076798,651.8680317844925,424931.93086258805,0,0,0,85,1301,0,0,0,1.0,637.7555726364335,6.233281493001555,1252.8936170212767,0,0,0,0,220,9802,0,3,0,633,15877,15877,27,32,0,0,0,0,1.4323230201236708E15,2.6262559405016173E7,1.432323063359074E15,1.432322970788449E15,No Label
10.8.8.138-74.125.226.56-54576-443-17,10.8.8.138,54576,74.125.226.56,443,17,22/05/2015 03:27:51 p.m.,274126,4,3,1751.0,1673.0,1350.0,37.0,437.74999999999994,622.8816768322322,1350.0,29.0,557.6666666666666,698.8564468711248,12490.60650941538,25.53570256013658,45687.66666666666,80244.5898728797,207983.0,660.0,274126.0,91375.33333333333,106982.83834491088,209351.0,660.0,39800.0,19900.0,8891.16066663965,26187.0,13613.0,0,0,0,0,32,24,14.591830034363761,10.94387252577282,29.0,1350.0,596.75,634.0163923072382,401976.78571428574,0,0,0,0,0,0,0,0,0.0,682.0,437.75,557.6666666666666,0,0,0,0,7,12490,0,250,0,239,0,0,3,8,0,0,0,0,1.432322871440355E15,104341.03952539904,1.432322871515346E15,1.432322871256861E15,No Label
74.125.226.56-10.8.8.138-443-51143-6,74.125.226.56,443,10.8.8.138,51143,6,22/05/2015 03:28:01 p.m.,29,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,34482.75862068965,34482.75862068965,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,333,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,22/05/2015 03:29:31 p.m.,90689780,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06615960475369992,1.8137956E7,2.451911931787036E7,4.4997393E7,225853.0,9.0463927E7,4.52319635E7,11259.261276833397,4.5239925E7,4.5224002E7,9.0462994E7,4.5231497E7,11668.676103140408,4.5239748E7,4.5223246E7,0,0,0,0,96,96,0.03307980237684996,0.03307980237684996,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,245,358,0,32,0,0,0,0,1.43232301678366E15,3.664223107525307E7,1.432323061659976E15,1.432322971907899E15,No Label
10.8.8.138-75.101.155.12-49156-22-6,10.8.8.138,49156,75.101.155.12,22,6,22/05/2015 03:30:23 p.m.,7353814,28,52,1896.0,2184.0,100.0,0.0,67.71428571428571,21.359111409692122,84.0,0.0,42.0,42.40976580098171,554.8141413421662,10.878708653767964,93086.253164557,103430.2352815492,297663.0,23.0,7353814.0,272363.4814814815,55291.57467488596,317010.0,192.0,7016562.0,137579.6470588235,96776.03426651115,248875.0,3381.0,1,0,0,0,896,1664,3.807548028818787,7.071160624949176,0.0,100.0,51.20987654320986,38.138797847265295,1454.567901234568,0,0,0,52,80,0,0,0,1.0,51.85,67.71428571428571,42.0,0,0,0,0,52,557,0,23,0,27,8492,257,25,32,0,0,0,0,1.4323230271722568E15,2118062.297612569,1.432323030781834E15,1.43232302346013E15,No Label
10.8.8.138-74.125.226.56-51142-443-6,10.8.8.138,51142,74.125.226.56,443,6,22/05/2015 03:30:07 p.m.,45431551,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08804453979570277,1.5143850333333332E7,2.58538103403464E7,4.4997257E7,207560.0,4.5223991E7,4.5223991E7,0.0,4.5223991E7,4.5223991E7,4.5204817E7,4.5204817E7,0.0,4.5204817E7,4.5204817E7,0,0,0,0,64,64,0.044022269897851386,0.044022269897851386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,1.4323230302343545E15,3.1510773327065215E7,1.432323052515836E15,1.432323007952873E15,No Label
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,6,22/05/2015 03:27:10 p.m.,204891,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.761287709074582,204891.0,0.0,204891.0,204891.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.880643854537291,4.880643854537291,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,341,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-19750-53-17,10.8.8.138,19750,131.202.244.3,53,17,22/05/2015 03:27:51 p.m.,260511,1,1,33.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,253.34822713820145,7.677219004187923,260511.0,0.0,260511.0,260511.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.8386095020939615,3.8386095020939615,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,49.5,33.0,33.0,0,0,0,0,0,0,0,16,0,16,0,0,0,8,0,0,0,0,0,0,0,0,No Label
74.125.226.38-10.8.8.138-443-51827-6,74.125.226.38,443,10.8.8.138,51827,6,22/05/2015 03:27:10 p.m.,45,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0,0,0,0,1400000.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,1,0,0,1,2,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,341,0,0,32,0,0,0,0,0,0,0,0,No Label
