Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.0.10-131.202.244.5-46075-53-17,10.8.0.10,46075,131.202.244.5,53,17,14/04/2015 02:59:48 p.m.,46639,1,1,47.0,394.0,47.0,47.0,47.0,0.0,394.0,394.0,394.0,0.0,9455.605823452475,42.88256609275499,46639.0,0.0,46639.0,46639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,21.441283046377496,21.441283046377496,47.0,394.0,162.66666666666669,200.34054340880016,40136.333333333336,0,0,0,0,0,0,0,0,1.0,244.0,47.0,394.0,0,0,0,0,0,0,0,23,0,197,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.5-9399-53-17,10.8.0.10,9399,131.202.244.5,53,17,14/04/2015 02:15:09 p.m.,823,1,1,34.0,216.0,34.0,34.0,34.0,0.0,216.0,216.0,216.0,0.0,303766.7071688943,2430.1336573511544,823.0,0.0,823.0,823.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1215.0668286755772,1215.0668286755772,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,1.0,142.0,34.0,216.0,0,0,0,0,0,0,0,17,0,108,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.5-64347-53-17,10.8.0.10,64347,131.202.244.5,53,17,14/04/2015 02:24:43 p.m.,718,1,1,34.0,216.0,34.0,34.0,34.0,0.0,216.0,216.0,216.0,0.0,348189.4150417827,2785.515320334262,718.0,0.0,718.0,718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1392.757660167131,1392.757660167131,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,1.0,142.0,34.0,216.0,0,0,0,0,0,0,0,17,0,108,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.5-49645-53-17,10.8.0.10,49645,131.202.244.5,53,17,14/04/2015 02:13:48 p.m.,98861,1,1,35.0,138.0,35.0,35.0,35.0,0.0,138.0,138.0,138.0,0.0,1749.9317223171927,20.230424535458877,98861.0,0.0,98861.0,98861.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.115212267729438,10.115212267729438,35.0,138.0,69.33333333333334,59.46707772653146,3536.3333333333335,0,0,0,0,0,0,0,0,1.0,104.0,35.0,138.0,0,0,0,0,0,0,0,17,0,69,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.5-55357-53-17,10.8.0.10,55357,131.202.244.5,53,17,14/04/2015 02:59:48 p.m.,856,1,1,47.0,394.0,47.0,47.0,47.0,0.0,394.0,394.0,394.0,0.0,515186.91588785045,2336.448598130841,856.0,0.0,856.0,856.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1168.2242990654206,1168.2242990654206,47.0,394.0,162.66666666666669,200.34054340880016,40136.333333333336,0,0,0,0,0,0,0,0,1.0,244.0,47.0,394.0,0,0,0,0,0,0,0,23,0,197,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.5-40219-53-17,10.8.0.10,40219,131.202.244.5,53,17,14/04/2015 02:23:09 p.m.,857,1,1,34.0,216.0,34.0,34.0,34.0,0.0,216.0,216.0,216.0,0.0,291715.28588098014,2333.7222870478413,857.0,0.0,857.0,857.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1166.8611435239206,1166.8611435239206,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,1.0,142.0,34.0,216.0,0,0,0,0,0,0,0,17,0,108,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-91.189.90.41-40159-80-6,10.8.0.10,40159,91.189.90.41,80,6,14/04/2015 02:59:43 p.m.,50806719,9,8,581.0,342.0,581.0,0.0,64.55555555555557,193.66666666666669,342.0,0.0,42.75,120.91525958289962,18.16688851724513,0.3346014136437348,3175419.9375,4753938.145651153,1.0005741E7,44.0,5.0700469E7,6337558.625,5176506.759597108,1.0112001E7,94.0,5.0691937E7,7241705.285714285,4897443.625519499,1.0112688E7,38316.0,0,0,0,0,296,264,0.17714192487021255,0.15745948877352225,0.0,581.0,51.27777777777777,154.7665435633165,23952.683006535946,0,2,0,2,16,0,0,0,0.0,54.294117647058826,64.55555555555556,42.75,0,0,0,0,0,0,0,34,0,20,29200,55,1,32,0,0,0,0,1.4290380000712092E15,1.7771705055848006E7,1.429038033626276E15,1.429037983032715E15,No Label
10.8.0.10-131.202.244.3-40219-53-17,10.8.0.10,40219,131.202.244.3,53,17,14/04/2015 02:23:09 p.m.,827,1,1,34.0,216.0,34.0,34.0,34.0,0.0,216.0,216.0,216.0,0.0,302297.4607013301,2418.3796856106405,827.0,0.0,827.0,827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1209.1898428053203,1209.1898428053203,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,1.0,142.0,34.0,216.0,0,0,0,0,0,0,0,17,0,108,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.5-35188-53-17,10.8.0.10,35188,131.202.244.5,53,17,14/04/2015 01:59:00 p.m.,796,1,1,34.0,216.0,34.0,34.0,34.0,0.0,216.0,216.0,216.0,0.0,314070.3517587939,2512.5628140703516,796.0,0.0,796.0,796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1256.2814070351758,1256.2814070351758,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,1.0,142.0,34.0,216.0,0,0,0,0,0,0,0,17,0,108,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.0.10-131.202.244.3-35188-53-17,10.8.0.10,35188,131.202.244.3,53,17,14/04/2015 01:59:00 p.m.,883,1,1,34.0,216.0,34.0,34.0,34.0,0.0,216.0,216.0,216.0,0.0,283125.7078142695,2265.0056625141565,883.0,0.0,883.0,883.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1132.5028312570782,1132.5028312570782,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,1.0,142.0,34.0,216.0,0,0,0,0,0,0,0,17,0,108,0,0,0,8,0,0,0,0,0,0,0,0,No Label
