Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.134-157.55.235.155-15685-443-17,10.8.8.134,15685,157.55.235.155,443,17,05/06/2015 10:11:19 a.m.,139812,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,314.70832260464056,14.304923754756388,139812.0,0.0,139812.0,139812.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.152461877378194,7.152461877378194,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.134-50.183.58.89-15685-61070-17,10.8.8.134,15685,50.183.58.89,61070,17,05/06/2015 10:18:45 a.m.,54388228,12,4,4260.0,84.0,525.0,21.0,354.99999999999994,246.68861491214528,21.0,21.0,21.0,0.0,79.87022485821748,0.2941813070284254,3625881.8666666667,6160767.9600006025,1.9735036E7,24.0,5.4128641E7,4920785.545454545,6963766.558217821,1.9997986E7,24.0,5.4124495E7,1.8041498333333332E7,3369167.16389857,1.9994623E7,1.415113E7,0,0,0,0,96,32,0.220635980271319,0.07354532675710634,21.0,525.0,256.7647058823529,257.77110229129755,66445.94117647059,0,0,0,0,0,0,0,0,0.0,272.8125,355.0,21.0,0,0,0,0,6,4825885,0,266,0,5,0,0,11,8,0,0,0,0,1.4335139528287392E15,1.2186538072932841E7,1.433513979619839E15,1.433513926278062E15,No Label
10.8.8.134-111.221.74.27-15685-40034-17,10.8.8.134,15685,111.221.74.27,40034,17,05/06/2015 10:26:34 a.m.,380026,1,1,35.0,20.0,35.0,35.0,35.0,0.0,20.0,20.0,20.0,0.0,144.7269397357023,5.262797808570993,380026.0,0.0,380026.0,380026.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.6313989042854966,2.6313989042854966,20.0,35.0,30.0,8.660254037844387,75.0,0,0,0,0,0,0,0,0,1.0,45.0,35.0,20.0,0,0,0,0,0,0,0,17,0,10,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.134-81.105.201.97-15685-21981-17,10.8.8.134,15685,81.105.201.97,21981,17,05/06/2015 10:48:07 a.m.,137691,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,319.5561075161049,14.525277614368404,137691.0,0.0,137691.0,137691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.262638807184202,7.262638807184202,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.134-73.45.157.98-50838-36950-6,10.8.8.134,50838,73.45.157.98,36950,6,05/06/2015 10:12:22 a.m.,227469,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.792406877420659,227469.0,0.0,227469.0,227469.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.396203438710329,4.396203438710329,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,229,258,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.134-73.209.160.18-15685-49415-17,10.8.8.134,15685,73.209.160.18,49415,17,05/06/2015 10:12:59 a.m.,229340,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,191.8548879393041,8.720676724513822,229340.0,0.0,229340.0,229340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.360338362256911,4.360338362256911,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.134-73.25.184.121-37938-58698-6,10.8.8.134,37938,73.25.184.121,58698,6,05/06/2015 09:56:37 a.m.,384905,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19608734622829,384905.0,0.0,384905.0,384905.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.598043673114145,2.598043673114145,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,229,260,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.134-114.180.50.175-15685-31443-17,10.8.8.134,15685,114.180.50.175,31443,17,05/06/2015 10:12:01 a.m.,407656,1,1,18.0,26.0,18.0,18.0,18.0,0.0,26.0,26.0,26.0,0.0,107.93414054987538,4.906097297721608,407656.0,0.0,407656.0,407656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.453048648860804,2.453048648860804,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,1.0,31.0,18.0,26.0,0,0,0,0,0,0,0,9,0,13,0,0,0,8,0,0,0,0,0,0,0,0,No Label
46.17.57.54-10.8.8.134-15685-5144-17,46.17.57.54,15685,10.8.8.134,5144,17,05/06/2015 10:46:49 a.m.,54063596,24,0,672.0,0.0,28.0,28.0,28.0,0.0,0,0,0,0,12.429805816098508,0.4439216362892324,2350591.1304347822,2070011.9374564511,7987898.0,195089.0,5.4063596E7,2350591.1304347822,2070011.9374564511,7987898.0,195089.0,0,0,0,0,0,0,0,0,0,192,0,0.4439216362892324,0.0,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,29.166666666666668,28.0,0.0,0,0,0,0,0,0,1,28,0,0,0,0,23,8,0,0,0,0,1.4335156354382165E15,1.547183324223674E7,1.43351566109204E15,1.433515611162223E15,No Label
10.8.8.134-68.186.166.162-15685-11413-17,10.8.8.134,15685,68.186.166.162,11413,17,05/06/2015 10:16:40 a.m.,59565252,13,4,1372.0,88.0,524.0,22.0,105.53846153846155,184.82542005210183,22.0,22.0,22.0,0.0,24.510934663719713,0.2854012940296131,3722828.2500000005,6767546.305906186,1.973619E7,63.0,5.930028E7,4941689.999999999,7610873.315919486,1.9986632E7,63.0,5.9314106E7,1.9771368666666668E7,404062.4103728697,2.0020245E7,1.9305153E7,0,0,0,0,104,32,0.21824804837558648,0.06715324565402661,22.0,524.0,82.33333333333333,159.98639648052435,25595.64705882353,0,0,0,0,0,0,0,0,0.0,87.17647058823529,105.53846153846153,22.0,0,0,0,0,4,2323,0,80,0,5,0,0,12,8,0,0,0,0,1.4335138400023825E15,1.4924459698010912E7,1.433513859871821E15,1.433513801088129E15,No Label
