Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-193.235.32.101-48631-80-6,10.8.8.138,48631,193.235.32.101,80,6,24/05/2015 11:41:20 a.m.,217258,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20564490145357,217258.0,0.0,217258.0,217258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.602822450726785,4.602822450726785,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,235,0,32,0,0,0,0,0,0,0,0,No Label
198.41.30.199-10.8.8.138-80-57111-6,198.41.30.199,80,10.8.8.138,57111,6,24/05/2015 11:54:26 a.m.,22,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90909.09090909091,22.0,0.0,22.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45454.545454545456,45454.545454545456,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,62,248,0,32,0,0,0,0,0,0,0,0,No Label
74.125.226.37-10.8.8.138-443-53285-6,74.125.226.37,443,10.8.8.138,53285,6,24/05/2015 12:04:29 p.m.,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,333,229,0,32,0,0,0,0,0,0,0,0,No Label
54.192.55.186-10.8.8.138-80-38629-6,54.192.55.186,80,10.8.8.138,38629,6,24/05/2015 11:41:32 a.m.,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,122,246,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.40-52719-443-6,10.8.8.138,52719,74.125.226.40,443,6,24/05/2015 12:41:21 p.m.,204547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777703901792743,204547.0,0.0,204547.0,204547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.888851950896371,4.888851950896371,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.46-37123-443-6,10.8.8.138,37123,74.125.226.46,443,6,24/05/2015 12:31:58 p.m.,216824,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.224071136036601,216824.0,0.0,216824.0,216824.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.6120355680183005,4.6120355680183005,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
74.125.226.63-10.8.8.138-443-56857-6,74.125.226.63,443,10.8.8.138,56857,6,24/05/2015 11:54:15 a.m.,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,58823.529411764706,58823.529411764706,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,333,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.71-43676-443-17,10.8.8.138,43676,74.125.226.71,443,17,24/05/2015 11:54:50 a.m.,1110365,12,11,6878.0,7711.0,1350.0,37.0,573.1666666666666,586.7796292760455,1350.0,28.0,701.0,607.440367443587,13138.922786651236,20.71390939015549,50471.13636363636,73429.19804189446,216993.0,4.0,1110365.0,100942.27272727272,95163.22589014194,242506.0,37.0,868278.0,86827.8,93514.30373988545,217478.0,4.0,0,0,0,0,96,88,10.807257073124603,9.906652317030886,28.0,1350.0,664.1250000000001,592.0456293005743,350518.027173913,0,0,0,0,0,0,0,0,0.0,693.0,573.1666666666666,701.0,0,0,0,0,23,13138,0,299,0,335,0,0,11,8,0,0,0,0,1.4324828906066585E15,274628.5557562943,1.432482891266533E15,1.432482890221658E15,No Label
10.8.8.138-74.125.226.63-56862-443-6,10.8.8.138,56862,74.125.226.63,443,6,24/05/2015 12:04:31 p.m.,253758,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.881524917441027,253758.0,0.0,253758.0,253758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.9407624587205135,3.9407624587205135,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
24.156.140.49-10.8.8.138-443-47270-6,24.156.140.49,443,10.8.8.138,47270,6,24/05/2015 11:41:43 a.m.,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,58823.529411764706,58823.529411764706,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,453,229,0,32,0,0,0,0,0,0,0,0,No Label
