Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-23.235.37.217-33646-443-6,10.8.8.138,33646,23.235.37.217,443,6,24/05/2015 01:48:29 p.m.,17843951,9,5,330.0,4038.0,204.0,0.0,36.666666666666664,75.32595834106593,1308.0,0.0,807.6,634.7446730772933,244.78883628407183,0.7845796034745892,1372611.6153846155,4813656.550602559,1.7392322E7,20.0,1.7843951E7,2230493.875,6126734.713195729,1.7392322E7,89.0,279732.0,69933.0,80587.14063256825,143045.0,130.0,0,0,0,0,296,168,0.5043726022336645,0.28020700124092474,0.0,1308.0,291.2,511.17668178429267,261301.6,0,2,1,4,13,0,0,0,0.0,312.0,36.666666666666664,807.6,0,0,0,0,6,15637,0,23,0,288,29200,31,2,32,0,0,0,0,1.4324897109758202E15,5072279.704507067,1.432489727079098E15,1.432489709275079E15,No Label
10.8.8.138-74.125.226.35-54653-443-6,10.8.8.138,54653,74.125.226.35,443,6,24/05/2015 01:52:18 p.m.,206501,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.685183122599891,206501.0,0.0,206501.0,206501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.842591561299946,4.842591561299946,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,441,538,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.29.95-39514-443-6,10.8.8.138,39514,74.125.29.95,443,6,24/05/2015 01:50:40 p.m.,215259,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.291133007214565,215259.0,0.0,215259.0,215259.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.645566503607283,4.645566503607283,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-104.156.81.217-35238-443-6,10.8.8.138,35238,104.156.81.217,443,6,24/05/2015 02:10:42 p.m.,447074,8,5,358.0,4038.0,232.0,0.0,44.75,87.56997202237763,1308.0,0.0,807.6,634.7446730772933,9832.824096234628,29.077960248191573,37256.16666666666,59576.617646116116,137419.0,13.0,447074.0,63867.71428571429,79162.15685059431,172615.0,284.0,275968.0,68992.0,79322.80526641334,137820.0,284.0,0,0,0,0,264,168,17.894129383502506,11.183830864689066,0.0,1308.0,314.00000000000006,523.4536200158446,274003.69230769225,0,2,0,4,12,0,0,0,0.0,338.15384615384613,44.75,807.6,0,0,0,0,6,15952,0,27,0,310,29200,31,2,32,0,0,0,0,1.4324910428206208E15,108916.44214703482,1.432491042987637E15,1.432491042583652E15,No Label
209.148.205.35-10.8.8.138-443-42011-6,209.148.205.35,443,10.8.8.138,42011,6,24/05/2015 01:48:40 p.m.,38,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26315.78947368421,26315.78947368421,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,453,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-192.0.80.241-38332-443-6,10.8.8.138,38332,192.0.80.241,443,6,24/05/2015 01:51:13 p.m.,260812,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.668358817845805,260812.0,0.0,260812.0,260812.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.8341794089229024,3.8341794089229024,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,865,79,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.235.40.143-39901-443-6,10.8.8.138,39901,23.235.40.143,443,6,24/05/2015 02:10:33 p.m.,941148,15,16,726.0,17879.0,398.0,0.0,48.400000000000006,113.3722062185311,1308.0,0.0,1117.4374999999998,418.37717731731016,19768.410494417458,32.938496389515784,31371.599999999995,76234.91617796972,223892.0,15.0,941148.0,67224.85714285716,108628.24859892721,260727.0,49.0,679507.0,45300.46666666667,92810.34434254057,228391.0,52.0,0,0,0,0,488,520,15.93798212395925,17.000514265556532,0.0,1308.0,581.4062500000001,622.230061144538,387170.2489919356,0,2,0,6,30,0,0,0,1.0,600.1612903225806,48.4,1117.4375,0,0,0,0,18,27402,0,23,0,576,29200,33,3,32,0,0,0,0,1.4324910336034328E15,189149.48222041802,1.432491033952908E15,1.432491033049608E15,No Label
10.8.8.138-108.160.163.110-32809-443-6,10.8.8.138,32809,108.160.163.110,443,6,24/05/2015 02:08:24 p.m.,96299765,4,5,2035.0,554.0,586.0,277.0,508.75,154.5,277.0,0.0,110.8,151.71914842893102,26.88480080922316,0.09345817199034702,1.2037470625E7,2.212651442395084E7,5.151946E7,3019.0,9.6028296E7,3.2009432E7,2.7974520276989486E7,5.1795708E7,4052.0,9.6022517E7,2.400562925E7,2.757494027027751E7,5.151946E7,274903.0,1,0,0,0,128,160,0.04153696532904312,0.051921206661303905,0.0,586.0,286.6,239.3761335917458,57300.933333333334,0,0,0,6,9,0,0,0,1.0,318.44444444444446,508.75,110.8,0,0,0,0,0,0,0,226,0,61,38,45,3,32,0,0,0,0,1.4324909509367412E15,3.914299528521401E7,1.432491000723153E15,1.432490904700018E15,No Label
10.8.8.138-74.125.226.41-40427-443-17,10.8.8.138,40427,74.125.226.41,443,17,24/05/2015 01:51:39 p.m.,470246,8,5,5240.0,5062.0,1350.0,37.0,655.0,613.9481132101358,1350.0,32.0,1012.4,570.9980735519166,21907.682361997762,27.64510490254037,39187.166666666664,65593.42179716351,207427.0,34.0,470246.0,67178.0,88495.61572379353,218590.0,94.0,237327.0,59331.75,67123.6701190422,150457.0,34.0,0,0,0,0,64,40,17.012372247717153,10.63273265482322,32.0,1350.0,832.2857142857142,596.4224662449917,355719.7582417583,0,0,0,0,0,0,0,0,0.0,896.3076923076923,655.0,1012.4,0,0,0,0,13,21907,0,403,0,389,0,0,7,8,0,0,0,0,1.4324898996696685E15,137072.09254765397,1.432489899815963E15,1.432489899374797E15,No Label
10.8.8.138-74.125.226.40-53305-443-6,10.8.8.138,53305,74.125.226.40,443,6,24/05/2015 02:08:22 p.m.,204878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.761907086168353,204878.0,0.0,204878.0,204878.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.880953543084177,4.880953543084177,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,6,24/05/2015 02:09:30 p.m.,71767779,7,4,3135.0,1071.0,1045.0,0.0,447.8571428571429,558.575995596967,357.0,0.0,267.75,178.5,58.605687100892446,0.15327212508554847,7176777.9,1.4347617882580087E7,4.5026146E7,18.0,7.1767779E7,1.19612965E7,1.7409654844888028E7,4.5026146E7,211209.0,7.1556552E7,2.3852184E7,1.8591023588217083E7,4.5238042E7,1.1543716E7,1,0,0,0,224,128,0.09753680687262176,0.05573531821292672,0.0,1045.0,437.58333333333337,472.1995838304996,222972.446969697,0,0,0,6,11,0,0,0,0.0,477.3636363636364,447.85714285714283,267.75,0,0,0,0,0,0,0,285,0,97,1137,1320,2,32,0,0,0,0,1.4324910170120072E15,2.7601467121920466E7,1.432491042492345E15,1.432490970937361E15,No Label
10.8.8.138-192.0.77.2-48309-443-6,10.8.8.138,48309,192.0.77.2,443,6,24/05/2015 01:51:13 p.m.,131608,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.196644580876542,131608.0,0.0,131608.0,131608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.598322290438271,7.598322290438271,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,688,89,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.35-54672-443-6,10.8.8.138,54672,74.125.226.35,443,6,24/05/2015 01:49:49 p.m.,213917,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.349420569660195,213917.0,0.0,213917.0,213917.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.674710284830097,4.674710284830097,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,315,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-131.202.244.3-34367-53-17,10.8.8.138,34367,131.202.244.3,53,17,24/05/2015 02:05:48 p.m.,249480,1,1,37.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,296.61696328362996,8.01667468334135,249480.0,0.0,249480.0,249480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.008337341670675,4.008337341670675,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,55.5,37.0,37.0,0,0,0,0,0,0,0,18,0,18,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.138-209.148.205.35-42010-443-6,10.8.8.138,42010,209.148.205.35,443,6,24/05/2015 02:10:37 p.m.,216579,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.234505653826087,216579.0,0.0,216579.0,216579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.6172528269130435,4.6172528269130435,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11210,535,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.40-53306-443-6,10.8.8.138,53306,74.125.226.40,443,6,24/05/2015 02:08:53 p.m.,213391,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.372466505147827,213391.0,0.0,213391.0,213391.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.686233252573913,4.686233252573913,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,341,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.235.40.143-39902-443-6,10.8.8.138,39902,23.235.40.143,443,6,24/05/2015 02:10:33 p.m.,1328339,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7640993752347858,332084.75,527141.4310204141,1107200.0,20.0,1328339.0,664169.5,626568.0259161809,1107220.0,221119.0,1107268.0,1107268.0,0.0,1107268.0,1107268.0,0,0,0,0,104,80,2.2584596251408717,1.5056397500939143,0.0,0.0,0.0,0.0,0.0,0,3,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,14480,0,32,0,0,0,0,1.432491033769745E15,711645.9148895608,1.43249103458151E15,1.432491033253327E15,No Label
10.8.8.138-74.125.226.72-39606-443-6,10.8.8.138,39606,74.125.226.72,443,6,24/05/2015 01:55:40 p.m.,207193,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.652835761825932,207193.0,0.0,207193.0,207193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.826417880912966,4.826417880912966,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-104.156.81.217-35198-443-6,10.8.8.138,35198,104.156.81.217,443,6,24/05/2015 02:08:59 p.m.,103416209,18,16,9222.0,4029.0,1036.0,0.0,512.3333333333334,432.2002531507003,1237.0,0.0,251.81249999999997,405.3338079081651,128.13271853738132,0.3287685782409603,3133824.5151515147,8710776.091967747,2.9809977E7,16.0,1.03282046E8,6075414.470588233,1.1524047322431555E7,2.9809977E7,21.0,7.347291E7,4898194.0,1.0429714480282903E7,2.9943156E7,30.0,1,0,0,0,576,512,0.17405395318639075,0.15471462505456954,0.0,1237.0,398.5428571428572,430.7040298680032,185505.9613445378,0,0,0,17,34,0,0,0,0.0,410.2647058823529,512.3333333333334,251.8125,0,0,0,0,5,13964,0,271,0,118,83,83,11,32,0,0,0,0,1.4324910138493138E15,3.059822192903581E7,1.432491042889229E15,1.432490939473209E15,No Label
10.8.8.138-74.125.226.45-47827-443-6,10.8.8.138,47827,74.125.226.45,443,6,24/05/2015 01:49:49 p.m.,207273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.649110110820029,207273.0,0.0,207273.0,207273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.8245550554100145,4.8245550554100145,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,315,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.40-44795-443-17,10.8.8.138,44795,74.125.226.40,443,17,24/05/2015 02:04:22 p.m.,458387,4,3,3141.0,1501.0,1350.0,40.0,785.25,544.992584047404,1350.0,32.0,500.33333333333337,737.1175844689458,10126.814242114197,15.270939184575479,76397.83333333333,101389.63527583411,207080.0,84.0,458387.0,152795.66666666666,133833.02821924537,249661.0,84.0,225622.0,112811.0,134551.106751301,207953.0,17669.0,0,0,0,0,32,24,8.726250962614559,6.54468822196092,32.0,1350.0,749.0,601.153415170727,361385.4285714286,0,0,0,0,0,0,0,0,0.0,856.0,785.25,500.3333333333333,0,0,0,0,7,10126,0,448,0,214,0,0,3,8,0,0,0,0,1.4324906623088435E15,178439.3120841709,1.432490662491404E15,1.432490662052248E15,No Label
10.8.8.138-172.230.99.79-50697-443-6,10.8.8.138,50697,172.230.99.79,443,6,24/05/2015 01:48:27 p.m.,197710,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.173739315158565,98855.0,139776.6258642696,197692.0,18.0,197710.0,197710.0,0.0,197710.0,197710.0,0,0,0,0,0,0,0,0,0,40,32,10.11582621010571,5.057913105052855,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,486,0,20,0,0,0,0,1.432489707130621E15,0.0,1.432489707130621E15,1.432489707130621E15,No Label
