Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-131.202.244.3-39306-53-17,10.8.8.138,39306,131.202.244.3,53,17,24/05/2015 02:18:51 p.m.,250900,1,1,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,318.8521323236349,7.971303308090873,250900.0,0.0,250900.0,250900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.9856516540454363,3.9856516540454363,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,60.0,40.0,40.0,0,0,0,0,0,0,0,20,0,20,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.63-41415-443-17,10.8.8.138,41415,74.125.226.63,443,17,24/05/2015 02:26:57 p.m.,463247,4,3,1756.0,1677.0,1350.0,37.0,439.0,622.5822569481616,1350.0,32.0,559.0,697.5335117397586,7410.733366864761,15.110729265381103,77207.83333333333,100839.04480590178,207517.0,217.0,463247.0,154415.66666666666,135561.88209571794,254841.0,217.0,229412.0,114706.0,129714.49636798502,206428.0,22984.0,0,0,0,0,32,24,8.63470243736063,6.476026828020473,32.0,1350.0,597.875,633.2594678103349,401017.5535714286,0,0,0,0,0,0,0,0,0.0,683.2857142857143,439.0,559.0,0,0,0,0,7,7410,0,250,0,239,0,0,3,8,0,0,0,0,1.4324920176250838E15,178014.82444405335,1.432492017806637E15,1.432492017367263E15,No Label
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,6,24/05/2015 02:29:22 p.m.,55107018,4,2,554.0,1172.0,277.0,0.0,138.5,159.92602456552632,586.0,586.0,586.0,0.0,31.32087459350459,0.10887905420685257,1.10214036E7,2.4338472206961498E7,5.4558719E7,1000.0,5.5107018E7,1.8369006E7,3.1341210832431428E7,5.4558719E7,273065.0,5.4831291E7,5.4831291E7,0.0,5.4831291E7,5.4831291E7,1,0,0,0,128,64,0.07258603613790171,0.036293018068950855,0.0,586.0,286.1428571428571,239.38631858109503,57305.80952380953,0,0,0,4,6,0,0,0,0.0,333.8333333333333,138.5,586.0,0,0,0,0,0,0,0,92,0,195,83,991,1,32,0,0,0,0,1.4324921905359762E15,3.150118378844893E7,1.432492218087943E15,1.432492163253497E15,No Label
10.8.8.138-216.58.219.205-36617-443-17,10.8.8.138,36617,216.58.219.205,443,17,24/05/2015 02:27:49 p.m.,703510,5,5,1923.0,1938.0,1350.0,42.0,384.6,549.0007285969664,1350.0,29.0,387.6,574.2919988995145,5488.194908387941,14.214439027163793,78167.77777777778,110523.89260447011,240948.0,47.0,462562.0,115640.5,133949.2251825295,245248.0,47.0,486772.0,121693.0,124957.47343796608,241203.0,1005.0,0,0,0,0,40,40,7.107219513581897,7.107219513581897,29.0,1350.0,473.7272727272728,580.4751658613986,336951.4181818182,0,0,0,0,0,0,0,0,1.0,521.1,384.6,387.6,0,0,0,0,10,5488,0,192,0,193,0,0,4,8,0,0,0,0,1.432492070201129E15,211157.51173252054,1.432492070534824E15,1.432492069831843E15,No Label
10.8.8.138-131.202.244.3-61565-53-17,10.8.8.138,61565,131.202.244.3,53,17,24/05/2015 02:30:27 p.m.,252418,1,1,36.0,36.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,285.2411476202173,7.923365211672702,252418.0,0.0,252418.0,252418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.961682605836351,3.961682605836351,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,54.0,36.0,36.0,0,0,0,0,0,0,0,18,0,18,0,0,0,8,0,0,0,0,0,0,0,0,No Label
74.121.139.19-10.8.8.138-443-48455-6,74.121.139.19,443,10.8.8.138,48455,6,24/05/2015 02:18:19 p.m.,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,36,336,0,20,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.63-57642-443-6,10.8.8.138,57642,74.125.226.63,443,6,24/05/2015 02:29:13 p.m.,90407973,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055304856796203145,2.260199325E7,2.5861866929259256E7,4.4999057E7,204916.0,9.0407973E7,4.52039865E7,19.091883092036785,4.5204E7,4.5203973E7,4.520406E7,4.520406E7,0.0,4.520406E7,4.520406E7,0,0,0,0,96,64,0.033182914077721885,0.022121942718481256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,350,0,32,0,0,0,0,1.432492198802655E15,4.489687625730624E7,1.432492243801643E15,1.432492154008592E15,No Label
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,6,24/05/2015 02:29:46 p.m.,14777982,3,1,1029.0,357.0,1029.0,0.0,343.0,594.0934269961249,357.0,357.0,357.0,0.0,93.7881775739069,0.2706729511512465,4925994.0,8346617.460267543,1.456304E7,87.0,1.4777982E7,7388991.0,1.014563739292914E7,1.456304E7,214942.0,0,0,0,0,0,0,0,0,0,96,32,0.20300471336343487,0.06766823778781163,0.0,1029.0,277.2,447.79761053404474,200522.7,0,0,0,2,4,0,0,0,0.0,346.5,343.0,357.0,0,0,0,0,0,0,0,257,0,89,1320,1320,1,32,0,0,0,0,9.549948006939834E14,8.270497452710839E14,1.432492200933591E15,1.456304E7,No Label
10.8.8.138-131.202.244.3-40980-53-17,10.8.8.138,40980,131.202.244.3,53,17,24/05/2015 02:27:49 p.m.,250350,1,1,37.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,295.5861793489115,7.988815658078689,250350.0,0.0,250350.0,250350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.9944078290393445,3.9944078290393445,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,55.5,37.0,37.0,0,0,0,0,0,0,0,18,0,18,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.138-216.58.219.205-37776-443-6,10.8.8.138,37776,216.58.219.205,443,6,24/05/2015 02:30:06 p.m.,206623,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.679464532022088,206623.0,0.0,206623.0,206623.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.839732266011044,4.839732266011044,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,341,0,32,0,0,0,0,0,0,0,0,No Label
