Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.222-224.0.0.252-62589-5355-17,10.8.8.222,62589,224.0.0.252,5355,17,22/05/2015 01:27:53 p.m.,412017,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.79171005079887,4.854168638672676,412017.0,0.0,412017.0,412017.0,412017.0,412017.0,0.0,412017.0,412017.0,0,0,0,0,0,0,0,0,0,16,0,4.854168638672676,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-56845-5355-17,10.8.8.222,56845,224.0.0.252,5355,17,22/05/2015 12:37:01 p.m.,413262,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.46998756236962,4.83954488919862,413262.0,0.0,413262.0,413262.0,413262.0,413262.0,0.0,413262.0,413262.0,0,0,0,0,0,0,0,0,0,16,0,4.83954488919862,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-53263-5355-17,10.8.8.222,53263,224.0.0.252,5355,17,22/05/2015 01:07:49 p.m.,412324,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.71219720414042,4.850554418370019,412324.0,0.0,412324.0,412324.0,412324.0,412324.0,0.0,412324.0,412324.0,0,0,0,0,0,0,0,0,0,16,0,4.850554418370019,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-61592-5355-17,10.8.8.222,61592,224.0.0.252,5355,17,22/05/2015 01:17:13 p.m.,411461,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.93601580708741,4.860727991231246,411461.0,0.0,411461.0,411461.0,411461.0,411461.0,0.0,411461.0,411461.0,0,0,0,0,0,0,0,0,0,16,0,4.860727991231246,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-59434-5355-17,10.8.8.222,59434,224.0.0.252,5355,17,22/05/2015 01:17:47 p.m.,413287,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.46354712342755,4.839252141973979,413287.0,0.0,413287.0,413287.0,413287.0,413287.0,0.0,413287.0,413287.0,0,0,0,0,0,0,0,0,0,16,0,4.839252141973979,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-61153-5355-17,10.8.8.222,61153,224.0.0.252,5355,17,22/05/2015 12:36:23 p.m.,413417,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.43006939724299,4.837730427147409,413417.0,0.0,413417.0,413417.0,413417.0,413417.0,0.0,413417.0,413417.0,0,0,0,0,0,0,0,0,0,16,0,4.837730427147409,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-52377-5355-17,10.8.8.222,52377,224.0.0.252,5355,17,22/05/2015 12:51:52 p.m.,410494,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.18792479305422,4.872178399684283,410494.0,0.0,410494.0,410494.0,410494.0,410494.0,0.0,410494.0,410494.0,0,0,0,0,0,0,0,0,0,16,0,4.872178399684283,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-53139-5355-17,10.8.8.222,53139,224.0.0.252,5355,17,22/05/2015 01:32:10 p.m.,413538,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.39892827261339,4.836314921482427,413538.0,0.0,413538.0,413538.0,413538.0,413538.0,0.0,413538.0,413538.0,0,0,0,0,0,0,0,0,0,16,0,4.836314921482427,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-51919-5355-17,10.8.8.222,51919,224.0.0.252,5355,17,22/05/2015 01:11:56 p.m.,412883,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.56772015316687,4.8439872796894035,412883.0,0.0,412883.0,412883.0,412883.0,412883.0,0.0,412883.0,412883.0,0,0,0,0,0,0,0,0,0,16,0,4.8439872796894035,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-198.7.63.141-64640-53-17,10.8.8.222,64640,198.7.63.141,53,17,22/05/2015 01:16:44 p.m.,116277,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,980.4174514306354,17.200306165449746,116277.0,0.0,116277.0,116277.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.600153082724873,8.600153082724873,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-198.7.63.141-58647-53-17,10.8.8.222,58647,198.7.63.141,53,17,22/05/2015 12:51:46 p.m.,116083,1,1,42.0,178.0,42.0,42.0,42.0,0.0,178.0,178.0,178.0,0.0,1895.195678953852,17.2290516268532,116083.0,0.0,116083.0,116083.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.6145258134266,8.6145258134266,42.0,178.0,87.33333333333334,78.5196366097891,6165.333333333334,0,0,0,0,0,0,0,0,1.0,131.0,42.0,178.0,0,0,0,0,0,0,0,21,0,89,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-217.147.208.1-13463-123-17,10.8.8.222,13463,217.147.208.1,123,17,22/05/2015 01:03:00 p.m.,143251,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,670.1523898611529,13.96150812210735,143251.0,0.0,143251.0,143251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6.980754061053675,6.980754061053675,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-59419-5355-17,10.8.8.222,59419,224.0.0.252,5355,17,22/05/2015 01:17:10 p.m.,411725,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.8674479324792,4.857611269658146,411725.0,0.0,411725.0,411725.0,411725.0,411725.0,0.0,411725.0,411725.0,0,0,0,0,0,0,0,0,0,16,0,4.857611269658146,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-198.7.63.141-61868-53-17,10.8.8.222,61868,198.7.63.141,53,17,22/05/2015 01:06:41 p.m.,122609,1,1,27.0,85.0,27.0,27.0,27.0,0.0,85.0,85.0,85.0,0.0,913.4729098190182,16.31201624676818,122609.0,0.0,122609.0,122609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.15600812338409,8.15600812338409,27.0,85.0,46.33333333333333,33.48631561299829,1121.3333333333333,0,0,0,0,0,0,0,0,1.0,69.5,27.0,85.0,0,0,0,0,0,0,0,13,0,42,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-198.7.63.141-65344-53-17,10.8.8.222,65344,198.7.63.141,53,17,22/05/2015 01:01:36 p.m.,116771,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,976.2697930136763,17.12754022831011,116771.0,0.0,116771.0,116771.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.563770114155055,8.563770114155055,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-56335-5355-17,10.8.8.222,56335,224.0.0.252,5355,17,22/05/2015 01:06:39 p.m.,412208,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.74222722509025,4.851919419322284,412208.0,0.0,412208.0,412208.0,412208.0,412208.0,0.0,412208.0,412208.0,0,0,0,0,0,0,0,0,0,16,0,4.851919419322284,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-60940-5355-17,10.8.8.222,60940,224.0.0.252,5355,17,22/05/2015 12:47:47 p.m.,413369,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.44242795178158,4.8382921796264355,413369.0,0.0,413369.0,413369.0,413369.0,413369.0,0.0,413369.0,413369.0,0,0,0,0,0,0,0,0,0,16,0,4.8382921796264355,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-49260-5355-17,10.8.8.222,49260,224.0.0.252,5355,17,22/05/2015 01:27:16 p.m.,413253,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.47230631114596,4.839650286870271,413253.0,0.0,413253.0,413253.0,413253.0,413253.0,0.0,413253.0,413253.0,0,0,0,0,0,0,0,0,0,16,0,4.839650286870271,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-51359-5355-17,10.8.8.222,51359,224.0.0.252,5355,17,22/05/2015 01:22:13 p.m.,411389,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.95473140993074,4.861578700451398,411389.0,0.0,411389.0,411389.0,411389.0,411389.0,0.0,411389.0,411389.0,0,0,0,0,0,0,0,0,0,16,0,4.861578700451398,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-51115-5355-17,10.8.8.222,51115,224.0.0.252,5355,17,22/05/2015 12:47:04 p.m.,413043,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.5264391358769,4.842110869812586,413043.0,0.0,413043.0,413043.0,413043.0,413043.0,0.0,413043.0,413043.0,0,0,0,0,0,0,0,0,0,16,0,4.842110869812586,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-198.7.63.141-63401-53-17,10.8.8.222,63401,198.7.63.141,53,17,22/05/2015 12:51:01 p.m.,503932,1,1,44.0,168.0,44.0,44.0,44.0,0.0,168.0,168.0,168.0,0.0,420.69168062357613,3.9687894398450583,503932.0,0.0,503932.0,503932.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.9843947199225291,1.9843947199225291,44.0,168.0,85.33333333333334,71.5914333795136,5125.333333333334,0,0,0,0,0,0,0,0,1.0,128.0,44.0,168.0,0,0,0,0,0,0,0,22,0,84,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 01:31:20 p.m.,119671826,5985,5975,496755.0,495925.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8295.018411434618,99.93998086065805,10006.84221088721,4477.141459257166,41723.0,38.0,1.19671826E8,19998.634024064177,2792.0889260617582,41723.0,7092.0,1.19637433E8,20026.35302979569,4826.832037223108,80185.0,81.0,0,0,0,0,47880,47800,50.011771358782475,49.92820950187557,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.00693979933111,83.0,83.0,0,0,0,0,11960,8295,0,41,0,41,0,0,5984,8,0,0,0,0,1.4323159407528348E15,3.454160072153256E7,1.432316000567402E15,1.43231588092151E15,No Label
10.8.8.222-224.0.0.252-62905-5355-17,10.8.8.222,62905,224.0.0.252,5355,17,22/05/2015 01:05:15 p.m.,411854,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.83397514653251,4.856089779387841,411854.0,0.0,411854.0,411854.0,411854.0,411854.0,0.0,411854.0,411854.0,0,0,0,0,0,0,0,0,0,16,0,4.856089779387841,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-50527-5355-17,10.8.8.222,50527,224.0.0.252,5355,17,22/05/2015 01:12:58 p.m.,412050,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.78315738381264,4.853779881082392,412050.0,0.0,412050.0,412050.0,412050.0,412050.0,0.0,412050.0,412050.0,0,0,0,0,0,0,0,0,0,16,0,4.853779881082392,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-62363-5355-17,10.8.8.222,62363,224.0.0.252,5355,17,22/05/2015 01:33:02 p.m.,412303,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.71763242081674,4.850801473673488,412303.0,0.0,412303.0,412303.0,412303.0,412303.0,0.0,412303.0,412303.0,0,0,0,0,0,0,0,0,0,16,0,4.850801473673488,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-53375-5355-17,10.8.8.222,53375,224.0.0.252,5355,17,22/05/2015 12:52:44 p.m.,414114,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.25093573267264,4.829587987848757,414114.0,0.0,414114.0,414114.0,414114.0,414114.0,0.0,414114.0,414114.0,0,0,0,0,0,0,0,0,0,16,0,4.829587987848757,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-50571-5355-17,10.8.8.222,50571,224.0.0.252,5355,17,22/05/2015 12:52:01 p.m.,412803,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.58837266202039,4.844926030091836,412803.0,0.0,412803.0,412803.0,412803.0,412803.0,0.0,412803.0,412803.0,0,0,0,0,0,0,0,0,0,16,0,4.844926030091836,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-58643-5355-17,10.8.8.222,58643,224.0.0.252,5355,17,22/05/2015 12:47:04 p.m.,411900,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.82204418548191,4.855547462976451,411900.0,0.0,411900.0,411900.0,411900.0,411900.0,0.0,411900.0,411900.0,0,0,0,0,0,0,0,0,0,16,0,4.855547462976451,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.8.8.222-224.0.0.252-56848-5355-17,10.8.8.222,56848,224.0.0.252,5355,17,22/05/2015 12:41:58 p.m.,412317,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.71400888151592,4.850636767341633,412317.0,0.0,412317.0,412317.0,412317.0,412317.0,0.0,412317.0,412317.0,0,0,0,0,0,0,0,0,0,16,0,4.850636767341633,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
