Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-131.202.244.3-54113-53-17,10.8.8.138,54113,131.202.244.3,53,17,24/05/2015 02:47:25 p.m.,252002,1,1,37.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,293.64846310743565,7.936444948849612,252002.0,0.0,252002.0,252002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.968222474424806,3.968222474424806,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,55.5,37.0,37.0,0,0,0,0,0,0,0,18,0,18,0,0,0,8,0,0,0,0,0,0,0,0,No Label
74.125.226.47-10.8.8.138-443-46267-6,74.125.226.47,443,10.8.8.138,46267,6,24/05/2015 03:12:10 p.m.,50,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,333,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.57-50675-443-17,10.8.8.138,50675,74.125.226.57,443,17,24/05/2015 03:02:09 p.m.,647281,5,4,2207.0,2010.0,1350.0,37.0,441.4,537.4726039529829,1350.0,29.0,502.5,625.3375088702101,6514.944823036672,13.904316672357137,80910.12499999999,98575.38953575077,207101.0,130.0,463349.0,115837.25,107520.80634734532,208575.0,130.0,440050.0,146683.33333333334,108020.37167744485,210092.0,21958.0,0,0,0,0,40,32,7.724620373531743,6.1796962988253945,29.0,1350.0,556.6999999999999,580.8226063093618,337354.89999999997,0,0,0,0,0,0,0,0,0.0,618.5555555555555,441.4,502.5,0,0,0,0,9,6514,0,245,0,223,0,0,4,8,0,0,0,0,1.4324941302607605E15,205359.2380652078,1.432494130548953E15,1.432494129929436E15,No Label
10.8.8.138-108.160.163.110-32809-443-6,10.8.8.138,32809,108.160.163.110,443,6,24/05/2015 03:16:38 p.m.,271990,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02981727269385,135995.0,192293.44650299448,271967.0,23.0,271990.0,271990.0,0.0,271990.0,271990.0,0,0,0,0,0,0,0,0,0,40,32,7.3532115151292325,3.6766057575646163,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,0,20,0,0,0,0,1.432494998446075E15,0.0,1.432494998446075E15,1.432494998446075E15,No Label
10.8.8.138-74.125.226.37-54185-443-6,10.8.8.138,54185,74.125.226.37,443,6,24/05/2015 03:00:55 p.m.,222309,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.996486871876533,222309.0,0.0,222309.0,222309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.498243435938266,4.498243435938266,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.34-36291-443-17,10.8.8.138,36291,74.125.226.34,443,17,24/05/2015 03:12:45 p.m.,11907626,11,10,7682.0,8318.0,1350.0,37.0,698.3636363636363,636.363618181818,1350.0,32.0,831.8,638.1993418987519,1343.6767328768974,1.7635757119009279,595381.2999999999,2538902.3114201,1.1378137E7,24.0,1.1907626E7,1190762.5999999999,3581227.6303243404,1.1378137E7,24.0,1.1690496E7,1298944.0,3861165.525116995,1.1595056E7,32.0,0,0,0,0,88,80,0.923777753852867,0.8397979580480609,32.0,1350.0,788.6363636363637,622.5398472964292,387555.8614718615,0,0,0,0,0,0,0,0,0.0,826.1904761904761,698.3636363636364,831.8,0,0,0,0,18,42636,0,365,0,396,0,0,10,8,0,0,0,0,1.4324947760887882E15,3682444.8081368706,1.432494777444211E15,1.432494765538293E15,No Label
208.117.251.116-10.8.8.138-443-56585-6,208.117.251.116,443,10.8.8.138,56585,6,24/05/2015 02:48:47 p.m.,49,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40816.32653061225,49.0,0.0,49.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20408.163265306124,20408.163265306124,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,237,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.37-33809-443-17,10.8.8.138,33809,74.125.226.37,443,17,24/05/2015 03:16:54 p.m.,8128086,6,4,2901.0,1824.0,1350.0,37.0,483.49999999999994,553.1787233797048,1350.0,32.0,456.0,604.7451253765231,581.3176681447515,1.2303019431634952,903120.6666666667,2432529.1526772603,7384012.0,172.0,8128086.0,1625617.2,3220861.3218343784,7384012.0,172.0,7878202.0,2626067.3333333335,4347314.158289269,7644529.0,14747.0,0,0,0,0,48,32,0.7381811658980971,0.49212077726539805,32.0,1350.0,552.2727272727273,576.9752318616615,332900.41818181815,0,0,0,0,0,0,0,0,0.0,607.5,483.5,456.0,0,0,0,0,7,8283,0,290,0,182,0,0,5,8,0,0,0,0,1.4324950171881838E15,3486789.5185987153,1.432495022852857E15,1.432495014960392E15,No Label
10.8.8.138-74.125.226.37-54813-443-17,10.8.8.138,54813,74.125.226.37,443,17,24/05/2015 03:08:07 p.m.,205675,2,1,1387.0,1350.0,1350.0,37.0,693.5,928.4312036979369,1350.0,1350.0,1350.0,0.0,13307.402455330011,14.586118876868847,102837.5,144490.90677444031,205008.0,667.0,205675.0,205675.0,0.0,205675.0,205675.0,0,0,0,0,0,0,0,0,0,16,8,9.724079251245898,4.862039625622949,37.0,1350.0,1021.75,656.5,430992.25,0,0,0,0,0,0,0,0,0.0,1362.3333333333333,693.5,1350.0,0,0,0,0,0,0,0,462,0,450,0,0,1,8,0,0,0,0,1.432494487029999E15,0.0,1.432494487029999E15,1.432494487029999E15,No Label
10.8.8.138-74.125.226.36-45525-443-6,10.8.8.138,45525,74.125.226.36,443,6,24/05/2015 02:35:28 p.m.,214223,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.336065688558184,214223.0,0.0,214223.0,214223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.668032844279092,4.668032844279092,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,944,358,0,32,0,0,0,0,0,0,0,0,No Label
