p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.971505962641151,0.6606161319187013,0.9541363644215655,0.7613435474366529,0.9627428252703869,0.7074122236671001,0.9339023145785983,0.8577399559291092,5168,1620,2655,5168
0.9712442655511223,0.6549331963001028,0.9536440985106053,0.7570537570537571,0.9623637186944861,0.7023005923680948,0.9331756265751349,0.8553489277821812,5098,1636,2686,5098
0.9722477550731811,0.6547809993830969,0.9515916955017301,0.7717027773738548,0.9618088343300807,0.7084501401682018,0.9324644000185537,0.8616472364377925,5307,1570,2798,5307
0.9727581892830083,0.6590966439565985,0.9533389745626608,0.7716395864106351,0.9629506881334055,0.7109417528579205,0.9343197736444177,0.862489280486648,5224,1546,2702,5224
0.9708062613350237,0.6585489599188229,0.9534473515831705,0.757956204379562,0.9620485081137673,0.7047644902945567,0.9327427060624334,0.8557017779813664,5192,1658,2692,5192
0.9711494293487862,0.65671826625387,0.9519925183145426,0.7645617070357554,0.9614755603753619,0.7065485310772099,0.9318923264839124,0.858277112675149,5303,1633,2772,5303
0.9699459801868698,0.6677287789956666,0.9548415035510134,0.7541384770404491,0.9623344768289382,0.7083079835057122,0.9332838567033103,0.8544899902957312,5239,1708,2607,5239
0.9706871950252788,0.6670037926675095,0.9543793408039906,0.7602305475504323,0.9624641933906238,0.7105723905723906,0.9335467013003077,0.8573049441772114,5276,1664,2634,5276
0.9706285593756592,0.6611432241490045,0.9544064017698197,0.7549134643590496,0.9624491289836253,0.7049236458262002,0.9333766253846035,0.8546599330644347,5147,1671,2638,5147
0.9712065410844244,0.66813824419778,0.9544384026599245,0.76424758332131,0.9627494650421415,0.7129685712362877,0.9340569290474202,0.8593429929906173,5297,1634,2631,5297
0.9721442567388656,0.6621823617339312,0.9530657805929079,0.7711053089643168,0.9625104865771812,0.7125050261359066,0.9336703928753652,0.8620855447786123,5316,1578,2712,5316
0.9713343211967259,0.6664163224433596,0.9538352272727273,0.766153403367391,0.962505244021815,0.7128129602356407,0.9336703928753652,0.8599943153200592,5324,1625,2665,5324
0.9717233608000564,0.6628600431417333,0.9540684910194133,0.7648609077598829,0.9628149996074771,0.7102168445381009,0.9340878519411847,0.8594646993896481,5224,1606,2657,5224
0.9691806741177506,0.6667514627321293,0.9545801262048401,0.7496067496067496,0.9618249941047521,0.7057556378323797,0.9324180156779072,0.8520934379057948,5242,1751,2620,5242
0.9719121990908609,0.6468058968058968,0.950280160486995,0.7682766671530716,0.9609744580757427,0.7023277529513774,0.9309955625647448,0.8592784138200333,5265,1588,2875,5265
0.9706182843050907,0.6673833312254964,0.9544446753966604,0.7598272138228942,0.9624635377547991,0.7106113654726637,0.9335467013003077,0.8571359446097773,5277,1668,2630,5277
0.9702965064040451,0.6620768064679131,0.9536796536796537,0.7566045907319185,0.9619163224493716,0.706191470726942,0.9325726301467291,0.8551421222057861,5241,1686,2675,5241
