p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9703684965005481,0.9323671497584541,0.9937135159407274,0.7406642066420664,0.9819022671228786,0.8255326149543474,0.9672062711628554,0.8671888612913968,5018,1757,364,5018
0.9718906822189068,0.9283330405761462,0.9929331070080022,0.7611983292524845,0.9822992169159854,0.8364988920544476,0.9680566507413764,0.8770657181302435,5285,1658,408,5285
0.9712863576338333,0.9267510247727678,0.9928869351516935,0.7540603248259861,0.9819678725170523,0.8315343407691692,0.9674227314192062,0.8734736299888397,5200,1696,411,5200
0.970961027532872,0.9357091690544412,0.9937820423998891,0.7527733755942948,0.982238998878703,0.8343313373253494,0.9679174977194366,0.8732777089970919,5225,1716,359,5225
0.972499576916568,0.9357436907105782,0.9937915052573326,0.7628775718663359,0.983030261559779,0.8405144694533762,0.9693244893857167,0.8783345385618343,5228,1625,359,5228
0.9702620456466611,0.9345033472046318,0.9937319273457655,0.7459560947429231,0.9818567530345671,0.829652236768131,0.9672062711628554,0.8698440110443443,5165,1759,362,5165
0.971509440357954,0.9386784140969163,0.9939655620870832,0.7601312785388128,0.9826092173719262,0.8400220767957108,0.9686287242760178,0.877048420312948,5327,1681,348,5327
0.9720565308750763,0.9357458075904678,0.993694458399016,0.7627338129496403,0.9827564053144193,0.8404280618311534,0.968876107426133,0.8782141356743283,5301,1649,364,5301
0.973355452483326,0.9327146171693735,0.9934861862225064,0.7685294117647059,0.9833177997622936,0.8426993469321937,0.9698347171328293,0.8810077989936062,5226,1574,377,5226
0.9699094411029263,0.9427946802696302,0.9945600388073664,0.7439620471535365,0.9820800793779778,0.8316593009240659,0.9676082687817926,0.8692610429804515,5175,1781,314,5175
0.9698081932275634,0.9308730873087309,0.993347308605187,0.7433870040253019,0.9814366286384294,0.826632563344257,0.9664641217125098,0.8683671563152445,5171,1785,384,5171
0.9732695602028528,0.9401888772298006,0.9940753572975314,0.7733026467203682,0.9835624421514517,0.8486187845303866,0.9703449448799418,0.8836890020089497,5376,1576,342,5376
0.971377338701492,0.9271975552759303,0.9929963511854324,0.752992700729927,0.9820678803841253,0.831064206879884,0.9675773458880282,0.8729945259576797,5158,1692,405,5158
0.9709340687228247,0.9314183123877917,0.9933876858631493,0.7512308137851144,0.982032546758158,0.8316768194934274,0.9675309615473816,0.8723092498241318,5188,1718,382,5188
