p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9720301974859001,0.6601774273040907,0.9522316711987114,0.7720461095100865,0.9620290818736986,0.7117428267800212,0.9328973205312553,0.862138890354399,5358,1582,2758,5358
0.9717407420482226,0.6625950392621214,0.9531336565096953,0.7685412751192714,0.962347265194819,0.7116465863453815,0.9333920868314857,0.8608374658144833,5316,1601,2707,5316
0.9715872036661672,0.6673382019642408,0.9542629620012119,0.7667824074074074,0.9628471615720524,0.713612494950855,0.9342270049631245,0.8605226847043096,5300,1612,2642,5300
0.9732265931502492,0.6716104313434681,0.9539738082039911,0.7819830191394446,0.9635040327518939,0.7226063829787235,0.9354948436074648,0.8679784136717179,5434,1515,2657,5434
0.9727651167713257,0.6666249217282405,0.9539526033558208,0.7751565457987476,0.9632670171700057,0.7168058173983303,0.9349691544134701,0.8645545745772841,5323,1544,2662,5323
0.9728976250132336,0.6612520304885667,0.9531366142889246,0.7750439367311072,0.9629157461819896,0.7136403479198974,0.9343352350912999,0.8640902755100158,5292,1536,2711,5292
0.9730021407214762,0.6602894285013491,0.9520487475548324,0.7791606367583213,0.962411409572141,0.7148167817312798,0.9335776241940721,0.8656046921565769,5384,1526,2770,5384
0.9726450201943597,0.6713462020556531,0.9546131209970573,0.7754452005212104,0.9635447151630574,0.719650655021834,0.9354793821605826,0.8650291607591337,5356,1551,2622,5356
0.9725247524752475,0.6621904644573118,0.9525178361155364,0.7757252128734305,0.9624173286209189,0.7144756081350525,0.9335776241940721,0.8641215244944834,5375,1554,2742,5375
0.9727981101473803,0.663020243933107,0.9536821002056654,0.7736208920187794,0.9631452633416242,0.7140632405714672,0.9347063098164726,0.8636514961122225,5273,1543,2680,5273
0.9701941337834986,0.6579587655269561,0.9538240785561165,0.7519391189814137,0.9619394657925937,0.701816691708783,0.9324953229123182,0.8528815987687651,5138,1695,2671,5138
0.9718718665892659,0.6707535121328225,0.9554179780721475,0.7666034155597723,0.9635746862818624,0.7154825965533684,0.9354175363730538,0.8610106968159599,5252,1599,2578,5252
0.9725127878369528,0.6644656395206652,0.9524354307505634,0.7777300701302419,0.9623694051090735,0.7166501813386086,0.9335621627471898,0.8650827504404026,5434,1553,2744,5434
0.9732360527152598,0.6669557675628794,0.953477907198117,0.7803711220643664,0.9632556716352669,0.7192197207562294,0.9350155387541166,0.8669245146312416,5383,1515,2688,5383
0.9707144616034052,0.6618944139077081,0.954265656880036,0.7566856641823761,0.9624197823660714,0.7061230055911633,0.9333611639377213,0.8554756605312062,5178,1665,2645,5178
0.9721188607706551,0.6524084295032614,0.9521374902841351,0.7668829253907402,0.962024432809773,0.7050291446387421,0.9327117831686689,0.8595102078374377,5201,1581,2771,5201
0.9730670672439693,0.6611468116658428,0.9525630157604277,0.77829502473087,0.9627058782389761,0.7149538954964587,0.9340414676005381,0.8654290202456488,5350,1524,2742,5350
0.9720806363427926,0.6682125846076711,0.9541748177899347,0.7710442580271912,0.963044503852807,0.7159548751007252,0.9345980796882972,0.862609537908563,5331,1583,2647,5331
0.973307591483935,0.6600559678793041,0.9516148584293013,0.782602423542989,0.9623389928460724,0.7161243482278399,0.9335003169596611,0.867108640986145,5425,1507,2794,5425
0.9715516024283496,0.6635467365531013,0.9533144004987185,0.7673545966228893,0.9623466069992658,0.7116851827064651,0.9333920868314857,0.860334498560804,5317,1612,2696,5317
0.9729662917380326,0.6663351566384883,0.9535527636451736,0.7778261500507909,0.9631617126526189,0.7177770338131906,0.9348300013915303,0.8656894568479824,5360,1531,2684,5360
0.9712273287550625,0.6688221123367567,0.9547846558648386,0.7634968881169489,0.9629358054435307,0.7130305487969723,0.934350696538182,0.8591407719908937,5275,1634,2612,5275
0.9713751235352251,0.663297142144016,0.9532732940768964,0.7661813464033443,0.962239082549561,0.7110367892976589,0.9332065494688992,0.8597273202401203,5315,1622,2698,5315
0.9733641642984484,0.6640079760717846,0.9533886583679115,0.7792891619131198,0.9632728638432044,0.7170446134176703,0.9349846158603522,0.8663389101405155,5328,1509,2696,5328
0.9715923117615941,0.6526923559683695,0.9521826288321295,0.7634708559682866,0.9617895545314901,0.7037488158072811,0.9323097855497318,0.8578267424002081,5200,1611,2767,5200
0.971828749845649,0.664621932899349,0.9536272524276886,0.7687518100202723,0.9626419709942339,0.7129045253122063,0.933886853131716,0.8611895312239805,5309,1597,2679,5309
0.9717445367479761,0.656390977443609,0.9525909020177395,0.7657894736842106,0.9620723977159621,0.7068825910931175,0.9328354747437265,0.859190187850975,5238,1602,2742,5238
0.9729915797277975,0.6636771300448431,0.9533025476054584,0.7769028871391076,0.9630464409267219,0.7158403869407497,0.9345980796882972,0.8651027173722831,5328,1530,2700,5328
0.9722339825007056,0.6724245838027287,0.9546690686113181,0.7733947595738555,0.9633714680254153,0.7193839973217274,0.935201076116703,0.8640319140925868,5372,1574,2617,5372
0.9710587114865699,0.6572216649949849,0.9526940512856006,0.7615865175069011,0.9617887243984453,0.7055656504475403,0.9323561698903784,0.8571402843962509,5242,1641,2734,5242
0.9733837616203033,0.6596664607782582,0.9523611903650291,0.7800175284837861,0.9627577285797944,0.7148115922629007,0.9341187748349491,0.8661893594244074,5340,1506,2755,5340
0.9734594480129879,0.6562617055812211,0.9524664606246871,0.7775147928994083,0.9628485403848671,0.7117611212675197,0.9341806206224779,0.8649906267620477,5256,1504,2753,5256
0.9716145649566015,0.6689603402977605,0.9541587983576169,0.768688901667625,0.9628075695992309,0.7153655762927287,0.9342115435162422,0.8614238500126209,5347,1609,2646,5347
0.9716916238954442,0.6703007518796993,0.9544202484278363,0.769197584124245,0.962978500262192,0.7163519485737245,0.9345053110070041,0.8618089162760406,5349,1605,2631,5349
0.9715450022933352,0.6611187586034288,0.9531333829459511,0.7660962877030162,0.9622511291463914,0.709746758917176,0.9331910880220171,0.8596148353244836,5283,1613,2708,5283
0.9721747103736489,0.6658297765503389,0.9539406523055628,0.7707061900610288,0.9629713726791609,0.7144396551724138,0.9344434652194752,0.8623234211832959,5304,1578,2662,5304
0.9702048417132216,0.6689877498388137,0.9555828560552316,0.7536316095293434,0.962838338491043,0.7087915841245988,0.9340878519411847,0.8546072327922876,5188,1696,2567,5188
0.9720158800176445,0.6634591352161959,0.9533937904537745,0.7699782451051487,0.9626147810968311,0.7127609585822648,0.9338404687910695,0.8616860177794616,5309,1586,2693,5309
0.9728316551845964,0.6681542085037808,0.9536442189475143,0.7780023094688222,0.9631423849456536,0.7189063021007003,0.9348300013915303,0.8658232642081682,5390,1538,2677,5390
0.9729567413844876,0.6589781746031746,0.9524484714345,0.7763330898466033,0.9625933854690025,0.7128580052317393,0.933809545897305,0.8643907806405515,5314,1531,2750,5314
0.9718168711980028,0.6699576868829337,0.9555048488305762,0.7652314001171646,0.9635918310423875,0.7144322143980311,0.9354175363730538,0.8603681244738705,5225,1603,2574,5225
0.9702105984227074,0.6627066115702479,0.9548479662569794,0.7516110134739309,0.9624679827847572,0.7043645347241285,0.9333920868314857,0.8532294898654551,5132,1696,2612,5132
