p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9694862620671032,0.9255299539170507,0.9930161803346702,0.7352467418362865,0.9811101622544833,0.8194875142810512,0.9657992794965753,0.8641314610854784,5021,1808,404,5021
0.9679032367051827,0.9246487867177522,0.9928434039751165,0.7273249138920781,0.980214704247038,0.8142019439312395,0.9642376733614731,0.8600841589335972,5068,1900,413,5068
0.969461007043562,0.9210814760686884,0.9925294412644612,0.7360583941605839,0.9808596086473553,0.8182408308990589,0.9653663589838737,0.8642939177125225,5042,1808,432,5042
0.9687642537376467,0.9277635899306822,0.9931419071040144,0.7333813987022351,0.980801628227165,0.8191994845775952,0.9652890517494627,0.8632616529031247,5086,1849,396,5086
0.9682920240426826,0.9245733162048082,0.9928844722217414,0.7284557547715442,0.9804340579028799,0.8148807116862111,0.964608748086646,0.8606701134966428,5038,1878,411,5038
0.9696395969977686,0.9199420394856004,0.9923532057714266,0.7387636363636364,0.9808649258708255,0.8194578896418199,0.9653972818776381,0.8655584210675316,5079,1796,442,5079
0.9670133328838472,0.9265420560747664,0.9931963367553625,0.7169511136823836,0.9799299684003757,0.8083822570123941,0.9636655998268318,0.855073725218873,4957,1957,393,4957
0.9707683459079067,0.9212655042243394,0.9924252905368013,0.7478476579600175,0.9814773640732696,0.8255476804123711,0.9665105060531565,0.8701364742484095,5125,1728,438,5125
0.9698635681400408,0.9282527881040892,0.9933328727373221,0.7364695472644153,0.9814579369074944,0.8213140366746157,0.9664022759249811,0.8649012100008686,4994,1787,386,4994
0.9700106381182351,0.9202712609970675,0.9924844505874223,0.7387082536413123,0.9811188632035593,0.8195543948420795,0.9658147409434575,0.8655963521143674,5021,1776,435,5021
0.9692745424853108,0.9361742424242424,0.9941805246162082,0.7303486997635934,0.9815695701839634,0.820551128818061,0.9665723518406852,0.8622646121899009,4943,1825,337,4943
0.9682960163328665,0.9349353049907578,0.9939037062694839,0.7291336312527029,0.9809327647063851,0.819308334008261,0.9655055120058135,0.8615186687610934,5058,1879,352,5058
0.9699423528815106,0.9315713251267198,0.9934548854604955,0.743212016175621,0.9815578327887362,0.8267994858611827,0.9666651205219784,0.8683334508180583,5146,1778,378,5146
0.9702985377741673,0.927536231884058,0.9929855554400915,0.7470817120622568,0.9815109650249089,0.8275862068965517,0.9666032747344496,0.8700336337511742,5184,1755,405,5184
0.9695403172672444,0.9297957695113056,0.993336218087408,0.7387713706172124,0.981294029136174,0.823348942354271,0.966170354221748,0.8660537943523101,5099,1803,385,5099
0.9703167787957673,0.938032252219605,0.9940773067331671,0.7467185922400116,0.9820533438264529,0.8315130099582396,0.967561884441146,0.8703979494865894,5177,1756,342,5177
