p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9694809652040762,0.6603053435114504,0.9537686353955639,0.7495667244367418,0.9615606179628176,0.7021103896103896,0.9319077879307945,0.8516676799161529,5190,1734,2670,5190
0.9683351794222621,0.6611538461538462,0.9542091858833313,0.7411612532336879,0.9612202869210095,0.6988751863396125,0.9312893300555066,0.8476852195585095,5157,1801,2643,5157
0.9684717123636555,0.6550878099173554,0.9537961217111522,0.7386429819452534,0.9610778964982309,0.6943607993430058,0.9309491782240982,0.8462195518282027,5073,1795,2671,5073
0.9684971504960248,0.6523961661341853,0.9529257022204531,0.740284222737819,0.9606483298875542,0.6935670131105224,0.9302534131143992,0.8466049624791361,5105,1791,2720,5105
0.9702039235022717,0.6575845900392853,0.9532493598172884,0.7541055079203605,0.9616519174041298,0.7025453560790684,0.9320624023996166,0.8536774338688244,5189,1692,2702,5189
0.9690770527498771,0.6579117609005046,0.9542805761615742,0.7427695004382121,0.9616218994763851,0.697770154373928,0.9318923264839124,0.8485250382998932,5085,1761,2644,5085
0.9700529305220954,0.66696542893726,0.9549727343547131,0.7536168981481481,0.9624537650917718,0.7076484173346014,0.9334539326190144,0.8542948162514307,5209,1703,2601,5209
0.968913192551826,0.6603024090210149,0.9541000069256874,0.7445455858979916,0.9614495459264235,0.6998981324278438,0.9316758662275616,0.8493227964118395,5153,1768,2651,5153
0.9714144725247612,0.6550724637681159,0.9526937103548404,0.7621700879765396,0.9619630188745103,0.7045747204337512,0.9326035530404936,0.8574318991656901,5198,1622,2737,5198
0.9694035904489825,0.6610212018567306,0.9531496540842336,0.7522844089091948,0.9612079140401647,0.7037061769616026,0.931397560183682,0.8527170314967142,5269,1735,2702,5269
0.9690170564445226,0.665556551812476,0.9547635960428975,0.7467663121586663,0.9618375236715566,0.7038266169996613,0.9323870927841428,0.850764954100782,5196,1762,2611,5196
0.9679783475983761,0.6605811262535356,0.9542595769010863,0.7382183908045977,0.9610700076778113,0.6972452164472791,0.931011024011627,0.846238983852842,5138,1822,2640,5138
0.9694522162980168,0.6618246687054027,0.9540409025577087,0.7494949494949495,0.9616848205557883,0.7029367979428881,0.9321242481871453,0.8517679260263291,5194,1736,2654,5194
0.9693694643610291,0.6593335906342468,0.954193983635766,0.7462143273150844,0.9617218623870006,0.7000887917491976,0.9321087867402632,0.8502041554754253,5125,1743,2648,5125
0.9683868131868132,0.6654703922071263,0.9547558375370534,0.7427753934191702,0.9615230181037342,0.7020010816657652,0.9318459421432658,0.8487656154781118,5192,1798,2610,5192
