p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9610149668627218,0.7924295774647887,0.9796288617043334,0.6618144390530805,0.9702326456923328,0.7212563095905777,0.9462096262968288,0.8207216503787069,4501,2300,1179,4501
0.959011544377398,0.7901704751541531,0.9800155453838846,0.6424358596284282,0.9693997847221035,0.7086857514638907,0.9446170972679624,0.8112257025061563,4357,2425,1157,4357
0.9578293945987889,0.799962921764924,0.9813521827797173,0.6331621423330888,0.9694481198514661,0.7068555983291016,0.9446634816086089,0.807257162556403,4315,2500,1079,4315
0.9575842649123104,0.7851478010093728,0.9793817999411897,0.6346153846153846,0.9683603837799936,0.7019013857557201,0.9427926465358628,0.8069985922782871,4356,2508,1192,4356
0.9580475246853988,0.7822151224707136,0.9787690550758742,0.6401801278326554,0.9682974425690711,0.7041060872343825,0.942730800748334,0.8094745914542648,4407,2477,1227,4407
0.9564505234718,0.7866959868059373,0.979863333621659,0.6247089639115251,0.9680153813287758,0.6964068456484711,0.9421278043199283,0.802286148766592,4293,2579,1164,4293
0.9578566109268161,0.7863400679420705,0.9793213241274291,0.6385017421602788,0.968470048685325,0.7047512218572229,0.9430245682390959,0.8089115331438539,4398,2490,1195,4398
0.9587545217891071,0.8037687986954158,0.9812632999429075,0.6451425247236765,0.9698783334330835,0.7157724889068173,0.9455293226340121,0.813202912333292,4436,2440,1083,4436
0.9590191638219489,0.7757586770852263,0.9787179000741597,0.6377352853301465,0.9687684047901534,0.7000081987373945,0.943426565858033,0.8082265927021531,4269,2425,1234,4269
0.9586296823138929,0.7880888888888888,0.9793775194200792,0.6447062245491565,0.9688925402000805,0.7092232621390289,0.9437976405832058,0.8120418719846179,4433,2443,1192,4433
0.9576168113787628,0.7977733162985946,0.9808294548159939,0.6353197674418605,0.969084148895252,0.7073387814548102,0.9440759466270854,0.8080746111289272,4371,2509,1108,4371
0.958025526160088,0.7817819630568634,0.9791799851409022,0.6348529411764706,0.9684872513500581,0.7006979386463236,0.9429781838984492,0.8070164631586864,4317,2483,1205,4317
