p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9944968689081719,0.9752608047690015,0.9971287231466427,0.9535188692991403,0.9958110570819048,0.9642672953657998,0.9925011982621333,0.9753237962228914,6544,319,166,6544
0.9946750574851749,0.9758630778232885,0.997140282158827,0.9558676028084253,0.995906144245666,0.9657618530582701,0.9926867356247198,0.9765039424836262,6671,308,165,6671
0.9945392844223183,0.9741925747057048,0.9970468871427338,0.9531896042528056,0.9957915071233916,0.9635766532318256,0.9924548139214868,0.9751182456977697,6455,317,171,6455
0.994327194978964,0.9738063164196976,0.9969745167871097,0.951865398683248,0.995649096151522,0.9627108612015389,0.9922074307713716,0.9744199577351788,6506,329,175,6506
0.9945811617713043,0.9726637943841926,0.9968174899681749,0.9542340766652092,0.9956980701784697,0.9633608004708653,0.9923001994526648,0.975525783316692,6547,314,184,6547
0.9943239652882011,0.9739350610664284,0.9969727897040254,0.9520966802562609,0.9956466157620151,0.9628920630245914,0.9922074307713716,0.9745347349801432,6539,329,175,6539
0.9944559585492228,0.9766858491958094,0.9972634532448863,0.9537463976945245,0.9958577271980422,0.9650798279507181,0.9925939669434266,0.9755049254697055,6619,321,158,6619
0.9942446291847422,0.9721325902024054,0.9967080185737057,0.9521620456830915,0.9954747999134762,0.9620436896726904,0.9919136632806098,0.9744350321283985,6628,333,190,6628
0.9941346436666263,0.9773255813953489,0.997292324782171,0.9520033979895228,0.9957109807557339,0.9644983145664491,0.9923465837933114,0.9746478613858469,6724,339,156,6724
0.994527217167619,0.974977790938703,0.9970748593682388,0.9540712836858881,0.9957994088056837,0.9644112478031635,0.9924857368152512,0.9755730715270634,6585,317,169,6585
0.9945961810710956,0.9733530717986677,0.9968852203706587,0.9545586527293844,0.995739385192419,0.9638642527303379,0.9923775066870758,0.9757219365500216,6575,313,180,6575
0.9944873589437849,0.9731277533039647,0.996830125928877,0.9540742873596314,0.9956573643142614,0.963506833381797,0.992238353665136,0.9754522066442542,6627,319,183,6627
0.993688675829008,0.9760693987436434,0.9972311153413516,0.9468949506674406,0.9954567440574903,0.9612608631609958,0.9918672789399632,0.9720630330043961,6526,366,160,6526
0.9944228610895277,0.974267968056788,0.9969878475227643,0.953262914194762,0.9957037024230426,0.9636509910041687,0.9923156608995469,0.9751253808587631,6588,323,174,6588
0.9946741584653304,0.9728146590567738,0.9968734345580488,0.9544650751547303,0.9957725821758262,0.9635525141326986,0.9924238910277223,0.9756692548563896,6477,309,181,6477
0.994550878584608,0.9747233024229733,0.9970783486619182,0.9537538416508122,0.99581300988475,0.9641245654264368,0.9925011982621333,0.9754160951563653,6517,316,169,6517
0.9941665803734769,0.9744617668893838,0.9970229853226253,0.9510215910737574,0.9955927340603883,0.9625990026400704,0.9921146620900784,0.9740222881981914,6563,338,172,6563
0.9943036663674653,0.9737583395107487,0.9969366032641617,0.9521600463902581,0.9956183941025485,0.9628380854650737,0.992161046430725,0.9745483248272098,6568,330,177,6568
0.9939891182312808,0.9761132409318785,0.9971928122129997,0.9500574052812859,0.9955883879450539,0.9629090909090909,0.9921146620900784,0.9736251087471429,6620,348,162,6620
0.9948172206481929,0.9752686589135875,0.9970910098351572,0.9566787003610109,0.9959528174616901,0.9658842396850853,0.9927640428591308,0.976884855098084,6625,300,168,6625
