p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9936453116905543,0.967489286242057,0.9961912676153872,0.9467823571945047,0.9949166609032437,0.9570238269258879,0.9909086692332668,0.9714868124049459,6547,368,220,6547
0.9937683411013292,0.9669482733066548,0.996141334440753,0.9475671750181555,0.9949534228582292,0.9571596244131455,0.9909705150207957,0.9718542547294542,6524,361,223,6524
0.9934916963021786,0.9657828469856318,0.9960020768431983,0.9453385529940553,0.9947453027500733,0.9554513481828838,0.9905994402956229,0.9706703149186269,6520,377,231,6520
0.9934569435812444,0.9662372278987117,0.996053519810292,0.9451042873696408,0.9947535372568,0.9555539283883722,0.9906149017425051,0.9705789035899663,6525,379,228,6525
0.9927329085586362,0.9674587558649916,0.9962843267718576,0.9380686821250367,0.9945054471116939,0.9525370687728186,0.9901510583360391,0.9671765044484472,6392,422,215,6392
0.9936466282241635,0.9643227239082162,0.9958300891080544,0.9465271723336239,0.994737160486359,0.9553420840360783,0.9905839788487407,0.9711786307208392,6514,368,241,6514
0.9939130584725743,0.9660383004189108,0.9960772115368,0.9481644640234949,0.9949939582254446,0.9570179338965465,0.9910323608083245,0.9721208377801476,6457,353,227,6457
0.9927873830969389,0.9663840547374684,0.996087393095807,0.9395516992046277,0.994434650350859,0.952778999853351,0.9900428282078637,0.9678195461502174,6497,418,226,6497
0.9937244625278003,0.9640395564878633,0.9958534183382574,0.9464548396587231,0.9947878013841667,0.9551662707838479,0.9906612860831516,0.9711541289984902,6434,364,240,6434
0.9927493698857163,0.9705228854984447,0.9965514253530889,0.9397590361445783,0.9946467642760161,0.9548932449172921,0.9904293643799187,0.9681552307488337,6552,420,199,6552
0.9930063907119356,0.9672403381642513,0.9962498271809761,0.9404080434463525,0.9946254647722077,0.9536354841110367,0.9903675185923899,0.9683289353136643,6407,406,217,6407
0.9929171129461355,0.9674569282874392,0.996169644868884,0.9412607449856734,0.9945407196560048,0.9541790719628204,0.9902438270173323,0.9687151949272788,6570,410,221,6570
