p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9945448581835759,0.9725925925925926,0.9967990864419684,0.9540764423775614,0.995670696404345,0.9632455432470106,0.9922538151120182,0.9754377644097648,6565,316,185,6565
0.9943854193659842,0.967756183745583,0.9962096955641323,0.9528848941722239,0.9952967215382488,0.9602629656683711,0.9915889728960836,0.974547294868178,6573,325,219,6573
0.9943971313312416,0.9691200719532304,0.9964413426157859,0.9521354933726067,0.9954181874660247,0.9605527078225985,0.9917899717055522,0.9742884179941963,6465,325,206,6465
0.9936439946112128,0.9734474111225845,0.9968809565066713,0.9471795607865653,0.9952598436094388,0.9601338571220719,0.9915271271085548,0.9720302586466183,6599,368,180,6599
0.994702238174947,0.9652199762187872,0.9959568733153639,0.9548595794736068,0.9953291603712497,0.9600118264468918,0.9916353572367302,0.9754082263944853,6494,307,234,6494
0.994119979997586,0.9699281867145422,0.9965256771472525,0.9500293083235639,0.9953213749287848,0.9598756292567368,0.991619895789848,0.9732774927354082,6483,341,201,6483
0.9950900729573666,0.972201901975128,0.9967098427651174,0.9590128445663155,0.9958992992473399,0.9655623365300784,0.9926712741778375,0.9778613436657164,6645,284,190,6645
0.9938833693304535,0.972361070273449,0.9967422759015059,0.9491963260619977,0.9953107696566998,0.960639070442992,0.991619895789848,0.9729693009817517,6614,354,188,6614
0.9944079117692746,0.9731374295043039,0.9968682953837635,0.9529138206656009,0.9956365835745453,0.9629194507673103,0.9921919693244894,0.9748910580246822,6557,324,181,6557
0.994420452582484,0.9728893472815677,0.9968139079842774,0.9533641351429396,0.9956157418216723,0.9630277838547363,0.992161046430725,0.9750890215636085,6603,323,184,6603
0.9946480672617095,0.9718685223571217,0.9967129733750844,0.9549025312772766,0.9956794497347182,0.9633108306427943,0.9922692765589004,0.9758077523261804,6564,310,190,6564
0.9944126370973305,0.9732396471819404,0.9969054163857338,0.9525899912203687,0.9956574664813392,0.9628041115137174,0.9922228922182538,0.9747477038030512,6510,324,179,6510
0.9940223212743167,0.9704194260485651,0.9965186968495072,0.9501440922190202,0.9952689436857264,0.9601747360757189,0.991542588555437,0.9733313945342638,6594,346,201,6594
0.99423690794582,0.9714370722999107,0.9966789476415339,0.9513403263403264,0.9954564301015825,0.9612836743706756,0.9918672789399632,0.97400963699093,6530,334,192,6530
0.9945621212905899,0.9727407407407408,0.9968163886774172,0.9542217700915565,0.9956879790534293,0.963392267625266,0.9922847380057825,0.9755190793844869,6566,315,184,6566
0.9945798522405579,0.9727205337286879,0.9968167191446663,0.9543272727272727,0.995697029394992,0.9634361233480176,0.9923001994526648,0.9755719959359694,6561,314,184,6561
0.9943420961843649,0.9692766592095451,0.9964390665514261,0.9519554709242712,0.9953894769560188,0.9605379840378362,0.9917435873649056,0.9741972687378487,6499,328,206,6499
0.9940999896491046,0.9722843093428699,0.9967825635703166,0.9501965923984272,0.9954394693200663,0.9611135660627486,0.9918363560461988,0.9734895779843719,6525,342,186,6525
0.994394135403191,0.9720978812294837,0.9967667755934783,0.952485380116959,0.9955790418954857,0.9621916998966178,0.992083739196314,0.9746260778552187,6515,325,187,6515
0.9940117693754638,0.9695393759286776,0.9964535939797595,0.9495052386495926,0.9952311839104293,0.9594177326863698,0.9914652813210261,0.972979416314676,6525,347,205,6525
0.9942151614574339,0.9725136692773755,0.9967798341441457,0.9515615962984384,0.995495845976952,0.9619235547759993,0.9919445861743742,0.9741707152212922,6581,335,186,6581
0.9942379021823514,0.9715435041716329,0.9966967590190585,0.9512764405543399,0.9954658122241703,0.9613031620844698,0.9918827403868454,0.9739865997866992,6521,334,191,6521
0.9944415674089419,0.9713946939380466,0.996660957422882,0.9531704479348458,0.9955500254901453,0.9621962856933128,0.9920373548556674,0.9749157026788638,6554,322,193,6554
0.9940405449628826,0.9708371109096404,0.9966670120540185,0.9488997193915226,0.9953520458759109,0.9597430726715961,0.9916662801304946,0.9727833657227706,6425,346,193,6425
